trade_uid,motor_id,lado_norm,rotulo,ajuste_estrutura__mudanca_total_z,ajuste_estrutura__inicio_meio_z,ajuste_estrutura__meio_fim_z,ajuste_estrutura__volatilidade_z,ajuste_estrutura__nivel_final_z,ajuste_estrutura_compra__mudanca_total_z,ajuste_estrutura_compra__inicio_meio_z,ajuste_estrutura_compra__meio_fim_z,ajuste_estrutura_compra__volatilidade_z,ajuste_estrutura_compra__nivel_final_z,ajuste_estrutura_venda__mudanca_total_z,ajuste_estrutura_venda__inicio_meio_z,ajuste_estrutura_venda__meio_fim_z,ajuste_estrutura_venda__volatilidade_z,ajuste_estrutura_venda__nivel_final_z,confirmacoes_candidata__mudanca_total_z,confirmacoes_candidata__inicio_meio_z,confirmacoes_candidata__meio_fim_z,confirmacoes_candidata__volatilidade_z,confirmacoes_candidata__nivel_final_z,campanha_entradas__mudanca_total_z,campanha_entradas__inicio_meio_z,campanha_entradas__meio_fim_z,campanha_entradas__volatilidade_z,campanha_entradas__nivel_final_z,qtd_swings_confirmados__mudanca_total_z,qtd_swings_confirmados__inicio_meio_z,qtd_swings_confirmados__meio_fim_z,qtd_swings_confirmados__volatilidade_z,qtd_swings_confirmados__nivel_final_z,cluster
motor_c7_dna_fluxo_v5_2::20260729061938.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-2.3607176581680838,-2.3607176581680838,0.0,0.0,-0.6744907594765952,0.0,1.2043875831929898,-1.2043875831929898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.297825058615212,0.0,2.297825058615212,0.0,2.297825058615212,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729063319.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-0.6744907594765952,-3.0352084176446783,2.3607176581680838,0.0,0.0,,,,,,-2.107130750570548,0.0,-2.107130750570548,0.0,-2.107130750570548,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729063828.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,2.3502093952533563,2.3502093952533563,0.0,0.0,0.0,1.8472390942075032,1.8472390942075032,0.0,0.0,0.0,-2.047065262876636,-2.047065262876636,0.0,0.0,0.0,-2.047065262876636,-2.047065262876636,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729064912.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,-3.0352084176446783,-0.6744907594765952,-2.3607176581680838,0.0,-2.3607176581680838,-3.0352084176446783,-0.6744907594765952,-2.3607176581680838,0.0,-2.3607176581680838,2.3607176581680838,0.3372453797382976,2.023472278429786,0.0,1.686226898691488,0.0,0.7098005310600505,-0.7098005310600505,0.0,0.0,,,,,,,,,,,0
motor_c7_dna_fluxo_v5_2::20260729065321.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-2.3607176581680838,-0.6744907594765952,-1.686226898691488,0.0,-1.686226898691488,2.3607176581680838,0.6744907594765952,1.686226898691488,0.0,1.686226898691488,-2.3607176581680838,-0.6744907594765952,-1.686226898691488,0.0,-1.686226898691488,1.991051409252336,1.991051409252336,0.0,0.0,1.991051409252336,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729065605.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,2.3607176581680838,0.6744907594765952,1.686226898691488,0.0,1.686226898691488,0.0,0.0,0.0,0.0,0.0,-2.1239376429431984,-2.1239376429431984,0.0,0.0,0.0,1.9758153136986647,0.0,1.9758153136986647,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729070533.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729070719.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.0,0.0,0.0,0.0,0.0,-1.96116135138184,0.0,-1.96116135138184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729071004.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,3.0352084176446783,-3.0352084176446783,0.0,-0.6744907594765952,-2.3607176581680838,-2.3607176581680838,0.0,0.0,-0.6744907594765952,2.3607176581680838,3.0352084176446783,-0.6744907594765952,0.0,0.0,0.0,-2.396117549358718,2.396117549358718,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729071909.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,0.0,0.6744907594765952,-0.6744907594765952,0.0,0.0,1.991051409252336,1.991051409252336,0.0,0.0,1.991051409252336,,,,,,-2.107130750570548,-2.107130750570548,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729072543.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729073046.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-1.9439220130858397,0.0,-1.9439220130858397,0.0,-1.9439220130858397,0.0,0.0,0.0,0.0,0.0,-2.396117549358718,-2.396117549358718,0.0,0.0,0.0,-2.1618705350983243,-2.1618705350983243,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729074755.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,2.3607176581680838,0.6744907594765952,1.686226898691488,0.0,1.686226898691488,0.0,2.396117549358718,-2.396117549358718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3489815189531904,0.6744907594765952,0.6744907594765952,0.0,1.3489815189531904,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729075013.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,1.686226898691488,2.3607176581680838,-0.6744907594765952,0.0,0.0,2.3607176581680838,3.0352084176446783,-0.6744907594765952,0.0,0.0,-1.686226898691488,-2.3607176581680838,0.6744907594765952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729075947.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-2.3607176581680838,0.0,-2.3607176581680838,0.0,-2.3607176581680838,2.299293433644856,0.0,2.299293433644856,0.0,2.299293433644856,-1.97622295213223,0.0,-1.97622295213223,0.0,-1.97622295213223,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729080113.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,2.3607176581680838,0.0,2.3607176581680838,0.0,0.6744907594765952,3.0352084176446783,0.6744907594765952,2.3607176581680838,0.0,2.3607176581680838,-3.0352084176446783,-0.6744907594765952,-2.3607176581680838,0.0,-2.3607176581680838,0.0,2.047065262876636,-2.047065262876636,0.0,0.0,-2.2110831935702664,0.0,-2.2110831935702664,0.0,-2.2110831935702664,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729080644.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,2.3607176581680838,3.0352084176446783,-0.6744907594765952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.066211695163583,-2.066211695163583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729080717.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,2.009592381171251,2.009592381171251,0.0,0.0,0.0,4.582575694955841,0.0,4.582575694955841,0.0,4.582575694955841,-3.431246912942053,0.9803562608405866,-4.411603173782639,0.0,-4.411603173782639,,,,,,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729081141.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-0.6805462912397413,0.0,-0.6805462912397413,0.0,-0.6805462912397413,-2.299068134204441,0.0,-2.299068134204441,0.0,-2.299068134204441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729081908.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,2.3607176581680838,3.0352084176446783,-0.6744907594765952,0.0,0.0,,,,,,-0.985184366143778,0.985184366143778,-1.9703687322875565,0.0,0.0,-1.5085960589122318,-1.5085960589122318,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729082631.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,2.3607176581680838,-2.3607176581680838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451755811666983,-1.451755811666983,0.0,-1.451755811666983,-1.671063383055436,-2.5065950745831542,0.835531691527718,0.0,0.835531691527718,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729083235.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,0.6744907594765952,-1.686226898691488,2.3607176581680838,0.0,0.6744907594765952,0.0,0.0,0.0,0.0,0.0,0.0,-1.97930469074964,1.97930469074964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0
motor_c7_dna_fluxo_v5_2::20260729084234.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,-3.0352084176446783,-0.6744907594765952,-2.3607176581680838,0.0,-2.3607176581680838,0.0,0.0,0.0,0.0,0.0,-0.987838132400332,-0.987838132400332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729085110.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,1.9582600973046589,1.9582600973046589,0.0,0.0,0.0,-1.686226898691488,-2.3607176581680838,0.6744907594765952,0.0,0.0,2.3607176581680838,2.3607176581680838,0.0,0.0,0.0,0.0,-2.29906813420444,2.29906813420444,0.0,0.0,,,,,,,,,,,1
motor_c7_dna_fluxo_v5_2::20260729085549.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.009592381171251,0.0,-2.009592381171251,0.0,0.0,1.9720265943665387,0.0,1.9720265943665387,0.0,1.9720265943665387,,,,,,,,,,,1
