k,silhouette,clusters_gerados,status
2,0.3487941474854587,2,OK
3,0.34000307728907847,3,OK
4,0.24865328841136963,4,OK
5,0.2502366916524761,5,OK
6,0.25099411849553926,6,OK
7,0.2445596108808524,7,OK
8,0.23664675704268856,8,OK
9,0.2149311408512088,9,OK
10,0.21666648586418003,10,OK
11,0.22218008183068272,11,OK
12,0.22083761943244656,12,OK
