indice_base;dia_teste;classe_real;probabilidade_impulso;dna_score;alerta_dna;classe_prevista
518;2026-07-13;0;0,013233333333333335;1,3233333333333335;False;0
519;2026-07-13;0;0,06326029526029525;6,326029526029525;False;0
520;2026-07-13;0;0,07443370795870798;7,4433707958707975;False;0
521;2026-07-13;0;0,1273467507982214;12,73467507982214;False;0
522;2026-07-13;0;0,08961749280131633;8,961749280131633;False;0
523;2026-07-13;0;0,11088148616089792;11,088148616089793;False;0
524;2026-07-13;0;0,10438896054925464;10,438896054925465;False;0
525;2026-07-13;0;0,03440167332667333;3,440167332667333;False;0
526;2026-07-13;0;0,025159523809523812;2,515952380952381;False;0
527;2026-07-13;0;0,19646517415046824;19,646517415046823;False;0
528;2026-07-13;0;0,07530215053763442;7,530215053763442;False;0
529;2026-07-13;0;0,02661871461871462;2,661871461871462;False;0
530;2026-07-13;0;0,05489186205950911;5,489186205950912;False;0
531;2026-07-13;0;0,05128084795321637;5,128084795321637;False;0
532;2026-07-13;0;0,027057142857142856;2,7057142857142855;False;0
533;2026-07-13;0;0,01777948717948718;1,777948717948718;False;0
534;2026-07-13;0;0,02233846153846154;2,233846153846154;False;0
535;2026-07-13;0;0,011866666666666668;1,1866666666666668;False;0
536;2026-07-13;0;0,009134421134421136;0,9134421134421136;False;0
537;2026-07-13;0;0,09172519898402251;9,172519898402252;False;0
538;2026-07-13;0;0,09390357142857142;9,390357142857141;False;0
539;2026-07-13;0;0,20236871548930369;20,236871548930367;False;0
540;2026-07-13;0;0,43497301867894744;43,49730186789474;False;0
541;2026-07-13;0;0,19920158050957285;19,920158050957284;False;0
542;2026-07-13;0;0,3003538183253642;30,035381832536416;False;0
543;2026-07-13;0;0,3585833518075777;35,85833518075777;False;0
544;2026-07-13;0;0,32603545662284056;32,603545662284056;False;0
545;2026-07-13;0;0,573328472158503;57,3328472158503;False;1
546;2026-07-13;0;0,218099645942293;21,8099645942293;False;0
547;2026-07-13;0;0,32350421310715427;32,350421310715426;False;0
548;2026-07-13;0;0,3182372244115446;31,823722441154462;False;0
549;2026-07-13;0;0,39271645072620304;39,2716450726203;False;0
550;2026-07-13;0;0,21227313058098288;21,22731305809829;False;0
551;2026-07-13;0;0,4331137970266803;43,31137970266803;False;0
552;2026-07-13;0;0,4047307371556946;40,473073715569456;False;0
553;2026-07-13;0;0,2498584394406763;24,98584394406763;False;0
554;2026-07-13;0;0,10773935508935507;10,773935508935507;False;0
555;2026-07-13;0;0,0676404761904762;6,76404761904762;False;0
556;2026-07-13;0;0,24397637762993793;24,397637762993792;False;0
557;2026-07-13;0;0,2620128261359725;26,20128261359725;False;0
558;2026-07-13;0;0,10609897427134267;10,609897427134268;False;0
559;2026-07-13;0;0,24550705745300697;24,550705745300696;False;0
560;2026-07-13;0;0,15163594771241828;15,16359477124183;False;0
561;2026-07-13;0;0,2682937081437082;26,82937081437082;False;0
562;2026-07-13;0;0,06081046345811051;6,081046345811051;False;0
563;2026-07-13;0;0,21665829831142924;21,665829831142926;False;0
564;2026-07-13;0;0,42647730948855317;42,64773094885532;False;0
565;2026-07-13;0;0,10839608308358305;10,839608308358304;False;0
566;2026-07-13;0;0,31497479219782637;31,497479219782637;False;0
567;2026-07-13;0;0,07720750915750917;7,720750915750917;False;0
568;2026-07-13;0;0,19215405408861289;19,21540540886129;False;0
569;2026-07-13;0;0,03234550088800089;3,2345500888000887;False;0
570;2026-07-13;0;0,018622127872127872;1,8622127872127872;False;0
571;2026-07-13;0;0,0116;1,16;False;0
572;2026-07-13;0;0,031117836812144212;3,1117836812144213;False;0
573;2026-07-13;0;0,06393591788328631;6,3935917883286315;False;0
574;2026-07-13;0;0,04723591269841271;4,723591269841271;False;0
575;2026-07-13;0;0,024772619047619047;2,477261904761905;False;0
576;2026-07-13;0;0,05782612643061559;5,782612643061559;False;0
577;2026-07-13;0;0,01340952380952381;1,3409523809523811;False;0
578;2026-07-13;0;0,04644755244755245;4,644755244755245;False;0
579;2026-07-13;0;0,013714285714285714;1,3714285714285714;False;0
580;2026-07-13;0;0,2799295351707116;27,99295351707116;False;0
581;2026-07-13;0;0,06452896645837822;6,452896645837821;False;0
582;2026-07-13;0;0,028830130312994764;2,8830130312994764;False;0
583;2026-07-13;0;0,06769398199839376;6,769398199839376;False;0
584;2026-07-13;0;0,039181179841663714;3,9181179841663716;False;0
585;2026-07-13;0;0,0388778638028638;3,8877863802863803;False;0
586;2026-07-13;0;0,038625060125060125;3,8625060125060124;False;0
587;2026-07-13;0;0,0258044428768113;2,58044428768113;False;0
588;2026-07-13;0;0,029878791633203398;2,98787916332034;False;0
589;2026-07-13;0;0,017333333333333336;1,7333333333333336;False;0
590;2026-07-13;0;0,032226879699248125;3,2226879699248125;False;0
591;2026-07-13;0;0,0662914418914419;6,62914418914419;False;0
