dia_teste;dias_treino;amostras_treino;amostras_teste;impulsos_teste;accuracy;balanced_accuracy;precision_impulso;recall_impulso;roc_auc
2026-07-13;2026-07-10|2026-07-12;518;250;0;0,976;0,976;0,0;0,0;
2026-07-14;2026-07-10|2026-07-12|2026-07-13;768;250;0;0,996;0,996;0,0;0,0;
