dna_id,classe_dna,escopo,motor_catalogo,lado_catalogo,tamanho,sequencia,evidencia_16e,score_descoberta_16e,aparicoes,gains,stops,winrate_pct,sequencia_max_stops,max_drawdown_r,dias_ativos_x,dias_ativos_y,motores_ativos,lados_ativos,horas_ativas,taxa_alvo_media_dias_pct,taxa_alvo_desvio_dias_pp,cv_taxa_alvo_diaria,concentracao_melhor_dia_pct,hora_modal,motor_modal,lado_modal,dias_avaliados,taxa_alvo_min_dia_pct,taxa_alvo_max_dia_pct,taxa_alvo_mediana_dias_pct,dias_acima_50_pct,dias_acima_58_pct,proporcao_dias_acima_50_pct,proporcao_dias_acima_58_pct,taxa_primeira_metade_pct,taxa_segunda_metade_pct,degradacao_segunda_menos_primeira_pp,score_estabilidade,status_estabilidade,classe_alvo,classe_negativa,previsoes,verdadeiros_positivos_tp,falsos_positivos_fp,falsos_negativos_fn,verdadeiros_negativos_tn,precisao_pct,recall_sensibilidade_pct,especificidade_pct,f1_score,mcc,acuracia_global_pct,prevalencia_classe_alvo_pct,lift_classe_alvo,wilson_95_inferior_classe_alvo_pct,profit_factor_classe_alvo_r,expectancia_classe_alvo_r,cobertura_historia_media_pct,cobertura_historia_mediana_pct,historias_universo_validacao,historias_classe_alvo,taxa_acerto_classe_alvo_pct,taxa_erro_classe_alvo_pct,acertos_classe_alvo,classe_certificacao,motivos_reprovacao,score_certificacao_v1_1,tipo_uso,apto_executor
DNA_37F259E0AF51,DNA_GAIN,MOTOR,motor_operacional_c7_v3_1,,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,FRACA,43.1674,4,4,0,100.0,0,0.0,2,2,1,2,2,100.0,0.0,0.0,50.0,21,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,88.0,FORTE,GAIN,STOP,4,4,0,370,707,100.0,1.06951871657754,100.0,0.021164021164021163,0.0837907446098227,65.77243293246994,34.59759481961147,2.890374331550802,51.009997959600085,inf,1.0,67.70833333333334,62.5,1081,374,100.0,0.0,4,D_REJEITADO,amostra insuficiente; poucos dias ativos; concentração em um dia,59.63259352660934,SELETOR_DE_ENTRADA,False
DNA_1016F676957E,DNA_GAIN,LADO,,COMPRA,3,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_CAIU,FRACA,42.5106,2,2,0,100.0,0,0.0,2,2,1,1,1,100.0,0.0,0.0,50.0,10,motor_c7_dna_fluxo_v5_2,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,88.0,FORTE,GAIN,STOP,2,2,0,372,707,100.0,0.53475935828877,100.0,0.010638297872340425,0.05919406721315881,65.58741905642923,34.59759481961147,2.890374331550802,34.23719528896193,inf,1.0,48.75,48.75,1081,374,100.0,0.0,2,D_REJEITADO,amostra insuficiente; poucos dias ativos; limite Wilson baixo; concentração em um dia,55.449792372581584,SELETOR_DE_ENTRADA,False
DNA_C8954CD0A2BE,DNA_GAIN,LADO,,VENDA,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,67.5002,9,7,2,77.77777777777777,1,1.0,3,3,2,1,7,83.33333333333333,11.785113019775793,0.1414213562373095,44.44444444444444,11,motor_c7_dna_fluxo_v5_2,VENDA,3,75.0,100.0,75.0,3,3,100.0,100.0,75.0,100.0,25.0,81.13073594545968,FORTE,GAIN,STOP,9,7,2,367,705,77.77777777777779,1.8716577540106951,99.71711456859971,0.03655352480417754,0.08317417965799864,65.86493987049029,34.59759481961147,2.248068924539513,45.25833436728054,3.5,0.5555555555555556,48.41269841269841,50.0,1081,374,77.77777777777779,22.222222222222214,7,D_REJEITADO,amostra insuficiente; limite Wilson baixo,53.20366465332426,SELETOR_DE_ENTRADA,False
DNA_0F3CE53D7650,DNA_GAIN,LADO,,VENDA,5,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,46.5064,9,7,2,77.77777777777777,1,1.0,3,3,2,1,6,80.55555555555556,14.16394309331329,0.1758282590894063,44.44444444444444,21,motor_c7_dna_fluxo_v5_2,VENDA,3,66.66666666666667,100.0,75.0,3,3,100.0,100.0,75.0,66.66666666666667,-8.333333333333329,71.71151705062529,MODERADA,GAIN,STOP,9,7,2,367,705,77.77777777777779,1.8716577540106951,99.71711456859971,0.03655352480417754,0.08317417965799864,65.86493987049029,34.59759481961147,2.248068924539513,45.25833436728054,3.5,0.5555555555555556,64.48412698412699,62.5,1081,374,77.77777777777779,22.222222222222214,7,D_REJEITADO,amostra insuficiente; limite Wilson baixo,51.31982087435738,SELETOR_DE_ENTRADA,False
DNA_1E793D741215,DNA_GAIN,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,5,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,49.0596,7,6,1,85.71428571428571,1,1.0,3,3,1,1,5,88.8888888888889,15.71348402636772,0.1767766952966368,42.85714285714285,13,motor_c7_dna_fluxo_v5_2,VENDA,3,66.66666666666667,100.0,100.0,3,3,100.0,100.0,100.0,66.66666666666667,-33.33333333333333,52.90548342388811,FRACA,GAIN,STOP,7,6,1,368,706,85.71428571428571,1.6042780748663104,99.85855728429985,0.03149606299212599,0.08675405765357525,65.86493987049029,34.59759481961147,2.4774637127578303,48.686549668097015,6.0,0.7142857142857143,63.775510204081634,62.5,1081,374,85.71428571428571,14.285714285714292,6,D_REJEITADO,amostra insuficiente; limite Wilson baixo,49.595708965157584,SELETOR_DE_ENTRADA,False
DNA_CAB9507E140E,DNA_GAIN,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,FRACA,70.1118,7,6,1,85.71428571428571,1,1.0,3,3,1,1,5,91.66666666666669,11.785113019775793,0.128564869306645,57.142857142857146,12,motor_c7_dna_fluxo_v5_2,VENDA,3,75.0,100.0,100.0,3,3,100.0,100.0,100.0,75.0,-25.0,52.00052474118267,FRACA,GAIN,STOP,7,6,1,368,706,85.71428571428571,1.6042780748663104,99.85855728429985,0.03149606299212599,0.08675405765357525,65.86493987049029,34.59759481961147,2.4774637127578303,48.686549668097015,6.0,0.7142857142857143,57.27891156462584,57.14285714285714,1081,374,85.71428571428571,14.285714285714292,6,D_REJEITADO,amostra insuficiente; limite Wilson baixo; concentração em um dia,49.414717228616496,SELETOR_DE_ENTRADA,False
DNA_83D3F6DDCA33,DNA_GAIN,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,2,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,29.8988,9,6,3,66.66666666666667,1,1.0,3,3,1,1,7,63.88888888888889,10.393492741038727,0.1626807559466931,44.44444444444444,11,motor_c7_dna_fluxo_v5_2,VENDA,3,50.0,75.0,66.66666666666667,3,2,100.0,66.66666666666667,50.0,75.0,25.0,79.429983968709,MODERADA,GAIN,STOP,9,6,3,368,704,66.66666666666666,1.6042780748663104,99.57567185289957,0.03133159268929504,0.06177182588263646,65.67992599444959,34.59759481961147,1.926916221033868,35.419734749908976,2.0,0.3333333333333333,44.25925925925926,50.0,1081,374,66.66666666666666,33.33333333333334,6,D_REJEITADO,amostra insuficiente; limite Wilson baixo,47.9587854666964,SELETOR_DE_ENTRADA,False
DNA_FD7242040785,DNA_GAIN,GLOBAL,,,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,MODERADA,43.921,14,8,6,57.142857142857146,4,4.0,3,3,2,2,11,58.333333333333336,14.337208778404378,0.2457807219155036,35.714285714285715,13,motor_c7_dna_fluxo_v5_2,COMPRA,3,40.0,75.0,60.0,2,2,66.66666666666667,66.66666666666667,40.0,75.0,35.0,79.76611367533114,MODERADA,GAIN,STOP,14,8,6,366,701,57.14285714285714,2.13903743315508,99.15134370579915,0.041237113402061855,0.054289680643395954,65.58741905642923,34.59759481961147,1.6516424751718868,32.59026690286936,1.3333333333333333,0.14285714285714285,73.67346938775509,75.0,1081,374,57.14285714285714,42.85714285714286,8,D_REJEITADO,amostra insuficiente; taxa-alvo baixa; limite Wilson baixo,46.640809938591985,SELETOR_DE_ENTRADA,False
DNA_9CCB6FCCE9D7,DNA_GAIN,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,FRACA,54.3456,9,6,3,66.66666666666667,1,1.0,2,2,1,1,7,67.5,7.5,0.1111111111111111,55.55555555555556,10,motor_operacional_c7_v3_1,VENDA,2,60.0,75.0,67.5,2,2,100.0,100.0,75.0,60.0,-15.0,62.66666666666667,MODERADA,GAIN,STOP,9,6,3,368,704,66.66666666666666,1.6042780748663104,99.57567185289957,0.03133159268929504,0.06177182588263646,65.67992599444959,34.59759481961147,1.926916221033868,35.419734749908976,2.0,0.3333333333333333,49.84126984126984,50.0,1081,374,66.66666666666666,33.33333333333334,6,D_REJEITADO,amostra insuficiente; poucos dias ativos; limite Wilson baixo; concentração em um dia,44.60612200628793,SELETOR_DE_ENTRADA,False
DNA_BF68E3CCCD78,DNA_GAIN,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,FRACA,38.5021,4,3,1,75.0,1,1.0,3,3,1,1,4,83.33333333333333,23.570226039551585,0.282842712474619,50.0,11,motor_c7_dna_fluxo_v5_2,VENDA,3,50.0,100.0,100.0,3,2,100.0,66.66666666666667,50.0,100.0,50.0,65.37258300203048,MODERADA,GAIN,STOP,4,3,1,371,706,75.0,0.8021390374331552,99.85855728429985,0.015873015873015876,0.05176182136964649,65.58741905642923,34.59759481961147,2.1677807486631018,30.063605244263663,3.0,0.5,41.517857142857146,42.857142857142854,1081,374,75.0,25.0,3,D_REJEITADO,amostra insuficiente; limite Wilson baixo; concentração em um dia,44.454776914837225,SELETOR_DE_ENTRADA,False
