dna_id,tipo_causa_stop,classe_dna,sequencia,stops_associados,dias_com_stop,motores_com_stop,lados_com_stop,hora_mais_frequente,concentracao_hora_pct,classe_certificacao,score_certificacao_v1_1,precisao_pct,recall_sensibilidade_pct,f1_score,mcc,lift_classe_alvo,wilson_95_inferior_classe_alvo_pct,profit_factor_classe_alvo_r,expectancia_classe_alvo_r,cobertura_historia_media_pct,previsoes,score_estabilidade
DNA_E23451CCC141,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,21,4,2,2,12,28.57142857142857,C_OBSERVACAO,64.68910483836159,87.5,2.9702970297029703,0.05745554035567715,0.06999923910949159,1.3378712871287128,68.99571185214243,7.0,0.75,23.412698412698415,24,79.45205434414432
DNA_67BF56E6F6F7,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,21,4,1,1,12,28.57142857142857,C_OBSERVACAO,62.02129791577241,77.77777777777779,2.9702970297029703,0.057220708446866476,0.041638976524858,1.1892189218921891,59.24270453692919,3.5,0.5555555555555556,67.77777777777777,27,84.23955298424582
DNA_9B7A4D78E305,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,21,4,2,1,13,19.047619047619047,C_OBSERVACAO,59.89108000358843,75.0,2.9702970297029703,0.05714285714285714,0.03290087343048551,1.1467468175388966,56.64397475929539,3.0,0.5,41.86224489795918,28,78.38176056574176
DNA_AA7FAA42A1C2,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,19,4,2,1,11,21.052631578947366,D_REJEITADO,65.79783796135393,90.47619047619048,2.6874115983026874,0.0521978021978022,0.07419195299733924,1.3833771132215262,71.08541613925934,9.5,0.8095238095238095,53.061224489795926,21,83.84384663744864
DNA_454C2AF1E3D3,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,19,4,1,2,12,15.789473684210526,C_OBSERVACAO,64.24986989502672,90.47619047619048,2.6874115983026874,0.0521978021978022,0.07419195299733924,1.3833771132215262,71.08541613925934,9.5,0.8095238095238095,52.53401360544218,21,76.10400630581259
DNA_1F43317DBDF1,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,19,3,2,2,11,21.052631578947366,C_OBSERVACAO,65.99369840577738,86.36363636363636,2.6874115983026874,0.052126200274348417,0.06351266470862867,1.3204963353478205,66.66458812053,6.333333333333333,0.7272727272727273,61.969696969696976,22,93.15523182237833
DNA_CEA0D4DD30CF,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,18,3,2,1,14,27.77777777777778,D_REJEITADO,51.50311122276787,72.0,2.545968882602546,0.049180327868852465,0.02134046467820093,1.1008769448373408,52.4230281034417,2.5714285714285716,0.44,44.442857142857136,25,49.6
DNA_5D6059A4B67E,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,17,4,1,2,15,17.647058823529413,C_OBSERVACAO,56.10032318554272,80.95238095238095,2.4045261669024045,0.046703296703296704,0.04601152390734497,1.2377584697245234,59.9990134607267,4.25,0.6190476190476191,56.44746787603929,21,59.32667334366229
DNA_6BFF2F641F08,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU,17,4,2,1,15,17.647058823529413,D_REJEITADO,55.17234993604492,65.38461538461539,2.4045261669024045,0.046384720327421546,-5.870993405114706e-05,0.9997279947774996,46.220229009632995,1.8888888888888888,0.3076923076923077,34.34371184371184,26,81.59298317180254
DNA_C7B9F0A98B44,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,16,4,1,2,15,18.75,C_OBSERVACAO,54.852871407507024,80.0,2.263083451202263,0.04401650618982118,0.04213265204973933,1.223196605374823,58.39782779742401,4.0,0.6,70.51587301587303,20,57.61238762937657
DNA_079D3E4481A7,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,16,4,2,1,11,18.75,C_OBSERVACAO,56.817985318414316,72.72727272727273,2.263083451202263,0.0438957475994513,0.022194395571199826,1.111996913977112,51.847876300998024,2.6666666666666665,0.45454545454545453,50.259740259740255,22,80.58331211273007
DNA_ADE909EAB40C,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,16,4,1,1,12,25.0,D_REJEITADO,48.93230593245912,66.66666666666666,2.263083451202263,0.04377564979480164,0.004004840472337911,1.0193305044790193,46.70595949408046,2.0,0.3333333333333333,96.1111111111111,24,51.33333333333333
DNA_41436FAF00CA,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,15,4,1,2,12,20.0,D_REJEITADO,59.559745720475846,78.94736842105263,2.1216407355021216,0.04132231404958678,0.03808663104413273,1.2071019131988385,56.66528575973391,3.75,0.5789473684210527,35.55764411027569,19,85.93095083774682
DNA_06528B31BF49,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,15,4,1,2,11,26.666666666666668,D_REJEITADO,57.44414718646286,78.94736842105263,2.1216407355021216,0.04132231404958678,0.03808663104413273,1.2071019131988385,56.66528575973391,3.75,0.5789473684210527,43.32706766917293,19,75.3529581676819
DNA_B5173119E64D,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,15,4,1,2,13,26.666666666666668,C_OBSERVACAO,55.77728160751364,71.42857142857143,2.1216407355021216,0.04120879120879121,0.017831094817350682,1.0921398262275206,50.04322617716241,2.5,0.42857142857142855,49.58427815570673,21,80.55125064381821
DNA_C18E60093772,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,15,4,1,2,15,20.0,C_OBSERVACAO,52.347611870267684,71.42857142857143,2.1216407355021216,0.04120879120879121,0.017831094817350682,1.0921398262275206,50.04322617716241,2.5,0.42857142857142855,45.76530612244898,21,63.402901957588426
DNA_CA55848B861F,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,14,4,1,1,0,14.285714285714285,D_REJEITADO,69.4414267469083,100.0,1.9801980198019802,0.038834951456310676,0.08331206560633682,1.5289957567185288,78.46829880728185,inf,1.0,52.653061224489804,14,93.71428571428572
DNA_615C44D1EC83,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,14,3,2,2,14,14.285714285714285,D_REJEITADO,62.32223684457088,93.33333333333333,1.9801980198019802,0.038781163434903045,0.06965183793054813,1.427062706270627,70.182922447576,14.0,0.8666666666666667,70.34920634920634,15,73.58124098860287
DNA_C75189E144B6,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,14,4,1,1,5,14.285714285714285,D_REJEITADO,62.3924517352383,87.5,1.9801980198019802,0.03872752420470263,0.056939071321027955,1.3378712871287128,63.976668563251714,7.0,0.75,45.08928571428571,16,86.25073711967896
DNA_0721D6E6F3C9,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,14,4,1,1,12,21.428571428571427,D_REJEITADO,58.4514250153364,77.77777777777779,1.9801980198019802,0.03862068965517241,0.03385385188465046,1.1892189218921891,54.784973547694506,3.5,0.5555555555555556,35.68121693121694,18,85.47254852689036
DNA_86B4984E6916,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,14,4,1,1,15,21.428571428571427,D_REJEITADO,52.07939283583364,77.77777777777779,1.9801980198019802,0.03862068965517241,0.03385385188465046,1.1892189218921891,54.784973547694506,3.5,0.5555555555555556,57.12522045855379,18,53.61238762937657
DNA_B22497B06940,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,14,4,1,1,15,21.428571428571427,D_REJEITADO,52.07939283583364,77.77777777777779,1.9801980198019802,0.03862068965517241,0.03385385188465046,1.1892189218921891,54.784973547694506,3.5,0.5555555555555556,71.40652557319225,18,53.61238762937657
DNA_3E46707908B4,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,14,4,1,2,13,28.57142857142857,D_REJEITADO,54.85409818698059,70.0,1.9801980198019802,0.03851444291609353,0.013269916393358967,1.0702970297029701,48.10232237710205,2.3333333333333335,0.4,60.91269841269841,20,81.4106985021622
DNA_A766C48B4FE5,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,14,4,1,1,13,21.428571428571427,D_REJEITADO,52.761308677237075,66.66666666666666,1.9801980198019802,0.038461538461538464,0.0037408802723535423,1.0193305044790193,45.37307565721029,2.0,0.3333333333333333,41.0374149659864,21,76.583535465756
DNA_5CCB7B3B1DDB,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,14,4,1,1,22,21.428571428571427,D_REJEITADO,52.70374965843673,66.66666666666666,1.9801980198019802,0.038461538461538464,0.0037408802723535423,1.0193305044790193,45.37307565721029,2.0,0.3333333333333333,38.57142857142857,21,76.29574037175426
