trade_id;inicio;fim;lado;status_real;resultado_real;snapshots;mfe_final;mae_final;conjunto
20260722052941935135;2026-07-22 05:29:30.154;2026-07-22 05:30:43.533;COMPRA;GAIN;1600,0;7;1600,0;0,0;VALIDACAO
20260722054536976485;2026-07-22 05:45:24.530;2026-07-22 05:57:36.527;COMPRA;GAIN;1600,0;58;1600,0;-675,0;VALIDACAO
20260722055917691705;2026-07-22 05:59:05.427;2026-07-22 06:07:42.441;VENDA;LOSS;-2900,0;43;350,0;-3700,0;VALIDACAO
20260722061224731143;2026-07-22 06:12:10.825;2026-07-22 06:30:52.121;VENDA;GAIN;1600,0;91;1775,0;-1125,0;VALIDACAO
20260722063319508540;2026-07-22 06:33:07.748;2026-07-22 06:56:06.283;VENDA;PROTEGIDO;0,0;112;1500,0;-1725,0;VALIDACAO
20260722070316964203;2026-07-22 07:03:05.108;2026-07-22 07:11:54.114;COMPRA;LOSS;-2900,0;44;0,0;-3100,0;VALIDACAO
20260722071600092327;2026-07-22 07:15:46.414;2026-07-22 07:20:31.313;COMPRA;GAIN;1600,0;24;2550,0;-1375,0;VALIDACAO
20260722072451015608;2026-07-22 07:24:39.012;2026-07-22 07:53:11.007;COMPRA;PROTEGIDO;0,0;140;1150,0;-2400,0;VALIDACAO
20260722080508307879;2026-07-22 08:04:56.494;2026-07-22 08:15:13.126;VENDA;GAIN;1600,0;51;1925,0;-900,0;VALIDACAO
20260722081703900700;2026-07-22 08:16:50.704;2026-07-22 08:24:39.002;COMPRA;PROTEGIDO;0,0;39;1375,0;-900,0;VALIDACAO
20260722082618974311;2026-07-22 08:26:07.159;2026-07-22 08:33:16.100;VENDA;PROTEGIDO;0,0;36;1325,0;-75,0;VALIDACAO
20260722083735780929;2026-07-22 08:37:23.899;2026-07-22 08:40:53.557;VENDA;GAIN;1600,0;18;3925,0;-75,0;VALIDACAO
20260722084447370745;2026-07-22 08:44:34.498;2026-07-22 08:47:28.397;COMPRA;GAIN;1600,0;15;2550,0;-725,0;VALIDACAO
20260722085057935092;2026-07-22 08:50:45.198;2026-07-22 08:56:17.297;VENDA;GAIN;1600,0;28;1675,0;-825,0;VALIDACAO
20260722090023731918;2026-07-22 09:00:11.895;2026-07-22 09:04:30.297;COMPRA;LOSS;-2900,0;22;275,0;-3300,0;VALIDACAO
20260722090825184733;2026-07-22 09:08:12.694;2026-07-22 09:14:00.093;COMPRA;GAIN;1600,0;29;1625,0;-100,0;VALIDACAO
20260722091549871173;2026-07-22 09:15:38.093;2026-07-22 09:19:06.799;VENDA;GAIN;1600,0;18;1650,0;0,0;VALIDACAO
20260722092109918593;2026-07-22 09:20:58.001;2026-07-22 09:30:10.314;COMPRA;GAIN;1600,0;37;1725,0;-2850,0;VALIDACAO
