posicao_ranking;id_regra;score_lado_max;score_oposto_min;perda_minima;persistencia_s;mfe_maximo;modo_fluxo;exigir_rompimento_contrario;conjunto_treino;qtd_trades_treino;disparos_treino;taxa_disparo_pct_treino;resultado_real_total_treino;resultado_sombra_total_treino;impacto_liquido_treino;impacto_medio_trade_treino;losses_salvos_treino;gains_prejudicados_treino;protegidos_prejudicados_treino;timeouts_melhorados_treino;score_lado_max_treino;score_oposto_min_treino;perda_minima_treino;persistencia_s_treino;mfe_maximo_treino;modo_fluxo_treino;exigir_rompimento_contrario_treino;conjunto_validacao;qtd_trades_validacao;disparos_validacao;taxa_disparo_pct_validacao;resultado_real_total_validacao;resultado_sombra_total_validacao;impacto_liquido_validacao;impacto_medio_trade_validacao;losses_salvos_validacao;gains_prejudicados_validacao;protegidos_prejudicados_validacao;timeouts_melhorados_validacao;score_lado_max_validacao;score_oposto_min_validacao;perda_minima_validacao;persistencia_s_validacao;mfe_maximo_validacao;modo_fluxo_validacao;exigir_rompimento_contrario_validacao;validacao_positiva;impacto_conservador
11;1036;40;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;40;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
12;1040;40;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;40;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
13;1044;40;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;40;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
14;1048;40;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;40;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
15;1052;40;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;40;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
16;1056;40;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;40;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
17;1540;50;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;50;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
18;1544;50;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;50;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
19;1548;50;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;50;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
20;1552;50;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;50;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
21;1556;50;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;50;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
22;1560;50;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;50;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
23;1564;50;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;50;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
24;1568;50;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;50;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
25;644;30;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;30;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
26;648;30;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;30;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
27;652;30;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;30;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
28;656;30;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;30;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
29;660;30;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;30;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
30;664;30;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;30;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
31;668;30;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;30;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
32;672;30;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;30;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
33;1156;40;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;40;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
34;1160;40;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;40;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
35;1164;40;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;40;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
36;1168;40;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;40;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
37;1172;40;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;40;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
38;1176;40;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;40;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
39;1180;40;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;40;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
40;1184;40;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;40;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
41;1668;50;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;50;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;80;300;2;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
42;1672;50;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;50;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;80;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
43;1676;50;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;50;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;80;300;3;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
44;1680;50;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;50;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;80;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
45;1684;50;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;50;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;80;300;5;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
46;1688;50;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;50;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;80;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
47;1692;50;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;50;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;80;300;8;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
48;1696;50;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;5;11,904761904761905;-19900,0;-12900,0;7000,0;166,66666666666666;4;0;1;0;50;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;80;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
49;518;30;70;300;2;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;30;70;300;2;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;2;500,0;SOMENTE_SCORES;True;True;975,0
50;526;30;70;300;3;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;30;70;300;3;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;3;500,0;SOMENTE_SCORES;True;True;975,0
51;534;30;70;300;5;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;30;70;300;5;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;5;500,0;SOMENTE_SCORES;True;True;975,0
52;542;30;70;300;8;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;30;70;300;8;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;8;500,0;SOMENTE_SCORES;True;True;975,0
53;1030;40;70;300;2;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;40;70;300;2;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;2;500,0;SOMENTE_SCORES;True;True;975,0
54;1038;40;70;300;3;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;40;70;300;3;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;3;500,0;SOMENTE_SCORES;True;True;975,0
55;1046;40;70;300;5;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;40;70;300;5;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;5;500,0;SOMENTE_SCORES;True;True;975,0
56;1054;40;70;300;8;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;40;70;300;8;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;8;500,0;SOMENTE_SCORES;True;True;975,0
57;1542;50;70;300;2;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;50;70;300;2;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;2;500,0;SOMENTE_SCORES;True;True;975,0
58;1550;50;70;300;3;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;50;70;300;3;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;3;500,0;SOMENTE_SCORES;True;True;975,0
59;1558;50;70;300;5;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;50;70;300;5;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;5;500,0;SOMENTE_SCORES;True;True;975,0
60;1566;50;70;300;8;500,0;SOMENTE_SCORES;True;TREINO;42;8;19,047619047619047;-19900,0;-13675,0;6225,0;148,21428571428572;6;1;1;0;50;70;300;8;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;50;70;300;8;500,0;SOMENTE_SCORES;True;True;975,0
61;6;20;70;300;2;500,0;SOMENTE_SCORES;True;TREINO;42;5;11,904761904761905;-19900,0;-14100,0;5800,0;138,0952380952381;5;0;0;0;20;70;300;2;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;20;70;300;2;500,0;SOMENTE_SCORES;True;True;975,0
62;14;20;70;300;3;500,0;SOMENTE_SCORES;True;TREINO;42;5;11,904761904761905;-19900,0;-14100,0;5800,0;138,0952380952381;5;0;0;0;20;70;300;3;500,0;SOMENTE_SCORES;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;20;70;300;3;500,0;SOMENTE_SCORES;True;True;975,0
