variavel;media_movimentos;media_lateral;diferenca;z_vs_lateral;z_absoluto;direcao_comum;movimentos_acima_mediana_lateral;movimentos_abaixo_mediana_lateral;consistencia_5_movimentos;percentil_lateral_medio;percentil_lateral_min;percentil_lateral_max
inicio60s_trades_var;443,8;66,09322033898304;377,706779661017;8,231482394174334;8,231482394174334;ACIMA_LATERAL;5;0;1,0;0,8983050847457626;0,7372881355932204;1,0
inicio60s_trades_vel_s;7,477905103510918;1,1634997310638475;6,31440537244707;7,988561637565849;7,988561637565849;ACIMA_LATERAL;5;0;1,0;0,8949152542372882;0,7245762711864406;1,0
inicio60s_volume_var;474,4;71,90677966101696;402,493220338983;7,910111612540784;7,910111612540784;ACIMA_LATERAL;5;0;1,0;0,8932203389830509;0,6864406779661016;1,0
inicio60s_volume_vel_s;7,997406472125772;1,2657022910858948;6,731704181039877;7,681217729330851;7,681217729330851;ACIMA_LATERAL;5;0;1,0;0,8923728813559322;0,673728813559322;1,0
inicio30s_volume_var;253,8;36,25847457627118;217,54152542372884;7,46594558998759;7,46594558998759;ACIMA_LATERAL;5;0;1,0;0,8847457627118643;0,6610169491525424;1,0
inicio60s_linhas;574,2;101,11440677966101;473,08559322033904;7,4536417638840256;7,4536417638840256;ACIMA_LATERAL;5;0;1,0;0,8838983050847457;0,6652542372881356;1,0
inicio30s_trades_var;232,8;33,88559322033898;198,91440677966102;7,391732465088686;7,391732465088686;ACIMA_LATERAL;5;0;1,0;0,8830508474576272;0,6864406779661016;1,0
inicio60s_agressor_compra_sum;270,4;41,20338983050848;229,1966101694915;7,201052638651319;7,201052638651319;ACIMA_LATERAL;5;0;1,0;0,9084745762711866;0,673728813559322;1,0
inicio30s_agressor_compra_sum;151,2;21,177966101694917;130,02203389830507;7,042202584843137;7,042202584843137;ACIMA_LATERAL;5;0;1,0;0,8949152542372882;0,6313559322033898;1,0
inicio60s_agressor_venda_sum;248,2;41,101694915254235;207,09830508474576;6,825509936143854;6,825509936143854;ACIMA_LATERAL;5;0;1,0;0,8610169491525423;0,7161016949152542;1,0
