amostra;grupo;inicio_movimento;fim_movimento;direcao_movimento;movimento_total_pts;amplitude_total_pts;pre10s_linhas;pre10s_duracao_s;pre10s_preco_var_pts;pre10s_amplitude_pts;pre10s_spread_medio;pre10s_spread_max;pre10s_volume_var;pre10s_volume_vel_s;pre10s_ticks_var;pre10s_ticks_vel_s;pre10s_trades_var;pre10s_trades_vel_s;pre10s_agressor_compra_sum;pre10s_agressor_venda_sum;pre10s_saldo_agressor;pre10s_razao_agressor_cv;pre10s_delta_var;pre10s_delta_agressor_medio;pre10s_imbalance_medio;pre10s_imbalance_min;pre10s_imbalance_max;pre10s_imbalance_std;pre10s_bid_size_medio;pre10s_ask_size_medio;pre10s_razao_bid_ask;pre10s_last_size_medio;pre10s_last_size_max;pre15s_linhas;pre15s_duracao_s;pre15s_preco_var_pts;pre15s_amplitude_pts;pre15s_spread_medio;pre15s_spread_max;pre15s_volume_var;pre15s_volume_vel_s;pre15s_ticks_var;pre15s_ticks_vel_s;pre15s_trades_var;pre15s_trades_vel_s;pre15s_agressor_compra_sum;pre15s_agressor_venda_sum;pre15s_saldo_agressor;pre15s_razao_agressor_cv;pre15s_delta_var;pre15s_delta_agressor_medio;pre15s_imbalance_medio;pre15s_imbalance_min;pre15s_imbalance_max;pre15s_imbalance_std;pre15s_bid_size_medio;pre15s_ask_size_medio;pre15s_razao_bid_ask;pre15s_last_size_medio;pre15s_last_size_max;pre30s_linhas;pre30s_duracao_s;pre30s_preco_var_pts;pre30s_amplitude_pts;pre30s_spread_medio;pre30s_spread_max;pre30s_volume_var;pre30s_volume_vel_s;pre30s_ticks_var;pre30s_ticks_vel_s;pre30s_trades_var;pre30s_trades_vel_s;pre30s_agressor_compra_sum;pre30s_agressor_venda_sum;pre30s_saldo_agressor;pre30s_razao_agressor_cv;pre30s_delta_var;pre30s_delta_agressor_medio;pre30s_imbalance_medio;pre30s_imbalance_min;pre30s_imbalance_max;pre30s_imbalance_std;pre30s_bid_size_medio;pre30s_ask_size_medio;pre30s_razao_bid_ask;pre30s_last_size_medio;pre30s_last_size_max;pre60s_linhas;pre60s_duracao_s;pre60s_preco_var_pts;pre60s_amplitude_pts;pre60s_spread_medio;pre60s_spread_max;pre60s_volume_var;pre60s_volume_vel_s;pre60s_ticks_var;pre60s_ticks_vel_s;pre60s_trades_var;pre60s_trades_vel_s;pre60s_agressor_compra_sum;pre60s_agressor_venda_sum;pre60s_saldo_agressor;pre60s_razao_agressor_cv;pre60s_delta_var;pre60s_delta_agressor_medio;pre60s_imbalance_medio;pre60s_imbalance_min;pre60s_imbalance_max;pre60s_imbalance_std;pre60s_bid_size_medio;pre60s_ask_size_medio;pre60s_razao_bid_ask;pre60s_last_size_medio;pre60s_last_size_max;inicio5s_linhas;inicio5s_duracao_s;inicio5s_preco_var_pts;inicio5s_amplitude_pts;inicio5s_spread_medio;inicio5s_spread_max;inicio5s_volume_var;inicio5s_volume_vel_s;inicio5s_ticks_var;inicio5s_ticks_vel_s;inicio5s_trades_var;inicio5s_trades_vel_s;inicio5s_agressor_compra_sum;inicio5s_agressor_venda_sum;inicio5s_saldo_agressor;inicio5s_razao_agressor_cv;inicio5s_delta_var;inicio5s_delta_agressor_medio;inicio5s_imbalance_medio;inicio5s_imbalance_min;inicio5s_imbalance_max;inicio5s_imbalance_std;inicio5s_bid_size_medio;inicio5s_ask_size_medio;inicio5s_razao_bid_ask;inicio5s_last_size_medio;inicio5s_last_size_max;inicio10s_linhas;inicio10s_duracao_s;inicio10s_preco_var_pts;inicio10s_amplitude_pts;inicio10s_spread_medio;inicio10s_spread_max;inicio10s_volume_var;inicio10s_volume_vel_s;inicio10s_ticks_var;inicio10s_ticks_vel_s;inicio10s_trades_var;inicio10s_trades_vel_s;inicio10s_agressor_compra_sum;inicio10s_agressor_venda_sum;inicio10s_saldo_agressor;inicio10s_razao_agressor_cv;inicio10s_delta_var;inicio10s_delta_agressor_medio;inicio10s_imbalance_medio;inicio10s_imbalance_min;inicio10s_imbalance_max;inicio10s_imbalance_std;inicio10s_bid_size_medio;inicio10s_ask_size_medio;inicio10s_razao_bid_ask;inicio10s_last_size_medio;inicio10s_last_size_max;inicio15s_linhas;inicio15s_duracao_s;inicio15s_preco_var_pts;inicio15s_amplitude_pts;inicio15s_spread_medio;inicio15s_spread_max;inicio15s_volume_var;inicio15s_volume_vel_s;inicio15s_ticks_var;inicio15s_ticks_vel_s;inicio15s_trades_var;inicio15s_trades_vel_s;inicio15s_agressor_compra_sum;inicio15s_agressor_venda_sum;inicio15s_saldo_agressor;inicio15s_razao_agressor_cv;inicio15s_delta_var;inicio15s_delta_agressor_medio;inicio15s_imbalance_medio;inicio15s_imbalance_min;inicio15s_imbalance_max;inicio15s_imbalance_std;inicio15s_bid_size_medio;inicio15s_ask_size_medio;inicio15s_razao_bid_ask;inicio15s_last_size_medio;inicio15s_last_size_max;inicio30s_linhas;inicio30s_duracao_s;inicio30s_preco_var_pts;inicio30s_amplitude_pts;inicio30s_spread_medio;inicio30s_spread_max;inicio30s_volume_var;inicio30s_volume_vel_s;inicio30s_ticks_var;inicio30s_ticks_vel_s;inicio30s_trades_var;inicio30s_trades_vel_s;inicio30s_agressor_compra_sum;inicio30s_agressor_venda_sum;inicio30s_saldo_agressor;inicio30s_razao_agressor_cv;inicio30s_delta_var;inicio30s_delta_agressor_medio;inicio30s_imbalance_medio;inicio30s_imbalance_min;inicio30s_imbalance_max;inicio30s_imbalance_std;inicio30s_bid_size_medio;inicio30s_ask_size_medio;inicio30s_razao_bid_ask;inicio30s_last_size_medio;inicio30s_last_size_max;inicio60s_linhas;inicio60s_duracao_s;inicio60s_preco_var_pts;inicio60s_amplitude_pts;inicio60s_spread_medio;inicio60s_spread_max;inicio60s_volume_var;inicio60s_volume_vel_s;inicio60s_ticks_var;inicio60s_ticks_vel_s;inicio60s_trades_var;inicio60s_trades_vel_s;inicio60s_agressor_compra_sum;inicio60s_agressor_venda_sum;inicio60s_saldo_agressor;inicio60s_razao_agressor_cv;inicio60s_delta_var;inicio60s_delta_agressor_medio;inicio60s_imbalance_medio;inicio60s_imbalance_min;inicio60s_imbalance_max;inicio60s_imbalance_std;inicio60s_bid_size_medio;inicio60s_ask_size_medio;inicio60s_razao_bid_ask;inicio60s_last_size_medio;inicio60s_last_size_max;pre5s_linhas;pre5s_duracao_s;pre5s_preco_var_pts;pre5s_amplitude_pts;pre5s_spread_medio;pre5s_spread_max;pre5s_volume_var;pre5s_volume_vel_s;pre5s_ticks_var;pre5s_ticks_vel_s;pre5s_trades_var;pre5s_trades_vel_s;pre5s_agressor_compra_sum;pre5s_agressor_venda_sum;pre5s_saldo_agressor;pre5s_razao_agressor_cv;pre5s_delta_var;pre5s_delta_agressor_medio;pre5s_imbalance_medio;pre5s_imbalance_min;pre5s_imbalance_max;pre5s_imbalance_std;pre5s_bid_size_medio;pre5s_ask_size_medio;pre5s_razao_bid_ask;pre5s_last_size_medio;pre5s_last_size_max
MOV_01;MOVIMENTO;2026-07-14 01:20:00;2026-07-14 02:30:00;ALTA;20800,0;21250,0;2;1,0;0,0;0,0;1,875;2,0;0,0;0,0;9,0;9,0;0,0;0,0;0,0;1,0;-1,0;0,0;0,0;-0,5;1,5;1,0;2,0;0,5;1,5;1,0;1,5;1,0;1,0;8;8,21;-325,0;325,0;1,65625;2,0;4,0;0,48721071863580995;292,0;35,566382460414125;4,0;0,48721071863580995;4,0;1,0;3,0;4,0;2,0;0,375;0,8125;0,5;2,0;0,49607837082461076;1,25;1,75;0,7142857142857143;1,0;1,0;26;21,768;-100,0;375,0;1,6538461538461537;2,5;13,0;0,5972069092245498;922,0;42,355751561925764;13,0;0,5972069092245498;10,0;5,0;5,0;2,0;4,0;0,19230769230769232;0,9615384615384616;0,3333333333333333;2,0;0,4392779922823542;1,3076923076923077;1,5384615384615385;0,85;1,0;1,0;89;53,096;-750,0;825,0;1,5870786516853932;2,5;54,0;1,0170257646527046;2479,0;46,68901612174175;54,0;1,0170257646527046;28,0;33,0;-5,0;0,8484848484848485;-6,0;-0,056179775280898875;1,046816479400749;0,3333333333333333;3,0;0,5933404683559463;1,3258426966292134;1,4831460674157304;0,8939393939393938;1,0;1,0;4;1,0;100,0;100,0;1,125;1,25;3,0;3,0;10,0;10,0;3,0;3,0;5,0;0,0;5,0;5000000000,0;3,0;1,25;0,875;0,5;1,0;0,21650635094610965;1,25;1,5;0,8333333333333334;1,25;2,0;19;4,978;350,0;400,0;1,644736842105263;2,25;12,0;2,4106066693451185;403,0;80,95620731217356;11,0;2,2097227802330255;14,0;4,0;10,0;3,5;8,0;0,5263157894736842;1,0;0,5;3,0;0,5848976518656018;1,263157894736842;1,4210526315789473;0,8888888888888888;1,105263157894737;2,0;30;9,977;800,0;925,0;1,5;2,25;19,0;1,9043800741705923;754,0;75,57381978550666;18,0;1,8041495439510875;22,0;5,0;17,0;4,4;15,0;0,5666666666666667;0,9666666666666667;0,5;3,0;0,48189440982669873;1,3;1,4666666666666666;0,8863636363636365;1,0666666666666667;2,0;101;24,878;1275,0;1700,0;1,381188118811881;2,25;66,0;2,652946378326232;1916,0;77,01583728595546;64,0;2,5725540638314977;61,0;21,0;40,0;2,9047619047619047;38,0;0,39603960396039606;0,9133663366336634;0,25;3,0;0,5563565063582054;1,2772277227722773;1,693069306930693;0,7543859649122807;1,0297029702970297;2,0;175;54,581;1975,0;2300,0;1,3;2,25;123,0;2,253531448672615;3731,0;68,35712060973599;112,0;2,051996115864495;96,0;56,0;40,0;1,7142857142857142;38,0;0,22857142857142856;1,3262448979591837;0,1428571428571428;12,0;1,825685079455917;1,6857142857142857;1,72;0,9800664451827242;1,0971428571428572;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOV_02;MOVIMENTO;2026-07-14 03:36:00;2026-07-14 04:02:00;QUEDA;-6475,0;7800,0;48;8,786;175,0;425,0;1,0572916666666667;1,5;59,0;6,715228773048032;441,0;50,19348964261325;34,0;3,8697928522649674;41,0;23,0;18,0;1,7826086956521738;19,0;0,375;0,9926984126984127;0,04;4,0;0,8729903026558292;1,6458333333333333;6,791666666666667;0,24233128834355827;1,5208333333333333;21,0;65;10,695;75,0;425,0;1,0923076923076922;1,75;89,0;8,321645628798503;515,0;48,15334268349696;49,0;4,581580177653109;61,0;33,0;28,0;1,8484848484848484;29,0;0,4307692307692308;1,1768302808302806;0,04;4,0;0,91585465114035;1,9846153846153847;5,861538461538461;0,33858267716535434;1,6153846153846154;21,0;154;27,937;-975,0;1250,0;1,1233766233766234;1,75;162,0;5,798761499087232;1312,0;46,96280917779289;121,0;4,3311737122812035;72,0;101,0;-29,0;0,7128712871287128;-28,0;-0,18831168831168832;1,3867573696145126;0,04;5,0;1,136653115703134;1,87012987012987;3,311688311688312;0,5647058823529412;1,2727272727272727;21,0;214;59,616;-1100,0;1475,0;1,1366822429906542;1,75;203,0;3,405126140633387;2687,0;45,071792807300056;161,0;2,7006172839506175;94,0;125,0;-31,0;0,752;-32,0;-0,14485981308411214;1,3219344310933094;0,04;5,0;1,0527100638143871;1,7242990654205608;2,7710280373831777;0,6222596964586846;1,2009345794392523;21,0;6;1,3519999999999999;150,0;150,0;1,125;1,25;2,0;1,4792899408284026;138,0;102,07100591715977;2,0;1,4792899408284026;4,0;0,0;4,0;3999999999,9999995;2,0;0,6666666666666666;0,9166666666666666;0,5;1,0;0,18633899812498245;1,0;1,1666666666666667;0,8571428571428571;1,3333333333333333;2,0;11;9,552;50,0;150,0;1,0;1,25;5,0;0,5234505862646567;440,0;46,06365159128978;5,0;0,5234505862646567;7,0;0,0;7,0;7000000000,0;5,0;0,6363636363636364;0,9545454545454546;0,5;2,0;0,3962635403218794;1,0909090909090908;1,2727272727272727;0,8571428571428571;1,1818181818181819;2,0;19;12,164;275,0;275,0;1,013157894736842;1,25;12,0;0,9865175928970733;521,0;42,8313054916146;12,0;0,9865175928970733;15,0;0,0;15,0;15000000000,0;13,0;0,7894736842105263;0,8421052631578947;0,5;2,0;0,4603383074877868;1,105263157894737;1,5263157894736843;0,7241379310344828;1,105263157894737;2,0;55;29,715;-575,0;875,0;1,0954545454545455;1,5;38,0;1,2788154130910314;1185,0;39,87884906612822;37,0;1,2451623759044255;19,0;25,0;-6,0;0,76;-8,0;-0,10909090909090909;1,1272727272727272;0,5;3,0;0,7337214099629481;1,290909090909091;1,3272727272727274;0,9726027397260274;1,0727272727272728;2,0;114;59,161;-250,0;875,0;1,2105263157894737;1,75;86,0;1,4536603505687868;2367,0;40,00946569530603;85,0;1,4367573232365916;44,0;50,0;-6,0;0,88;-8,0;-0,05263157894736842;1,006578947368421;0,25;3,0;0,594621844960438;1,2105263157894737;1,3771929824561404;0,8789808917197451;1,0350877192982457;2,0;22,0;3,627;100,0;250,0;1,0795454545454546;1,5;34,0;9,374138406396472;275,0;75,8202371105597;13,0;3,5842293906810037;34,0;6,0;28,0;5,666666666666667;24,0;1,2727272727272727;1,171038961038961;0,12;4,0;0,9796914797596115;1,6363636363636365;3,409090909090909;0,48000000000000004;2,090909090909091;21,0
MOV_03;MOVIMENTO;2026-07-14 08:14:00;2026-07-14 08:24:00;ALTA;5900,0;7250,0;49;9,829;425,0;775,0;1,2346938775510203;2,25;38,0;3,866110489368196;1215,0;123,61379591006205;32,0;3,255671991046902;19,0;24,0;-5,0;0,7916666666666666;-4,0;-0,10204081632653061;1,5374149659863947;0,25;6,0;1,5133627413766018;1,7959183673469388;1,5510204081632653;1,1578947368421053;1,183673469387755;4,0;71;14,854;725,0;1075,0;1,267605633802817;2,25;52,0;3,500740541268345;1930,0;129,93133162784437;46,0;3,096808940352767;25,0;33,0;-8,0;0,7575757575757576;-7,0;-0,11267605633802817;1,3497652582159623;0,25;6,0;1,2997245794609642;1,6056338028169015;1,4929577464788732;1,0754716981132075;1,1267605633802817;4,0;119;29,457;725,0;1500,0;1,2752100840336134;2,25;84,0;2,8516142173337404;3095,0;105,0684047934277;77,0;2,6139796992225954;42,0;55,0;-13,0;0,7636363636363637;-14,0;-0,1092436974789916;1,2338935574229692;0,25;6,0;1,103178356962018;1,5126050420168067;1,5210084033613445;0,994475138121547;1,084033613445378;4,0;211;59,801;725,0;1575,0;1,3376777251184835;2,75;157,0;2,6253741576227823;5872,0;98,19233792077056;133,0;2,224043076202739;71,0;108,0;-37,0;0,6574074074074074;-37,0;-0,17535545023696683;1,4277251184834123;0,25;17,0;1,7937186012557;1,7156398104265402;1,4691943127962086;1,167741935483871;1,132701421800948;17,0;15;3,388;275,0;325,0;1,2666666666666666;1,75;8,0;2,3612750885478158;408,0;120,4250295159386;8,0;2,3612750885478158;10,0;1,0;9,0;10,0;8,0;0,6;1,2333333333333334;0,5;3,0;0,8137703743822469;1,6;1,4666666666666666;1,090909090909091;1,0;1,0;57;8,389;400,0;550,0;1,1666666666666667;1,75;44,0;5,244963642865658;1105,0;131,72010966742164;38,0;4,529741327929432;32,0;15,0;17,0;2,1333333333333333;16,0;0,2982456140350877;1,0403508771929824;0,2;3,0;0,561282881777472;1,368421052631579;1,5087719298245614;0,9069767441860466;1,1754385964912282;5,0;69;13,588;475,0;550,0;1,1956521739130435;1,75;52,0;3,8269060936120107;1416,0;104,20959670297322;46,0;3,385340005887548;36,0;20,0;16,0;1,8;15,0;0,2318840579710145;1,0526570048309178;0,2;3,0;0,5621274804299067;1,4202898550724639;1,5217391304347827;0,9333333333333333;1,144927536231884;5,0;141;28,494;850,0;1300,0;1,2925531914893618;1,75;100,0;3,509510774198077;2377,0;83,42107110268829;94,0;3,2989401277461923;60,0;52,0;8,0;1,1538461538461537;7,0;0,05673758865248227;1,1144208037825059;0,2;5,0;0,6990289895304231;1,4609929078014185;1,4893617021276595;0,980952380952381;1,070921985815603;5,0;387;58,739;2975,0;3300,0;1,319767441860465;4,75;294,0;5,0051924615672725;5228,0;89,0038986022915;274,0;4,664703178467458;184,0;145,0;39,0;1,2689655172413794;38,0;0,10077519379844961;1,2695951765719207;0,0833333333333333;13,0;1,0879445529666842;1,5219638242894056;1,4573643410852712;1,0443262411347518;1,0645994832041343;6,0;18,0;4,418;-200,0;350,0;1,2361111111111112;1,75;13,0;2,942507922136713;614,0;138,97691263014937;10,0;2,263467632412856;3,0;12,0;-9,0;0,25;-8,0;-0,5;1,6898148148148147;0,25;5,0;1,5340290177942664;1,9444444444444444;1,4444444444444444;1,3461538461538463;1,1666666666666667;4,0
MOV_04;MOVIMENTO;2026-07-14 09:18:00;2026-07-14 09:31:00;ALTA;32050,0;32900,0;39;7,032;-450,0;875,0;1,3269230769230769;2,25;27,0;3,839590443686007;560,0;79,63594994311718;25,0;3,5551763367463027;17,0;14,0;3,0;1,2142857142857142;2,0;0,07692307692307693;0,9846153846153846;0,25;3,0;0,5141361329279601;1,358974358974359;1,6666666666666667;0,8153846153846154;1,0512820512820513;3,0;44;13,767;-375,0;875,0;1,2840909090909092;2,25;31,0;2,2517614585603254;898,0;65,22844483184427;29,0;2,106486525749982;19,0;17,0;2,0;1,1176470588235294;3,0;0,045454545454545456;0,9863636363636363;0,25;3,0;0,48406779002981865;1,3181818181818181;1,5909090909090908;0,8285714285714286;1,0454545454545454;3,0;68;29,752;-50,0;875,0;1,2316176470588236;2,25;46,0;1,5461145469212154;1710,0;57,47512772250605;44,0;1,4788921753159452;25,0;28,0;-3,0;0,8928571428571429;-2,0;-0,04411764705882353;1,1308823529411764;0,25;3,0;0,6289987420748301;1,3676470588235294;1,4264705882352942;0,9587628865979382;1,0294117647058822;3,0;163;59,786;-425,0;875,0;1,2653374233128833;2,25;113,0;1,890074599404543;3174,0;53,08935202221256;108,0;1,806442979961864;68,0;62,0;6,0;1,096774193548387;7,0;0,03680981595092025;1,1455010224948876;0,2;4,0;0,6617354982399359;1,4110429447852761;1,4846625766871167;0,9504132231404958;1,030674846625767;4,0;33;3,907;275,0;550,0;1,143939393939394;2,75;50,0;12,79754287176862;420,0;107,49936012285642;24,0;6,142820578448938;33,0;18,0;15,0;1,8333333333333333;14,0;0,45454545454545453;1,040285976649613;0,0454545454545454;3,0;0,7522035561075072;1,6666666666666667;5,212121212121212;0,31976744186046513;2,121212121212121;10,0;53;9,203;125,0;600,0;1,1603773584905661;2,75;65,0;7,06291426708682;789,0;85,73291318048463;39,0;4,237748560252092;41,0;27,0;14,0;1,5185185185185186;13,0;0,2641509433962264;1,1571591930082497;0,0454545454545454;3,0;0,6717513902784799;1,6226415094339623;3,6792452830188678;0,44102564102564107;1,6981132075471699;10,0;65;11,198;275,0;600,0;1,1538461538461537;2,75;73,0;6,51902125379532;971,0;86,71191284157885;47,0;4,197178067512056;47,0;30,0;17,0;1,5666666666666667;16,0;0,26153846153846155;1,0789144189144189;0,0454545454545454;3,0;0,6490289478307508;1,5076923076923077;3,4307692307692306;0,43946188340807174;1,5692307692307692;10,0;95;27,997;475,0;775,0;1,1421052631578947;2,75;93,0;3,32178447690824;2153,0;76,90109654605851;67,0;2,39311354788013;56,0;44,0;12,0;1,2727272727272727;11,0;0,12631578947368421;0,9873274094326725;0,0454545454545454;3,0;0,5727029757189432;1,3473684210526315;2,8105263157894735;0,4794007490636704;1,3894736842105264;10,0;167;57,797;1025,0;1075,0;1,1991017964071857;2,75;148,0;2,560686540823918;3558,0;61,56028859629393;116,0;2,007024586051179;92,0;67,0;25,0;1,373134328358209;24,0;0,1497005988023952;0,9218329574616999;0,0454545454545454;3,0;0,5653775906083363;1,3053892215568863;2,4011976047904193;0,543640897755611;1,2574850299401197;10,0;20,0;4,75;-725,0;725,0;1,3625;2,25;12,0;2,526315789473684;349,0;73,47368421052632;12,0;2,526315789473684;3,0;12,0;-9,0;0,25;-8,0;-0,45;1,1291666666666667;0,5;3,0;0,6205256508262438;1,45;1,5;0,9666666666666667;1,0;1,0
MOV_05;MOVIMENTO;2026-07-14 11:00:00;2026-07-14 11:16:00;QUEDA;-18125,0;20200,0;237;9,931000000000001;50,0;825,0;1,1434599156118144;2,0;179,0;18,02436814016715;2913,0;293,32393515255256;177,0;17,82297855200886;96,0;110,0;-14,0;0,8727272727272727;-14,0;-0,05907172995780591;1,0685151697809925;0,1428571428571428;5,0;0,737590245552364;1,4345991561181435;1,5738396624472575;0,9115281501340482;1,0084388185654007;3,0;325;14,952;-425,0;1275,0;1,113846153846154;2,0;245,0;16,38576779026217;4621,0;309,05564472980205;244,0;16,31888710540396;135,0;146,0;-11,0;0,9246575342465754;-10,0;-0,033846153846153845;1,0968864468864468;0,1428571428571428;5,0;0,7405367775028322;1,4338461538461538;1,5384615384615385;0,9319999999999999;1,0061538461538462;3,0;479;29,317;-625,0;1775,0;1,068893528183716;2,0;346,0;11,802026128185013;8709,0;297,0631374287956;345,0;11,76791622608043;190,0;215,0;-25,0;0,8837209302325582;-26,0;-0,05219206680584551;1,1073168306988768;0,1428571428571428;5,0;0,7038062363859351;1,37160751565762;1,4384133611691023;0,9535558780841799;1,0041753653444676;3,0;1076;59,9;325,0;2300,0;0,9955855018587361;2,25;829,0;13,839732888146912;17969,0;299,983305509182;800,0;13,35559265442404;482,0;478,0;4,0;1,00836820083682;5,0;0,0037174721189591076;1,1675827580102671;0,1428571428571428;12,0;0,8506566779766094;1,433085501858736;1,454460966542751;0,9853035143769967;1,037174721189591;10,0;178;4,9350000000000005;-1650,0;2175,0;1,4438202247191012;3,0;157,0;31,813576494427554;1168,0;236,676798378926;147,0;29,787234042553187;53,0;109,0;-56,0;0,48623853211009177;-56,0;-0,3146067415730337;1,0774344569288388;0,25;4,0;0,6753076496931367;1,3651685393258426;1,6404494382022472;0,8321917808219177;1,0280898876404494;3,0;316;9,845;-625,0;2175,0;1,3425632911392404;3,0;264,0;26,815642458100555;3148,0;319,7562214321991;250,0;25,393600812595224;101,0;176,0;-75,0;0,5738636363636364;-75,0;-0,23734177215189872;1,1111286919831225;0,25;4,0;0,6511742279453341;1,3544303797468353;1,4936708860759493;0,9067796610169491;1,018987341772152;3,0;439;14,939;600,0;2875,0;1,3092255125284737;3,0;359,0;24,031059642546357;5186,0;347,1450565633576;345,0;23,093915255371844;165,0;216,0;-51,0;0,7638888888888888;-51,0;-0,11617312072892938;1,1223234624145786;0,25;4,0;0,6198441747452234;1,3211845102505695;1,4100227790432802;0,9369951534733441;1,0136674259681093;3,0;1120;29,951999999999998;1450,0;4200,0;1,1089285714285715;3,0;972,0;32,45192307692308;9880,0;329,86111111111114;902,0;30,11485042735043;560,0;478,0;82,0;1,1715481171548117;82,0;0,07321428571428572;1,0749101473922902;0,04;10,0;0,7215046025968069;1,3883928571428572;2,13125;0,6514453288646838;1,0625;9,0;2028;59,936;-925,0;4200,0;1,2162228796844181;3,25;1721,0;28,713961558996264;17588,0;293,44634276561663;1632,0;27,229044313934864;936,0;923,0;13,0;1,0140845070422535;13,0;0,00641025641025641;1,074954539762232;0,04;10,0;0,6904045637460814;1,3643984220907297;1,8821499013806706;0,7249148545978517;1,0453648915187377;9,0;134,0;4,859;575,0;750,0;1,2145522388059702;2,0;103,0;21,197777320436305;1156,0;237,9090347808191;102,0;20,991973657131098;70,0;49,0;21,0;1,4285714285714286;20,0;0,15671641791044777;1,1497867803837951;0,1428571428571428;3,5;0,79573962362563;1,5522388059701493;1,5970149253731343;0,97196261682243;1,0149253731343284;3,0
