variavel;media_movimentos;media_lateral;diferenca;z_vs_lateral;z_absoluto;direcao_comum;movimentos_acima_mediana_lateral;movimentos_abaixo_mediana_lateral;consistencia_5_movimentos;percentil_lateral_medio;percentil_lateral_min;percentil_lateral_max
pre30s_ticks_var;3149,6;1355,9957627118645;1793,6042372881354;2,588593862387551;2,588593862387551;ACIMA_LATERAL;4;1;0,8;0,7050847457627119;0,2966101694915254;1,0
pre10s_ticks_var;1027,6;360,0608695652174;667,5391304347825;2,5409270120436482;2,5409270120436482;ACIMA_LATERAL;4;1;0,8;0,6982608695652174;0,034782608695652174;1,0
inicio30s_ticks_var;3502,2;1515,2838983050847;1986,9161016949151;2,5278818328828208;2,5278818328828208;ACIMA_LATERAL;4;1;0,8;0,7533898305084745;0,3983050847457627;1,0
inicio60s_ticks_var;6494,4;3061,4957627118642;3432,9042372881354;2,5045387397376464;2,5045387397376464;ACIMA_LATERAL;4;1;0,8;0,7440677966101694;0,4110169491525424;1,0
inicio15s_trades_vel_s;6,693420093123922;1,6240187453711388;5,069401347752783;2,4857949640736314;2,4857949640736314;ACIMA_LATERAL;4;1;0,8;0,7914163090128755;0,43776824034334766;0,9957081545064378
pre15s_agressor_venda_sum;46,0;10,608510638297872;35,39148936170213;2,459095556572452;2,459095556572452;ACIMA_LATERAL;4;1;0,8;0,7770212765957446;0,1148936170212766;0,9957446808510638
inicio60s_ticks_vel_s;110,47542325384879;54,331735035976;56,143688217872786;2,4378004333616174;2,4378004333616174;ACIMA_LATERAL;4;1;0,8;0,733050847457627;0,3559322033898305;1,0
inicio15s_ticks_var;1769,6;725,9828326180258;1043,617167381974;2,4119102438330997;2,4119102438330997;ACIMA_LATERAL;4;1;0,8;0,7313304721030043;0,3776824034334764;1,0
inicio30s_ticks_vel_s;121,41559302238834;58,26130742379735;63,15428559859099;2,3903897460072616;2,3903897460072616;ACIMA_LATERAL;4;1;0,8;0,7364406779661017;0,3050847457627119;1,0
inicio5s_last_size_max;3,6;1,352112676056338;2,247887323943662;2,28248569166216;2,28248569166216;ACIMA_LATERAL;4;0;0,8;0,9230046948356808;0,8215962441314554;1,0
pre10s_agressor_venda_sum;34,4;7,4;27,0;2,242120390636444;2,242120390636444;ACIMA_LATERAL;4;1;0,8;0,797391304347826;0,20869565217391303;0,9956521739130435
inicio15s_ticks_vel_s;131,29433827700618;63,94705459439495;67,34728368261122;2,133976990691191;2,133976990691191;ACIMA_LATERAL;4;1;0,8;0,7399141630901287;0,27467811158798283;1,0
inicio15s_razao_agressor_cv;3000000001,706111;283261804,18429303;2716738197,521818;1,9021277679901751;1,9021277679901751;ACIMA_LATERAL;4;1;0,8;0,7519313304721031;0,3605150214592275;1,0
inicio60s_spread_max;2,95;2,117584745762712;0,8324152542372882;1,8544833905018137;1,8544833905018137;ACIMA_LATERAL;4;1;0,8;0,8093220338983051;0,3220338983050847;1,0
inicio15s_amplitude_pts;1045,0;497,85407725321886;547,1459227467811;1,8537790029116832;1,8537790029116832;ACIMA_LATERAL;4;1;0,8;0,7141630901287555;0,23605150214592274;1,0
inicio10s_ticks_vel_s;132,84582063671374;68,57702218744204;64,2687984492717;1,7810112724391864;1,7810112724391864;ACIMA_LATERAL;4;1;0,8;0,7330434782608696;0,26521739130434785;1,0
inicio5s_ask_size_medio;2,1971807967313586;1,421061714108623;0,7761190826227355;1,7323695083048232;1,7323695083048232;ACIMA_LATERAL;4;1;0,8;0,6788732394366198;0,30985915492957744;1,0
pre15s_amplitude_pts;795,0;382,8723404255319;412,1276595744681;1,7138348497441651;1,7138348497441651;ACIMA_LATERAL;4;1;0,8;0,8153191489361703;0,4723404255319149;1,0
inicio10s_amplitude_pts;775,0;371,4130434782609;403,5869565217391;1,614970579900449;1,614970579900449;ACIMA_LATERAL;4;1;0,8;0,691304347826087;0,2217391304347826;1,0
inicio30s_saldo_agressor;27,2;0,08898305084745763;27,111016949152543;1,579064108592921;1,579064108592921;ACIMA_LATERAL;4;1;0,8;0,7796610169491525;0,2838983050847458;1,0
inicio30s_delta_var;26,0;0,03389830508474576;25,966101694915253;1,5289459228942976;1,5289459228942976;ACIMA_LATERAL;4;1;0,8;0,764406779661017;0,22033898305084745;1,0
inicio30s_ask_size_medio;1,8902960104241107;1,4352711185592215;0,45502489186488915;1,5260667971052213;1,5260667971052213;ACIMA_LATERAL;4;1;0,8;0,7813559322033898;0,3559322033898305;0,9915254237288136
pre30s_amplitude_pts;1155,0;652,6483050847457;502,35169491525426;1,5077956572669047;1,5077956572669047;ACIMA_LATERAL;4;1;0,8;0,785593220338983;0,19915254237288135;0,9957627118644068
pre10s_amplitude_pts;580,0;281,8478260869565;298,1521739130435;1,5020408017611286;1,5020408017611286;ACIMA_LATERAL;4;1;0,8;0,7721739130434783;0,07391304347826087;0,991304347826087
inicio60s_imbalance_min;0,1123290043290043;0,2787144847489676;-0,1663854804199633;-1,3870976883052164;1,3870976883052164;ABAIXO_LATERAL;0;4;0,8;0,1440677966101695;0,00423728813559322;0,559322033898305
inicio60s_ask_size_medio;1,7675809659425004;1,454867514816675;0,3127134511258254;1,343951556331371;1,343951556331371;ACIMA_LATERAL;4;1;0,8;0,7601694915254237;0,3983050847457627;0,9915254237288136
inicio5s_delta_var;-5,8;0,3474178403755869;-6,147417840375587;-1,2258870289680703;1,2258870289680703;ACIMA_LATERAL;4;1;0,8;0,7051643192488263;0,0;0,9906103286384976
inicio30s_preco_var_pts;695,0;4,237288135593221;690,7627118644068;1,220525711910155;1,220525711910155;ACIMA_LATERAL;4;1;0,8;0,7796610169491526;0,15254237288135594;0,9872881355932204
inicio5s_delta_agressor_medio;0,5313210759278175;0,06620019613671596;0,46512087979110156;1,0521439756535218;1,0521439756535218;ACIMA_LATERAL;4;1;0,8;0,7596244131455399;0,2300469483568075;1,0
inicio10s_ask_size_medio;1,8750936006451198;1,4343513662822445;0,4407422343628753;1,0500992330755423;1,0500992330755423;ACIMA_LATERAL;4;1;0,8;0,6504347826086956;0,3826086956521739;0,991304347826087
inicio30s_spread_medio;1,204045938068451;1,3420280350845049;-0,1379820970160539;-1,0330308035578677;1,0330308035578677;ABAIXO_LATERAL;1;4;0,8;0,22796610169491527;0,025423728813559324;0,6313559322033898
inicio10s_volume_vel_s;8,411515524732561;2,215240968371359;6,196274556361201;1,0134412177209762;1,0134412177209762;ACIMA_LATERAL;4;1;0,8;0,7608695652173914;0,13043478260869565;0,9956521739130435
pre30s_imbalance_min;0,20323809523809522;0,3338478400941873;-0,13060974485609206;-0,966792756239484;0,966792756239484;ABAIXO_LATERAL;0;4;0,8;0,3135593220338983;0,00423728813559322;0,711864406779661
inicio15s_delta_agressor_medio;0,3466779499315479;0,012501853452548787;0,3341760964789991;0,9552910447708813;0,9552910447708813;ACIMA_LATERAL;4;1;0,8;0,7690987124463519;0,33476394849785407;0,9699570815450643
pre60s_last_size_max;10,6;4,122881355932203;6,477118644067796;0,9497020777571671;0,9497020777571671;ACIMA_LATERAL;4;1;0,8;0,7779661016949152;0,2245762711864407;0,9788135593220338
pre15s_imbalance_min;0,23657142857142857;0,4141303613644039;-0,17755893279297533;-0,9368863030208704;0,9368863030208704;ABAIXO_LATERAL;1;4;0,8;0,2893617021276596;0,0;0,9361702127659575
inicio5s_saldo_agressor;-4,6;0,4272300469483568;-5,027230046948357;-0,9265749672785148;0,9265749672785148;ACIMA_LATERAL;4;1;0,8;0,7352112676056337;0,0;0,9906103286384976
