grupo;feature;qtd_movimentos;qtd_laterais;media_movimentos;mediana_movimentos;media_lateral;mediana_lateral;diferenca;cohen_d;cohen_d_abs;ks_stat;ks_pvalue;mann_whitney_pvalue;direcao;dna_forte_estatistico
ALTA;pre_5_0s_spread_min;89;347;0,4353932584269663;0,25;0,8688760806916427;0,75;-0,4334828222646764;-1,2152045710381436;1,2152045710381436;0,5527960366544701;1,3356758175601374e-20;6,220214935983618e-22;MENOR_NO_IMPULSO;True
ALTA;pre_120_60s_spread_pct_acima_1_5;89;471;0,30777200981429437;0,18351477449455678;0,5279546395544307;0,5355805243445693;-0,2201826297401363;-1,1857892010275008;1,1857892010275008;0,5004890383835492;1,0178023527431967e-17;8,555412516924932e-11;MENOR_NO_IMPULSO;True
ALTA;pre_10_0s_spread_min;89;434;0,3904494382022472;0,25;0,7644009216589862;0,75;-0,373951483456739;-1,164605259773994;1,164605259773994;0,5132035416558793;2,0620999928753322e-18;3,750892892281427e-21;MENOR_NO_IMPULSO;True
ALTA;pre_60_0s_spread_pct_acima_1_5;89;471;0,32389473754027653;0,25546853902241423;0,5283988038446902;0,5365853658536586;-0,20450406630441365;-1,1030365905331783;1,1030365905331783;0,4878456070039838;8,077376849329864e-17;2,4102549005748266e-10;MENOR_NO_IMPULSO;True
ALTA;pre_15_0s_spread_min;89;458;0,36797752808988765;0,25;0,6921397379912664;0,75;-0,32416220990137873;-1,0868974292168594;1,0868974292168594;0,475786271527403;6,67807097529483e-16;2,715289730686597e-19;MENOR_NO_IMPULSO;True
ALTA;pre_15_0s_spread_pct_acima_1_5;89;458;0,30332860952015994;0,18037135278514588;0,5345378437101047;0,5315824468085106;-0,23120923418994477;-0,9972490425760325;0,9972490425760325;0,47009469604042986;1,6012388148951799e-15;3,851653348587637e-12;MENOR_NO_IMPULSO;True
ALTA;pre_30_0s_spread_pct_acima_1_5;89;470;0,327683497462868;0,1896551724137931;0,53303287527113;0,543560606060606;-0,20534937780826196;-0,9867269149204135;0,9867269149204135;0,5043509442983505;5,3686391718901584e-18;2,7773641273340277e-10;MENOR_NO_IMPULSO;True
ALTA;pre_60_30s_spread_pct_acima_1_5;89;470;0,3333193491477529;0,23026315789473684;0,5328085949206919;0,543560606060606;-0,19948924577293897;-0,9563314638026232;0,9563314638026232;0,46033946928042074;6,184131223251372e-15;1,1987206270375082e-08;MENOR_NO_IMPULSO;True
ALTA;pre_60_0s_spread_max;89;471;3,061797752808989;2,25;2,1178343949044587;2,0;0,9439633579045301;0,9296051360127887;0,9296051360127887;0,3111715451227368;6,283907789934466e-07;1,7323436200165404e-05;MAIOR_NO_IMPULSO;True
ALTA;pre_10_0s_spread_pct_acima_1_5;89;434;0,30161280696338705;0,17534942820838628;0,5355278613634871;0,5278637770897833;-0,23391505440010002;-0,9229394646751765;0,9229394646751765;0,454072386475431;2,449120647327266e-14;1,9222549614453463e-11;MENOR_NO_IMPULSO;True
ALTA;pre_30_10s_spread_pct_acima_1_5;89;464;0,3341394492628806;0,18349928876244664;0,5423485453217057;0,563301282051282;-0,20820909605882515;-0,9120796868645422;0,9120796868645422;0,4565091049980627;1,1666204644549502e-14;1,8495859532920868e-09;MENOR_NO_IMPULSO;True
ALTA;pre_30_10s_spread_min;89;464;0,3960674157303371;0,25;0,6460129310344828;0,75;-0,24994551530414566;-0,879300835117808;0,879300835117808;0,4677208446338629;2,131548738062075e-15;1,8894324378185604e-14;MENOR_NO_IMPULSO;True
ALTA;pre_30_0s_spread_min;89;470;0,3342696629213483;0,25;0,5484042553191489;0,5;-0,21413459239780064;-0,842828332148842;0,842828332148842;0,44762132440831937;4,138858443297661e-14;7,482150427834196e-14;MENOR_NO_IMPULSO;True
ALTA;pre_15_0s_spread_max;89;458;2,283707865168539;2,0;1,8335152838427948;1,75;0,45019258132574436;0,8169122174479739;0,8169122174479739;0,2553849173249595;8,947337554446788e-05;0,00031297023234505794;MAIOR_NO_IMPULSO;True
