grupo;feature;qtd_movimentos;qtd_laterais;media_movimentos;mediana_movimentos;media_lateral;mediana_lateral;diferenca;cohen_d;cohen_d_abs;ks_stat;ks_pvalue;mann_whitney_pvalue;direcao
TODOS;pre_5_0s_spread_mediana;175;347;1,1764285714285714;1,0;1,3836455331412103;1,375;-0,20721696171263893;-0,655600996962069;0,655600996962069;0,40770687525730753;7,872715975607347e-18;4,396665633884316e-15;MENOR_NO_IMPULSO
TODOS;pre_30_0s_ask_size_medio;175;470;1,6599735414223722;1,542857142857143;1,445089103050751;1,4083916083916086;0,2148844383716213;0,6508612938808931;0,6508612938808931;0,29501519756838906;2,630278628318128e-10;6,7483037783383605e-15;MAIOR_NO_IMPULSO
TODOS;pre_60_0s_duracao_s;175;471;58,66661714285714;59,873;55,24238853503185;56,929;3,4242286078252917;0,6484076121335912;0,6484076121335912;0,7158871701546861;3,224193714038809e-64;1,2984933545665175e-55;MAIOR_NO_IMPULSO
TODOS;pre_60_0s_spread_min;175;471;0,29285714285714287;0,25;0,4156050955414013;0,25;-0,12274795268425842;-0,6476040306668961;0,6476040306668961;0,3477464361540795;3,132596810906952e-14;4,966265131341828e-16;MENOR_NO_IMPULSO
TODOS;pre_60_0s_spread_medio;175;471;1,190607597618007;1,1437713310580204;1,3468084924909647;1,3440366972477065;-0,15620089487295763;-0,6351983148643985;0,6351983148643985;0,47116772823779196;3,109307918819435e-26;7,702880252524242e-17;MENOR_NO_IMPULSO
TODOS;pre_5_0s_ticks_vel_s;175;347;206,73983159272444;188,8211382113821;142,80842730332952;123,40425531914893;63,93140428939492;0,6315605615083182;0,6315605615083182;0,28105393165911896;1,301899275785093e-08;6,8325476741931656e-09;MAIOR_NO_IMPULSO
TODOS;pre_120_60s_spread_min;173;471;0,2976878612716763;0,25;0,4156050955414013;0,25;-0,117917234269725;-0,6246639214105705;0,6246639214105705;0,34629309181056167;5,26619562810905e-14;6,986681555378767e-15;MENOR_NO_IMPULSO
TODOS;pre_120_60s_ask_size_medio;173;471;1,6605727900383993;1,5510204081632653;1,457800809984275;1,4262295081967213;0,20277198005412433;0,6149126543092841;0,6149126543092841;0,28340880919946493;1,8087009712336646e-09;2,626610975227469e-14;MAIOR_NO_IMPULSO
TODOS;pre_60_0s_spread_max;175;471;2,7471428571428573;2,25;2,1178343949044587;2,0;0,6293084622383986;0,6135147527062833;0,6135147527062833;0,27373976342129214;6,288221112566666e-09;4,810662287046274e-05;MAIOR_NO_IMPULSO
TODOS;pre_10_0s_ask_size_medio;175;434;1,6977959570168124;1,534435261707989;1,4327942504699638;1,3442887931034484;0,2650017065468486;0,6128242190816324;0,6128242190816324;0,34718894009216594;7,114868915997653e-14;3,788804732223713e-14;MAIOR_NO_IMPULSO
TODOS;pre_30_10s_spread_q90;173;464;1,489884393063584;1,5;1,6860991379310346;1,75;-0,19621474486745072;-0,6013629722827722;0,6013629722827722;0,4119742874227626;1,0114684444298697e-19;1,2540650747601066e-15;MENOR_NO_IMPULSO
TODOS;pre_5_0s_ask_size_medio;175;347;1,7346568849049124;1,5737704918032787;1,4388153322424002;1,3333333333333333;0,2958415526625122;0,5792831839930357;0,5792831839930357;0,3050144092219019;4,669125521682402e-10;9,903763653895026e-12;MAIOR_NO_IMPULSO
