feature;operador;limite;regra;tp_movimentos;fn_movimentos;fp_laterais;tn_laterais;precision_real;recall;especificidade;cohen_d_abs
pre_30_0s_spread_medio;<=;1,1671184738955824;pre_30_0s_spread_medio <= 1.167118;93;82;47;423;0,6642857142857143;0,5314285714285715;0,9;0,6591189463316143
pre_15_0s_spread_pct_acima_1_5;<=;0,25;pre_15_0s_spread_pct_acima_1_5 <= 0.250000;101;74;52;406;0,6601307189542484;0,5771428571428572;0,8864628820960698;1,0302914453740057
pre_15_0s_spread_medio;<=;1,1376268115942028;pre_15_0s_spread_medio <= 1.137627;89;86;46;412;0,6592592592592592;0,5085714285714286;0,8995633187772926;0,7317908720735061
pre_10_0s_spread_mediana;<=;1,125;pre_10_0s_spread_mediana <= 1.125000;85;90;46;388;0,648854961832061;0,4857142857142857;0,8940092165898618;0,7033652851951117
pre_30_10s_spread_medio;<=;1,1453125000000002;pre_30_10s_spread_medio <= 1.145313;86;87;47;417;0,6466165413533834;0,49710982658959535;0,8987068965517241;0,7204376714345535
pre_10_0s_spread_min;<=;0,25;pre_10_0s_spread_min <= 0.250000;121;54;73;361;0,6237113402061856;0,6914285714285714;0,8317972350230415;1,1973908346385458
pre_10_0s_spread_min;<=;0,25;pre_10_0s_spread_min <= 0.250000;121;54;73;361;0,6237113402061856;0,6914285714285714;0,8317972350230415;1,1973908346385458
pre_15_0s_spread_min;<=;0,25;pre_15_0s_spread_min <= 0.250000;124;51;96;362;0,5636363636363636;0,7085714285714285;0,7903930131004366;1,110515218303434
pre_15_0s_spread_min;<=;0,25;pre_15_0s_spread_min <= 0.250000;124;51;96;362;0,5636363636363636;0,7085714285714285;0,7903930131004366;1,110515218303434
pre_30_10s_spread_min;<=;0,25;pre_30_10s_spread_min <= 0.250000;126;47;101;363;0,5550660792951542;0,7283236994219653;0,7823275862068966;0,9651152136619333
pre_30_10s_spread_min;<=;0,25;pre_30_10s_spread_min <= 0.250000;126;47;101;363;0,5550660792951542;0,7283236994219653;0,7823275862068966;0,9651152136619333
pre_30_0s_spread_min;<=;0,25;pre_30_0s_spread_min <= 0.250000;140;35;154;316;0,47619047619047616;0,8;0,6723404255319149;0,8787840655547557
pre_30_0s_spread_min;<=;0,25;pre_30_0s_spread_min <= 0.250000;140;35;154;316;0,47619047619047616;0,8;0,6723404255319149;0,8787840655547557
pre_60_30s_spread_min;<=;0,25;pre_60_30s_spread_min <= 0.250000;134;39;155;315;0,46366782006920415;0,7745664739884393;0,6702127659574468;0,8202113105714375
pre_60_30s_spread_min;<=;0,25;pre_60_30s_spread_min <= 0.250000;134;39;155;315;0,46366782006920415;0,7745664739884393;0,6702127659574468;0,8202113105714375
pre_15_0s_spread_mediana;<=;1,25;pre_15_0s_spread_mediana <= 1.250000;130;45;178;280;0,42207792207792205;0,7428571428571429;0,611353711790393;0,7666006641208828
