candidate_id,rank_cientifico,interaction_id,gene_a,gene_key_a,gene_b,gene_key_b,gene_c,gene_key_c,historias,gain,stop,cobertura_pct,taxa_gain_pct,taxa_gain_base_pct,lift_gain,leverage,conviction,odds_ratio,fisher_p,chi2,chi2_p,phi_mcc,bootstrap_media_pct,bootstrap_ic_inferior_pct,bootstrap_ic_superior_pct,bootstrap_desvio_pp,score_qualidade,score_informacao,score_significancia,score_robustez,score_evidencia,score_rede,indice_candidato_0_100,faixa_evidencia
CTRIP_0256D957D9EE,850,TRIP_79EE55E25464,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_92D9825D8693,NUM::LADOS_ATIVOS::POSITIVO,GENE_9F81AAC8272C,NUM::MOTORES_ATIVOS::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_7106DB3CA59B,851,TRIP_7A6A07F6C778,GENE_61447D78C854,NUM::SCORE_DESCOBERTA_16E::POSITIVO,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_9BAFBDF14400,NUM::DIAS_ACIMA_58_PCT::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_B7F1C231DD54,852,TRIP_7A77FE0DFE4B,GENE_8DF207020BCE,NUM::PRIMEIRA_POSICAO::VALOR,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_F9E633166998,NUM::TAMANHO::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_AD39FAE8E9DA,853,TRIP_7ABC062D65E1,GENE_375C727503E6,NUM::SCORE_ESTABILIDADE::VALOR,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_B5B05E989AB1,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_13454AA0EC5D,854,TRIP_7B18B1539BCF,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_A0AD854DCA9C,NUM::HORAS_ATIVAS::VALOR,GENE_EFF8628D99DA,NUM::CONCENTRACAO_MELHOR_DIA_PCT::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_CFEB9F745DDC,855,TRIP_7BDD7464B7B5,GENE_1BD5018BF085,NUM::DIAS_ATIVOS_X::VALOR,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_A46719CEF957,NUM::CV_TAXA_ALVO_DIARIA::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_601E9FAD4EB2,856,TRIP_7BFE198F44ED,GENE_1B7B64EFC091,NUM::DIAS_AVALIADOS::VALOR,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_B72467C5FDE9,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_838AD32AC406,857,TRIP_7C049BCBC4A6,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_C8659A968DF1,NUM::QTD_EVENTOS_HISTORIA::VALOR,GENE_F788D1793F39,NUM::TAXA_ALVO_MAX_DIA_PCT::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_C2676F43E1B8,858,TRIP_7C12CABBF524,GENE_1B37942BEB41,NUM::TAXA_PRIMEIRA_METADE_PCT::VALOR,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_D849FDF0A923,NUM::QTD_EVENTOS_HISTORIA::POSITIVO,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_B159861AE4CA,859,TRIP_7C1E9B34DFCB,GENE_4198BB471C6A,NUM::MAX_DRAWDOWN_R::POSITIVO,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_92D9825D8693,NUM::LADOS_ATIVOS::POSITIVO,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_23796568A45B,860,TRIP_7C3107C3A0FE,GENE_7093592BE550,NUM::TAXA_SEGUNDA_METADE_PCT::VALOR,GENE_76AB2074B639,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::VALOR,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_1910FC88CAD5,861,TRIP_7C566C26198D,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_A46719CEF957,NUM::CV_TAXA_ALVO_DIARIA::VALOR,GENE_C8659A968DF1,NUM::QTD_EVENTOS_HISTORIA::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_FD5B30E11D24,862,TRIP_7CA09D428327,GENE_69DAB69CABB1,NUM::COBERTURA_HISTORIA_MEDIANA_PCT::VALOR,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_E723E2D3D808,NUM::HORA_MODAL::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_F5EF021CA925,863,TRIP_7CB76AC52152,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_929A1CEC5902,NUM::APARICOES::POSITIVO,GENE_EFF8628D99DA,NUM::CONCENTRACAO_MELHOR_DIA_PCT::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_6E425A301DC0,864,TRIP_7CE026AF4661,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_92D9825D8693,NUM::LADOS_ATIVOS::POSITIVO,GENE_C8659A968DF1,NUM::QTD_EVENTOS_HISTORIA::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
CTRIP_35CCB2DE964C,865,TRIP_7CF356CB04A7,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,GENE_A46719CEF957,NUM::CV_TAXA_ALVO_DIARIA::VALOR,GENE_F788D1793F39,NUM::TAXA_ALVO_MAX_DIA_PCT::VALOR,808,261,547,97.5845410628,32.301980198,31.884057971,1.01310756076,0.00407827487223,1.00617333015,2.70383912249,0.143493013898,2.69017345884,0.100968822018,0.0570000154551,32.397029703,29.3316831683,35.7673267327,1.63286770225,0.966802580331,0.478194985394,0.476198880234,0.718810856865,0.560753407984,0,65.6947115385,FAIXA_EVIDENCIA_MUITO_ALTA
