regra_bloqueio,componentes,trades_bloqueados,pct_trades_bloqueados,losses_evitados,gains_perdidos,saldo_eventos,pontos_dos_trades_bloqueados,trades_restantes,resultado_novo,melhoria_resultado,pf_novo,melhoria_pf,expectancia_nova,winrate_novo,dd_novo,reducao_dd,score_rank
13a_features_tempo_real__last__adv_ratio_volatilidade_close_pontos_15s_60s <= 1.3958123,1,132,66.66666666666666,53,79,-26,10160.000000006403,66,-2799.999999996362,-10160.000000006403,0.8793103448277431,-0.23288477712362954,-42.424242424187305,56.060606060606055,12879.999999998108,5279.999999998836,-14985.730866280988
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__last <= 1.3958123,1,132,66.66666666666666,53,79,-26,10160.000000006403,66,-2799.999999996362,-10160.000000006403,0.8793103448277431,-0.23288477712362954,-42.424242424187305,56.060606060606055,12879.999999998108,5279.999999998836,-14985.730866280988
13a_features_tempo_real__last__pre_15s_spread_minimo <= 1.3097222,1,158,79.7979797979798,62,96,-34,10880.000000008295,40,-3519.9999999982538,-10880.000000008295,0.7800000000001092,-0.33219512195126344,-87.99999999995634,50.0,5999.999999998545,12159.9999999984,-15119.317073179613
13a_features_tempo_real__last__pre_15s_spread_minimo <= 1.25,1,155,78.28282828282829,61,94,-33,11200.000000008004,43,-3839.9999999979627,-11200.000000008004,0.7714285714286927,-0.3407665505226799,-89.30232558134797,51.162790697674424,5759.999999998399,12399.999999998545,-15144.459930322122
13a_features_tempo_real__last__adv_delta_spread_minimo_15s_30s <= 0.092237903,1,148,74.74747474747475,57,91,-34,9840.000000008149,50,-2479.9999999981083,-9840.000000008149,0.8760000000000946,-0.236195121951278,-49.599999999962165,50.0,10479.999999999563,7679.999999997381,-15419.717073179832
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__last <= 0.092237903,1,148,74.74747474747475,57,91,-34,9840.000000008149,50,-2479.9999999981083,-9840.000000008149,0.8760000000000946,-0.236195121951278,-49.599999999962165,50.0,10479.999999999563,7679.999999997381,-15419.717073179832
13a_features_tempo_real__w60__pre_15s_spread_minimo__std >= 0.082773349,1,148,74.74747474747475,58,90,-32,10720.000000007713,50,-3359.9999999976717,-10720.000000007713,0.8250000000001213,-0.2871951219512513,-67.19999999995343,52.0,9359.999999999127,8799.999999997817,-15608.317073179227
13a_features_tempo_real__window__n >= 23.25,1,148,74.74747474747475,57,91,-34,10800.000000008004,50,-3439.9999999979627,-10800.000000008004,0.8280000000001019,-0.2841951219512707,-68.79999999995925,50.0,8559.9999999984,9599.999999998545,-15736.517073179275
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__slope >= -0.0059491096,1,164,82.82828282828282,65,99,-34,11120.00000000844,34,-3759.9999999983993,-11120.00000000844,0.7235294117648235,-0.38866571018654905,-110.58823529407057,50.0,6719.999999998981,11439.999999997963,-15747.199426121082
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__slope >= -0.0082588082,1,164,82.82828282828282,64,100,-36,11200.000000008731,34,-3839.9999999986903,-11200.000000008731,0.7333333333334243,-0.3788617886179483,-112.94117647054972,47.05882352941176,5679.999999998836,12479.999999998108,-15787.317073180162
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__slope >= -0.001503706,1,122,61.61616161616161,46,76,-30,11200.000000006548,76,-3839.9999999965075,-11200.000000006548,0.8666666666667879,-0.24552845528458467,-50.526315789427734,52.63157894736842,10799.999999998545,7359.999999998399,-15795.31707317786
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__min <= 0.66434492,1,119,60.1010101010101,43,76,-33,11680.00000000684,79,-4319.999999996799,-11680.00000000684,0.8615384615385642,-0.25065666041280843,-54.683544303756946,50.63291139240506,9759.999999997672,8399.999999999272,-16358.39399625478
13a_features_tempo_real__w60__adv_z_pre_15s_spread_medio__slope >= -0.002251612,1,110,55.55555555555556,41,69,-28,10640.000000005966,88,-3279.9999999959255,-10640.000000005966,0.9000000000001243,-0.21219512195124834,-37.272727272680974,53.40909090909091,15599.999999997817,2559.999999999127,-16361.31707317702
13a_features_tempo_real__w60__pre_15s_spread_medio__slope >= -0.001022636,1,110,55.55555555555556,41,69,-28,10640.000000005966,88,-3279.9999999959255,-10640.000000005966,0.9000000000001243,-0.21219512195124834,-37.272727272680974,53.40909090909091,15599.999999997817,2559.999999999127,-16361.31707317702
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first >= 1.1075337,1,79,39.8989898989899,29,50,-21,10880.000000003929,119,-3519.999999993888,-10880.000000003929,0.9169811320756158,-0.19521398987575678,-29.57983193272175,55.46218487394958,19839.999999997235,-1680.000000000291,-16393.128393929484
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first >= 0.674766,1,178,89.8989898989899,71,107,-36,11120.000000009168,20,-3759.999999999127,-11120.000000009168,0.5727272727273719,-0.5394678492240007,-187.99999999995634,45.0,6879.999999999563,11279.99999999738,-16461.680709544486
13a_features_tempo_real__last__pre_30s_spread_minimo <= 0.9375,1,68,34.34343434343434,22,46,-24,10720.000000004075,130,-3359.9999999940337,-10720.000000004075,0.9300000000001243,-0.18219512195124832,-25.846153846107953,53.84615384615385,19839.999999997963,-1680.0000000010186,-16533.31707317518
13a_features_tempo_real__window__n >= 4.7,1,178,89.8989898989899,71,107,-36,12080.000000009022,20,-4719.999999998981,-12080.000000009022,0.46363636363647937,-0.6485587583148933,-235.99999999994907,45.0,4559.999999999127,13599.999999997817,-16675.13525499872
13a_features_tempo_real__last__adv_ratio_volatilidade_close_pontos_15s_60s <= 1.3669823,1,119,60.1010101010101,48,71,-23,12240.000000005239,79,-4879.999999995198,-12240.000000005239,0.8205882352942941,-0.29160688665707846,-61.77215189867339,56.9620253164557,13839.999999997235,4319.999999999709,-16720.964131999586
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__last <= 1.3669823,1,119,60.1010101010101,48,71,-23,12240.000000005239,79,-4879.999999995198,-12240.000000005239,0.8205882352942941,-0.29160688665707846,-61.77215189867339,56.9620253164557,13839.999999997235,4319.999999999709,-16720.964131999586
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta <= 0.70158915,1,178,89.8989898989899,71,107,-36,12080.000000009022,20,-4719.999999998981,-12080.000000009022,0.46363636363647937,-0.6485587583148933,-235.99999999994907,45.0,5199.999999999272,12959.999999997672,-16899.13525499877
13a_features_tempo_real__window__n >= 30.01,1,132,66.66666666666666,49,83,-34,11440.000000007421,66,-4079.9999999973807,-11440.000000007421,0.8454545454546447,-0.2667405764967279,-61.81818181814213,50.0,10879.999999998108,7279.999999998836,-16906.044345905866
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first >= 1.0279678,1,99,50.0,37,62,-25,11200.000000005093,99,-3839.9999999950523,-11200.000000005093,0.8933333333334708,-0.21886178861790184,-38.78787878782881,54.54545454545454,17839.999999997963,319.99999999898137,-17027.317073176193
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__slope >= -0.00018201304,1,110,55.55555555555556,41,69,-28,12560.000000005675,88,-5199.999999995634,-12560.000000005675,0.8414634146342794,-0.2707317073170932,-59.09090909085948,53.40909090909091,12159.9999999984,5999.999999998545,-17112.43902439644
13a_features_tempo_real__last__pre_15s_volatilidade_close_pontos >= 257.59514,1,99,50.0,38,61,-23,13040.000000004511,99,-5679.99999999447,-13040.000000004511,0.8386363636365207,-0.2735587583148519,-57.373737373681514,55.55555555555556,14079.99999999738,4079.9999999995634,-17254.135254993576
13a_features_tempo_real__last__preco >= 27812.8,1,158,79.7979797979798,61,97,-36,11920.00000000844,40,-4559.999999998399,-11920.00000000844,0.7285714285715239,-0.3836236933798487,-113.99999999995998,47.5,8719.999999998981,9439.999999997963,-17472.174216037063
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__std <= 0.17448163,1,79,39.8989898989899,28,51,-23,12880.000000003929,119,-5519.999999993888,-12880.000000003929,0.8722222222223637,-0.23997289972900893,-46.38655462179738,54.621848739495796,17039.999999996508,1120.0000000004366,-17769.983739841184
13a_features_tempo_real__w60__adv_z_pre_15s_spread_medio__delta >= -0.25736217,1,148,74.74747474747475,59,89,-30,12560.00000000713,50,-5199.99999999709,-12560.00000000713,0.7173913043479843,-0.39480381760338834,-103.99999999994179,54.0,11759.9999999984,6399.999999998545,-18022.882290569672
13a_features_tempo_real__w60__pre_15s_spread_medio__delta >= -0.11688862,1,148,74.74747474747475,59,89,-30,12560.00000000713,50,-5199.99999999709,-12560.00000000713,0.7173913043479843,-0.39480381760338834,-103.99999999994179,54.0,11759.9999999984,6399.999999998545,-18022.882290569672
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__delta <= 0,1,142,71.71717171717171,54,88,-34,11520.000000007713,56,-4159.999999997672,-11520.000000007713,0.8142857142858182,-0.2979094076655544,-74.28571428567271,50.0,13359.999999999127,4799.999999997817,-18042.745644607807
13a_features_tempo_real__w60__adv_z_pre_15s_spread_medio__slope >= -0.0047359,1,122,61.61616161616161,45,77,-32,12240.000000006694,76,-4879.999999996653,-12240.000000006694,0.8351351351352482,-0.2770599868161244,-64.21052631574544,51.31578947368421,14079.99999999738,4079.9999999995634,-18332.23599209652
13a_features_tempo_real__w60__pre_15s_spread_medio__slope >= -0.0021509486,1,122,61.61616161616161,45,77,-32,12240.000000006694,76,-4879.999999996653,-12240.000000006694,0.8351351351352482,-0.2770599868161244,-64.21052631574544,51.31578947368421,14079.99999999738,4079.9999999995634,-18332.23599209652
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__first <= 0.125,1,157,79.29292929292929,61,96,-35,12640.000000008149,41,-5279.999999998108,-12640.000000008149,0.6857142857143983,-0.4264808362369743,-128.78048780483192,48.78048780487805,10559.9999999984,7599.999999998545,-18679.888501750844
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta <= 0.54031236,1,148,74.74747474747475,57,91,-34,12720.000000007713,50,-5359.999999997672,-12720.000000007713,0.7320000000001164,-0.38019512195125615,-107.19999999995343,50.0,11759.999999999127,6399.999999997817,-18834.11707317923
13a_features_tempo_real__w60__adv_z_pre_15s_spread_medio__delta >= -0.32389333,1,158,79.7979797979798,62,96,-34,12800.000000008004,40,-5439.999999997963,-12800.000000008004,0.6600000000001274,-0.4521951219512452,-135.99999999994907,50.0,11279.999999998836,6879.999999998108,-18959.317073179413
13a_features_tempo_real__w60__pre_15s_spread_medio__delta >= -0.1471057,1,158,79.7979797979798,62,96,-34,12800.000000008004,40,-5439.999999997963,-12800.000000008004,0.6600000000001274,-0.4521951219512452,-135.99999999994907,50.0,11279.999999998836,6879.999999998108,-18959.317073179413
