variavel,n_stop,n_nao_stop,media_stop,media_nao_stop,mediana_stop,mediana_nao_stop,diferenca_medias,efeito_padronizado,correlacao_resultado,abs_efeito
06_evolucao_score_eventos__w60__spread_pct_60__slope,39,53,-0.004171298123151323,0.004484652304647231,-0.0026121564750406054,-0.0006047687205345993,-0.008655950427798553,-0.3323996003111143,0.12084696381444889,0.3323996003111143
07_bloqueios_auditoria_completa__w60__qtd_hard_gates_venda_ok__min,43,54,2.13953488372093,2.7037037037037037,1.0,2.0,-0.5641688199827737,-0.33203506748920175,0.09289175421621759,0.33203506748920175
05_estrutura_eventos_enriquecidos__w60__desloc_120s__slope,39,53,-59.94630369630371,30.075553377440187,-0.7575757575758073,18.750000000000018,-90.02185707374389,-0.33056850084721345,0.1954048449313868,0.33056850084721345
06_evolucao_score_eventos__w60__desloc_120s__slope,39,53,-59.94630369630371,30.075553377440187,-0.7575757575758073,18.750000000000018,-90.02185707374389,-0.33056850084721345,0.1954048449313868,0.33056850084721345
07_bloqueios_auditoria_completa__w60__campanha_pullback__transitions,43,54,0.13953488372093023,0.037037037037037035,0.0,0.0,0.1024978466838932,0.33031049825058384,-0.09940676022999143,0.33031049825058384
bloqueios_c7_dna_fluxo_v5_2__w60__campanha_pullback__transitions,49,69,0.12244897959183673,0.028985507246376812,0.0,0.0,0.09346347234545992,0.33013519185518986,-0.10321644056786934,0.33013519185518986
bloqueios_c7_dna_fluxo_v5_2__w60__score_spread__min,49,69,2.020408163265306,3.3043478260869565,0.0,0.0,-1.2839396628216506,-0.3301324077633994,0.11396282754360015,0.3301324077633994
bloqueios_c7_dna_fluxo_v5_2__w60__score_compra__max,49,69,65.12244897959184,54.7536231884058,72.0,67.0,10.36882579118604,0.3295336289964019,-0.07824412486422198,0.3295336289964019
07_bloqueios_auditoria_completa__w60__mov_contra_120s__delta,43,54,-300.5813953488372,122.22222222222223,-100.0,0.0,-422.8036175710594,-0.3294526368982132,0.14702603645625423,0.3294526368982132
bloqueios_c7_dna_fluxo_v5_2__last__qtd_hard_gates_venda_ok,20,22,3.55,4.136363636363637,3.5,5.0,-0.5863636363636369,-0.3293310952700636,0.08012075278654822,0.3293310952700636
estado_mercado_tempo_real__w60__spread_qt__min,82,116,1.201219512195122,1.0689655172413792,1.25,1.0,0.13225399495374268,0.32914003503874656,-0.1174514376693588,0.32914003503874656
bloqueios_c7_dna_fluxo_v5_2__w60__score_spread__first,49,69,2.36734693877551,3.710144927536232,0.0,0.0,-1.3427979887607218,-0.32870082297323866,0.1004311360769525,0.32870082297323866
07_bloqueios_auditoria_completa__w60__mov_favor_30s__slope,27,30,87.76455026455022,17.152597402597394,52.49999999999997,11.931818181818223,70.61195286195283,0.3266663201280361,-0.13194578882863647,0.3266663201280361
bloqueios_c7_dna_fluxo_v5_2__w60__ajuste_estrutura_compra__mean,49,69,3.177745383867832,0.9180145136666875,3.0,0.5,2.2597308702011443,0.3265666471868731,-0.08383852284660434,0.3265666471868731
estados_c7_dna_fluxo_v5_2__last__compra10,34,46,64.52941176470588,111.5,36.0,39.0,-46.970588235294116,-0.326309976738212,0.30120594615830054,0.326309976738212
07_bloqueios_auditoria_completa__w60__campanha_ativa__true_count,43,54,0.9302325581395349,0.42592592592592593,0.0,0.0,0.5043066322136089,0.326031358724943,-0.15620462915830124,0.326031358724943
bloqueios_c7_dna_fluxo_v5_2__w60__score_venda_base__slope,32,41,-2.239955357142856,1.414079822616407,-0.5892857142857137,0.3272727272727289,-3.654035179759263,-0.3246199303926411,0.1435927318312354,0.3246199303926411
07_bloqueios_auditoria_completa__w60__salvou_loss_30s__all_true,43,54,0.3023255813953488,0.16666666666666666,0.0,0.0,0.13565891472868216,0.323950086724678,-0.22367064822882304,0.323950086724678
bloqueios_c7_dna_fluxo_v5_2__w60__gate_vel15__true_pct,49,69,91.97278911564625,85.18047974569714,100.0,100.0,6.792309369949109,0.32365078130437913,-0.12310402853048912,0.32365078130437913
07_bloqueios_auditoria_completa__w60__impediu_gain_120s__first,43,54,0.7209302325581395,0.8518518518518519,1.0,1.0,-0.13092161929371238,-0.32361060252180684,0.15206902489127835,0.32361060252180684
07_bloqueios_auditoria_completa__w60__campanha_ativa__ever_true,43,54,0.27906976744186046,0.14814814814814814,0.0,0.0,0.13092161929371232,0.3236106025218067,-0.1520690248912783,0.3236106025218067
07_bloqueios_auditoria_completa__w60__f_spread__min,43,54,1.2325581395348837,2.314814814814815,0.0,0.0,-1.0822566752799312,-0.32354081065965445,0.09583368407134155,0.32354081065965445
07_bloqueios_auditoria_completa__w60__score_spread__min,43,54,1.2325581395348837,2.314814814814815,0.0,0.0,-1.0822566752799312,-0.32354081065965445,0.09583368407134155,0.32354081065965445
07_bloqueios_auditoria_completa__w60__f_spread__first,43,54,1.5116279069767442,2.6666666666666665,0.0,0.0,-1.1550387596899223,-0.32270277410017395,0.08557668664684767,0.32270277410017395
07_bloqueios_auditoria_completa__w60__score_spread__first,43,54,1.5116279069767442,2.6666666666666665,0.0,0.0,-1.1550387596899223,-0.32270277410017395,0.08557668664684767,0.32270277410017395
05_estrutura_eventos_enriquecidos__w60__max_alta_30s__min,51,65,234.31372549019608,42.30769230769231,0.0,0.0,192.00603318250376,0.3220811839937066,-0.15745510524913212,0.3220811839937066
06_evolucao_score_eventos__w60__max_alta_30s__min,51,65,234.31372549019608,42.30769230769231,0.0,0.0,192.00603318250376,0.3220811839937066,-0.15745510524913212,0.3220811839937066
07_bloqueios_auditoria_completa__w60__gate_vel15__ever_true,43,54,1.0,0.9444444444444444,1.0,1.0,0.05555555555555558,0.3209036634167508,-0.19891860300691136,0.3209036634167508
estado_mercado_tempo_real__w60__score_compra__std,82,116,10.226369439971899,11.249038520331249,10.497813183356477,12.309777099724345,-1.02266908035935,-0.31997504942183214,0.1649292333361598,0.31997504942183214
bloqueios_c7_dna_fluxo_v5_2__w60__score_compra__last,49,69,48.142857142857146,37.927536231884055,64.0,24.0,10.215320910973091,0.31931519097390276,-0.09620834143042442,0.31931519097390276
07_bloqueios_auditoria_completa__w60__f_spread__mean,43,54,1.5518272425249169,2.6568342151675486,0.0,0.0,-1.1050069726426317,-0.31912879254214016,0.0846086583283933,0.31912879254214016
07_bloqueios_auditoria_completa__w60__score_spread__mean,43,54,1.5518272425249169,2.6568342151675486,0.0,0.0,-1.1050069726426317,-0.31912879254214016,0.0846086583283933,0.31912879254214016
05_estrutura_eventos_enriquecidos__w60__desloc_30s__min,51,65,-280.88235294117646,-562.3076923076923,-400.0,-475.0,281.4253393665158,0.3189636020591268,-0.16116455323476264,0.3189636020591268
06_evolucao_score_eventos__w60__desloc_30s__min,51,65,-280.88235294117646,-562.3076923076923,-400.0,-475.0,281.4253393665158,0.3189636020591268,-0.16116455323476264,0.3189636020591268
05_estrutura_eventos_enriquecidos__w60__diferenca_score__slope,39,53,-0.07201132201132296,3.1449808053581636,-0.41666666666666596,1.9151515151515153,-3.2169921273694864,-0.31876147646904146,0.13307497214167777,0.31876147646904146
06_evolucao_score_eventos__w60__diferenca_score__slope,39,53,-0.07201132201132296,3.1449808053581636,-0.41666666666666596,1.9151515151515153,-3.2169921273694864,-0.31876147646904146,0.13307497214167777,0.31876147646904146
07_bloqueios_auditoria_completa__w60__rompimento_venda__mean,43,54,-7.938205980066446,-5.965097402597402,-6.875,-4.366071428571429,-1.973108577469044,-0.31823976416348887,0.0997414628627362,0.31823976416348887
07_bloqueios_auditoria_completa__w60__score_venda__slope,27,30,-3.721957671957673,0.5776839826839806,-0.9642857142857151,-1.1,-4.299641654641653,-0.3177920605443054,0.14629163135090067,0.3177920605443054
07_bloqueios_auditoria_completa__w60__diferenca_score__slope,27,30,-3.018518518518522,-0.7677922077922088,-1.5000000000000195,-0.3454545454545469,-2.2507263107263134,-0.3160744343835264,0.17854787576564948,0.3160744343835264
bloqueios_c7_dna_fluxo_v5_2__w60__campanha_pullback__true_count,49,69,0.8367346938775511,0.37681159420289856,0.0,0.0,0.4599230996746525,0.3153741017656669,-0.17989669553098642,0.3153741017656669
07_bloqueios_auditoria_completa__w60__mov_favor_60s__std,43,54,399.4699884327879,258.3339418760628,241.3503677229434,187.662157526232,141.1360465567251,0.3153384451475122,-0.07150793738900381,0.3153384451475122
estados_c7_dna_fluxo_v5_2__w60__hard_gates_compra_ok__transitions,57,81,0.07017543859649122,0.18518518518518517,0.0,0.0,-0.11500974658869395,-0.31510369750322276,0.17886422453075537,0.31510369750322276
05_estrutura_eventos_enriquecidos__w60__spread_medio_30__slope,39,53,-0.006983224346019159,0.005020969593483663,-0.011448687369684725,0.004989430118226917,-0.012004193939502823,-0.31496118308316473,0.14997340194232098,0.31496118308316473
06_evolucao_score_eventos__w60__spread_medio_30__slope,39,53,-0.006983224346019159,0.005020969593483663,-0.011448687369684725,0.004989430118226917,-0.012004193939502823,-0.31496118308316473,0.14997340194232098,0.31496118308316473
estado_mercado_tempo_real__w60__delta_agressor__slope,82,116,-0.009095087625254503,0.009497362269060786,-0.008797729618163042,8.190664485990616e-18,-0.01859244989431529,-0.31467092093536336,0.20701836695634848,0.31467092093536336
bloqueios_c7_dna_fluxo_v5_2__w60__score_spread__mean,49,69,2.450971817298348,3.7184955141476883,0.0,1.2857142857142858,-1.2675236968493402,-0.3140757114725131,0.10442465589806078,0.3140757114725131
07_bloqueios_auditoria_completa__w60__impediu_gain_30s__all_true,43,54,0.16279069767441862,0.2962962962962963,0.0,0.0,-0.13350559862187766,-0.313900086100367,0.18320775886876395,0.313900086100367
05_estrutura_eventos_enriquecidos__last__ajuste_estrutura_venda,29,34,2.0,4.352941176470588,-2.0,8.0,-2.352941176470588,-0.3136076932426286,0.14180318921002424,0.3136076932426286
06_evolucao_score_eventos__last__ajuste_estrutura_venda,29,34,2.0,4.352941176470588,-2.0,8.0,-2.352941176470588,-0.3136076932426286,0.14180318921002424,0.3136076932426286
