dna_id,classe_dna,sequencia,lado_norm,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,taxa_acerto_alvo_pct
DNA_117945C7E9CD,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,VENDA,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,5,7.0,4,81.81818181818181
DNA_11B91A053005,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,COMPRA,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,1,100.0
DNA_11B91A053005,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,VENDA,9,2,7,22.22222222222222,6.322376231222721,0.2857142857142857,-0.5555555555555556,5,6.0,4,77.77777777777777
DNA_12165350A8AA,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,COMPRA,5,3,2,60.0,23.0719932208837,1.5,0.2,1,1.0,2,60.0
DNA_13989E9F24E9,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,VENDA,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,5,7.0,3,81.81818181818181
DNA_15753472146B,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,COMPRA,7,1,6,14.285714285714286,2.567895594897479,0.16666666666666666,-0.7142857142857143,3,5.0,4,85.71428571428571
DNA_167949D8A9FE,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,COMPRA,5,3,2,60.0,23.0719932208837,1.5,0.2,2,2.0,3,60.0
DNA_168BDE65953C,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU,COMPRA,8,2,6,25.0,7.1477688858027655,0.3333333333333333,-0.5,3,5.0,4,75.0
DNA_16D7C5F77E91,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,COMPRA,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_16D7C5F77E91,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,VENDA,4,3,1,75.0,30.063605244263663,3.0,0.5,1,1.0,2,25.0
