dna_id,classe_dna,sequencia,dias_ativos,motores_ativos,lados_ativos,horas_ativas,taxa_alvo_media_dias_pct,taxa_alvo_desvio_dias_pp,cv_taxa_alvo_diaria,concentracao_melhor_dia_pct,hora_modal,motor_modal,lado_modal
DNA_454C2AF1E3D3,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,4,1,2,14,91.42857142857143,8.80630571852711,0.09631896879639026,38.095238095238095,12,motor_c7_dna_fluxo_v5_2,VENDA
DNA_45BFA82FC82E,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,3,2,1,9,54.16666666666668,14.829275350043487,0.273771237231572,47.05882352941177,10,motor_operacional_c7_v3_1,VENDA
DNA_4620A3000395,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,4,2,1,10,95.83333333333333,7.2168783648703245,0.07530655685082079,54.54545454545455,11,motor_c7_dna_fluxo_v5_2,VENDA
DNA_46CF488DD681,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,4,1,1,12,72.91666666666667,18.042195912175806,0.24743582965269675,40.0,11,motor_c7_dna_fluxo_v5_2,VENDA
DNA_47B9488E2463,DNA_STOP,CAMPANHA_ENTRADAS_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,4,2,1,7,70.0,41.23105625617661,0.5890150893739515,45.45454545454545,10,motor_operacional_c7_v3_1,COMPRA
DNA_48D4B430C7FE,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,4,1,2,9,95.0,8.660254037844387,0.0911605688194146,50.0,12,motor_operacional_c7_v3_1,COMPRA
DNA_48F2CF31D581,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_CAIU,2,1,2,4,100.0,0.0,0.0,80.0,19,motor_operacional_c7_v3_1,COMPRA
DNA_494555258ED6,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,2,1,2,4,100.0,0.0,0.0,50.0,20,motor_operacional_c7_v3_1,VENDA
DNA_498725606F18,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_SUBIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,4,1,1,9,75.0,27.63853991962833,0.3685138655950444,36.36363636363637,12,motor_operacional_c7_v3_1,VENDA
DNA_4A8B95C90CC1,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,3,1,1,6,44.444444444444436,34.24674446093876,0.7705517503711222,66.66666666666667,11,motor_c7_dna_fluxo_v5_2,VENDA
