narrative_id,narrative_rank,dna_count,coverage_pct,mean_gain_pct,base_gain_pct,mean_lift_gain,mean_reconstruction_score,mean_coherence_score,dominant_source_type,dominant_evidence_band,dominant_families,dominant_genes,outcome_association,emergent_descriptor,scientific_status,operational_status
NARRATIVA_001,1,350,17.5,46.131084085922,31.884057971,1.4468385463312572,88.89430622973858,100.0,PAIR,EVIDENCIA_MUITO_ALTA,NUM,NUM::MAX_DRAWDOWN_R::ATE_P10|NUM::SCORE_DESCOBERTA_16E::ATE_P10|NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10|NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25|NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25|NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10|NUM::DIAS_ACIMA_58_PCT::ATE_P10|NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10,ASSOCIACAO_GAIN,ASSOCIACAO_GAIN; familias=NUM; fonte=PAIR,NARRATIVA_LATENTE_CANDIDATA,NAO_OPERACIONAL
NARRATIVA_002,2,650,32.5,45.037795424065386,31.884057971,1.4125490382992156,65.11433427681632,0.0,PAIR,EVIDENCIA_MODERADA,NUM|DESCONHECIDA|TOKEN|COMPRIMENTO_SEQ_3|POS_000,NUM::MAX_DRAWDOWN_R::ATE_P10|NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10|NUM::SCORE_DESCOBERTA_16E::ATE_P10|NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10|NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25|NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10|NUM::DIAS_ACIMA_58_PCT::ATE_P10|NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,ASSOCIACAO_GAIN,ASSOCIACAO_GAIN; familias=NUM|DESCONHECIDA|TOKEN|COMPRIMENTO_SEQ_3|POS_000; fonte=PAIR,NARRATIVA_LATENTE_CANDIDATA,NAO_OPERACIONAL
NARRATIVA_003,3,1000,50.0,32.337875841145404,31.884057971,1.01423337865816,55.795526606380704,50.6,TRIPLET,EVIDENCIA_BAIXA,DESCONHECIDA|NUM,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO|NUM::TAXA_ALVO_DESVIO_DIAS_PP::POSITIVO|GENE_89EA67606038|GENE_C28B03B5A8E5|NUM::HORA::POSITIVO|GENE_773483BF6143|GENE_035C4B2B0FFF|GENE_9F81AAC8272C,NEUTRA,NEUTRA; familias=DESCONHECIDA|NUM; fonte=TRIPLET,NARRATIVA_LATENTE_CANDIDATA,NAO_OPERACIONAL
