dna_id,classe_dna,escopo,motor_catalogo,lado_catalogo,tamanho,sequencia,evidencia_16e,score_descoberta_16e,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,classe_alvo,acertos_classe_alvo,taxa_acerto_classe_alvo_pct,taxa_erro_classe_alvo_pct
DNA_39BF79999921,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,FRACA,54.5028,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,4,STOP,7,100.0,0.0
DNA_02DCDED28577,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,FRACA,56.4437,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,3,STOP,7,100.0,0.0
DNA_E3E076C0C2A8,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,FRACA,54.7384,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,4,STOP,7,100.0,0.0
DNA_E29FF0440092,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,FRACA,61.4476,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,2,STOP,7,100.0,0.0
DNA_8CCDCFA5D8AB,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,FRACA,51.7995,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,2,STOP,7,100.0,0.0
DNA_B123A1E6ECF4,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,FRACA,56.4437,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,4,STOP,6,100.0,0.0
DNA_8B5DFEB81691,DNA_STOP,LADO,,COMPRA,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,FRACA,57.974,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,3,STOP,6,100.0,0.0
DNA_D57518E95A6C,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,2,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,44.9766,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,3,STOP,6,100.0,0.0
DNA_4F2977ACA9F6,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,FRACA,59.1343,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,3,STOP,6,100.0,0.0
DNA_66AC9CFEA710,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,51.4811,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,2,STOP,6,100.0,0.0
