data_hora;pre60_trades_vel_s;pre60_volume_vel_s;pre5_trades_var;pre5_volume_var;pre5_ticks_var;pre5_amplitude_pts;pre15_ask_size_medio;preco_alerta;fut15_direcao;fut15_movimento_max_pts;fut15_alta_pts;fut15_queda_pts;fut15_liquido_pts;fut30_direcao;fut30_movimento_max_pts;fut30_alta_pts;fut30_queda_pts;fut30_liquido_pts;fut60_direcao;fut60_movimento_max_pts;fut60_alta_pts;fut60_queda_pts;fut60_liquido_pts;fut120_direcao;fut120_movimento_max_pts;fut120_alta_pts;fut120_queda_pts;fut120_liquido_pts;fut300_direcao;fut300_movimento_max_pts;fut300_alta_pts;fut300_queda_pts;fut300_liquido_pts;ok_pre60_trades_vel_s;limite_pre60_trades_vel_s;ok_pre60_volume_vel_s;limite_pre60_volume_vel_s;ok_pre5_trades_var;limite_pre5_trades_var;ok_pre5_volume_var;limite_pre5_volume_var;ok_pre5_ticks_var;limite_pre5_ticks_var;ok_pre5_amplitude_pts;limite_pre5_amplitude_pts;ok_pre15_ask_size_medio;limite_pre15_ask_size_medio;score_dna;dna_detectado;motivos_dna;data_analisada;grupo_alerta;inicio_cluster;fim_cluster;alertas_no_cluster
2026-07-14 00:03:15;2,3223176395896683;2,405854245330304;14,0;15,0;363,0;500,0;1,5084745762711864;29366,0;ALTA;100,0;100,0;50,0;0,0;QUEDA;500,0;225,0;500,0;100,0;QUEDA;900,0;375,0;900,0;-775,0;QUEDA;1125,0;375,0;1125,0;-225,0;QUEDA;1125,0;375,0;1125,0;-1000,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.3223>=1.8064 | pre60_volume_vel_s=2.4059>=1.8901 | pre5_trades_var=14.0000>=10.0000 | pre5_volume_var=15.0000>=12.0000 | pre5_ticks_var=363.0000>=275.0000 | pre5_amplitude_pts=500.0000>=250.0000 | pre15_ask_size_medio=1.5085>=1.4930;2026-07-14;1;2026-07-14 00:03:00;2026-07-14 00:07:30;15
2026-07-14 00:10:45;2,9253940923755875;3,159425619765634;19,0;20,0;334,0;500,0;1,5486111111111112;29351,75;QUEDA;225,0;75,0;225,0;-150,0;ALTA;475,0;475,0;225,0;200,0;QUEDA;675,0;475,0;675,0;-550,0;QUEDA;1050,0;475,0;1050,0;-825,0;QUEDA;2600,0;475,0;2600,0;-1725,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.9254>=1.8064 | pre60_volume_vel_s=3.1594>=1.8901 | pre5_trades_var=19.0000>=10.0000 | pre5_volume_var=20.0000>=12.0000 | pre5_ticks_var=334.0000>=275.0000 | pre5_amplitude_pts=500.0000>=250.0000 | pre15_ask_size_medio=1.5486>=1.4930;2026-07-14;2;2026-07-14 00:10:35;2026-07-14 01:05:15;266
2026-07-14 01:10:15;2,99090192707214;3,7968335840676266;54,0;88,0;391,0;600,0;1,351063829787234;29386,75;QUEDA;675,0;325,0;675,0;-575,0;QUEDA;925,0;325,0;925,0;-550,0;QUEDA;950,0;325,0;950,0;-925,0;QUEDA;1250,0;325,0;1250,0;-1025,0;QUEDA;1550,0;1350,0;1550,0;-400,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;False;1,4929577464788732;6;True;pre60_trades_vel_s=2.9909>=1.8064 | pre60_volume_vel_s=3.7968>=1.8901 | pre5_trades_var=54.0000>=10.0000 | pre5_volume_var=88.0000>=12.0000 | pre5_ticks_var=391.0000>=275.0000 | pre5_amplitude_pts=600.0000>=250.0000;2026-07-14;3;2026-07-14 01:09:40;2026-07-14 01:15:05;14
2026-07-14 01:22:35;1,8261776982707214;2,1056946929039952;17,0;17,0;278,0;425,0;2,0172413793103448;29425,25;ALTA;250,0;250,0;25,0;175,0;ALTA;775,0;775,0;25,0;650,0;ALTA;850,0;850,0;450,0;50,0;ALTA;850,0;850,0;725,0;-225,0;ALTA;2425,0;2425,0;725,0;2425,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=1.8262>=1.8064 | pre60_volume_vel_s=2.1057>=1.8901 | pre5_trades_var=17.0000>=10.0000 | pre5_volume_var=17.0000>=12.0000 | pre5_ticks_var=278.0000>=275.0000 | pre5_amplitude_pts=425.0000>=250.0000 | pre15_ask_size_medio=2.0172>=1.4930;2026-07-14;4;2026-07-14 01:19:05;2026-07-14 01:23:20;8
2026-07-14 01:27:35;2,070356101249415;2,1063622943146223;31,0;31,0;370,0;675,0;1,606060606060606;29447,75;QUEDA;375,0;175,0;375,0;175,0;ALTA;500,0;500,0;375,0;150,0;ALTA;500,0;500,0;375,0;75,0;ALTA;500,0;500,0;425,0;-125,0;ALTA;825,0;825,0;525,0;25,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.0704>=1.8064 | pre60_volume_vel_s=2.1064>=1.8901 | pre5_trades_var=31.0000>=10.0000 | pre5_volume_var=31.0000>=12.0000 | pre5_ticks_var=370.0000>=275.0000 | pre5_amplitude_pts=675.0000>=250.0000 | pre15_ask_size_medio=1.6061>=1.4930;2026-07-14;5;2026-07-14 01:27:35;2026-07-14 01:33:35;10
2026-07-14 01:37:40;1,8496010146382709;2,043368739981328;31,0;40,0;256,0;250,0;2,506849315068493;29477,5;QUEDA;150,0;100,0;150,0;75,0;QUEDA;525,0;100,0;525,0;-450,0;QUEDA;525,0;200,0;525,0;200,0;ALTA;850,0;850,0;525,0;425,0;QUEDA;1025,0;975,0;1025,0;575,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;False;275,0;True;250,0;True;1,4929577464788732;6;True;pre60_trades_vel_s=1.8496>=1.8064 | pre60_volume_vel_s=2.0434>=1.8901 | pre5_trades_var=31.0000>=10.0000 | pre5_volume_var=40.0000>=12.0000 | pre5_amplitude_pts=250.0000>=250.0000 | pre15_ask_size_medio=2.5068>=1.4930;2026-07-14;6;2026-07-14 01:37:40;2026-07-14 01:41:45;5
2026-07-14 01:50:35;1,5440306061177924;2,127331057317847;23,0;47,0;274,0;450,0;2,411764705882353;29498,75;QUEDA;800,0;100,0;800,0;-800,0;QUEDA;950,0;100,0;950,0;-600,0;QUEDA;950,0;100,0;950,0;-375,0;QUEDA;1400,0;100,0;1400,0;-1225,0;QUEDA;2100,0;150,0;2100,0;-25,0;False;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;False;275,0;True;250,0;True;1,4929577464788732;5;True;pre60_volume_vel_s=2.1273>=1.8901 | pre5_trades_var=23.0000>=10.0000 | pre5_volume_var=47.0000>=12.0000 | pre5_amplitude_pts=450.0000>=250.0000 | pre15_ask_size_medio=2.4118>=1.4930;2026-07-14;7;2026-07-14 01:50:35;2026-07-14 01:50:35;1
2026-07-14 01:55:55;3,3961152599934157;3,621367802748081;95,0;106,0;351,0;900,0;1,2278481012658229;29505,75;QUEDA;625,0;0,0;625,0;-625,0;QUEDA;625,0;0,0;625,0;-500,0;QUEDA;625,0;0,0;625,0;-175,0;QUEDA;625,0;500,0;625,0;425,0;ALTA;1150,0;1150,0;625,0;325,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;False;1,4929577464788732;6;True;pre60_trades_vel_s=3.3961>=1.8064 | pre60_volume_vel_s=3.6214>=1.8901 | pre5_trades_var=95.0000>=10.0000 | pre5_volume_var=106.0000>=12.0000 | pre5_ticks_var=351.0000>=275.0000 | pre5_amplitude_pts=900.0000>=250.0000;2026-07-14;8;2026-07-14 01:55:55;2026-07-14 01:55:55;1
2026-07-14 02:00:00;1,8113441898978746;2,0183549544576316;24,0;24,0;435,0;400,0;1,1538461538461537;29509,25;QUEDA;550,0;200,0;550,0;-425,0;QUEDA;550,0;200,0;550,0;-425,0;QUEDA;725,0;200,0;725,0;-225,0;QUEDA;1100,0;200,0;1100,0;-1025,0;QUEDA;1800,0;625,0;1800,0;375,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;False;1,4929577464788732;6;True;pre60_trades_vel_s=1.8113>=1.8064 | pre60_volume_vel_s=2.0184>=1.8901 | pre5_trades_var=24.0000>=10.0000 | pre5_volume_var=24.0000>=12.0000 | pre5_ticks_var=435.0000>=275.0000 | pre5_amplitude_pts=400.0000>=250.0000;2026-07-14;9;2026-07-14 02:00:00;2026-07-14 02:03:20;7
2026-07-14 02:09:15;2,083193333781332;2,2007929574625362;45,0;49,0;523,0;350,0;2,0;29530,0;ALTA;450,0;450,0;25,0;-25,0;QUEDA;600,0;450,0;600,0;-600,0;QUEDA;675,0;450,0;675,0;-425,0;QUEDA;850,0;450,0;850,0;325,0;QUEDA;850,0;450,0;850,0;425,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.0832>=1.8064 | pre60_volume_vel_s=2.2008>=1.8901 | pre5_trades_var=45.0000>=10.0000 | pre5_volume_var=49.0000>=12.0000 | pre5_ticks_var=523.0000>=275.0000 | pre5_amplitude_pts=350.0000>=250.0000 | pre15_ask_size_medio=2.0000>=1.4930;2026-07-14;10;2026-07-14 02:07:25;2026-07-14 02:11:10;6
2026-07-14 02:14:20;2,1587910769968817;2,5014563273138473;79,0;82,0;348,0;825,0;1,5233644859813085;29539,5;ALTA;700,0;700,0;25,0;600,0;ALTA;1050,0;1050,0;25,0;775,0;ALTA;1050,0;1050,0;25,0;700,0;ALTA;1200,0;1200,0;25,0;225,0;ALTA;1375,0;1375,0;325,0;-175,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=2.1588>=1.8064 | pre60_volume_vel_s=2.5015>=1.8901 | pre5_trades_var=79.0000>=10.0000 | pre5_volume_var=82.0000>=12.0000 | pre5_ticks_var=348.0000>=275.0000 | pre5_amplitude_pts=825.0000>=250.0000 | pre15_ask_size_medio=1.5234>=1.4930;2026-07-14;11;2026-07-14 02:14:20;2026-07-14 02:46:15;121
2026-07-14 02:54:45;1,8028227052642425;1,9401806256653276;24,0;26,0;401,0;425,0;1,6129032258064515;29598,5;ALTA;100,0;100,0;75,0;100,0;QUEDA;350,0;100,0;350,0;100,0;QUEDA;425,0;250,0;425,0;-350,0;QUEDA;975,0;250,0;975,0;-850,0;QUEDA;1075,0;450,0;1075,0;-425,0;False;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;6;True;pre60_volume_vel_s=1.9402>=1.8901 | pre5_trades_var=24.0000>=10.0000 | pre5_volume_var=26.0000>=12.0000 | pre5_ticks_var=401.0000>=275.0000 | pre5_amplitude_pts=425.0000>=250.0000 | pre15_ask_size_medio=1.6129>=1.4930;2026-07-14;12;2026-07-14 02:50:40;2026-07-14 02:54:45;5
2026-07-14 03:00:25;3,0339052215105653;3,1226159005021024;36,0;36,0;461,0;875,0;1,646153846153846;29603,0;QUEDA;750,0;0,0;750,0;-525,0;QUEDA;750,0;0,0;750,0;-425,0;QUEDA;750,0;600,0;750,0;175,0;ALTA;975,0;975,0;750,0;775,0;ALTA;975,0;975,0;750,0;450,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;True;275,0;True;250,0;True;1,4929577464788732;7;True;pre60_trades_vel_s=3.0339>=1.8064 | pre60_volume_vel_s=3.1226>=1.8901 | pre5_trades_var=36.0000>=10.0000 | pre5_volume_var=36.0000>=12.0000 | pre5_ticks_var=461.0000>=275.0000 | pre5_amplitude_pts=875.0000>=250.0000 | pre15_ask_size_medio=1.6462>=1.4930;2026-07-14;13;2026-07-14 03:00:00;2026-07-14 03:02:40;20
2026-07-14 03:07:40;1,907421914915358;2,0606968902210565;13,0;20,0;223,0;275,0;1,8;29619,75;QUEDA;175,0;0,0;175,0;-175,0;ALTA;350,0;350,0;175,0;350,0;ALTA;525,0;525,0;425,0;-350,0;QUEDA;825,0;525,0;825,0;50,0;ALTA;975,0;975,0;825,0;-375,0;True;1,806442979961864;True;1,890074599404543;True;10,0;True;12,0;False;275,0;True;250,0;True;1,4929577464788732;6;True;pre60_trades_vel_s=1.9074>=1.8064 | pre60_volume_vel_s=2.0607>=1.8901 | pre5_trades_var=13.0000>=10.0000 | pre5_volume_var=20.0000>=12.0000 | pre5_amplitude_pts=275.0000>=250.0000 | pre15_ask_size_medio=1.8000>=1.4930;2026-07-14;14;2026-07-14 03:07:40;2026-07-14 03:08:35;5
