alvo;dia_treino;dia_teste;corte;tp;fn;fp;tn;precision;recall;especificidade;acuracia;f0_5;positivos_reais;sinais_emitidos;total
EXPLOSAO_250;2026-07-13;2026-07-14;2;0;0;60;29;0,0;0,0;0,3258426966292135;0,3258426966292135;0,0;0;60;89
EXPLOSAO_250;2026-07-13;2026-07-14;3;0;0;60;29;0,0;0,0;0,3258426966292135;0,3258426966292135;0,0;0;60;89
EXPLOSAO_250;2026-07-13;2026-07-14;4;0;0;57;32;0,0;0,0;0,3595505617977528;0,3595505617977528;0,0;0;57;89
EXPLOSAO_250;2026-07-13;2026-07-14;5;0;0;57;32;0,0;0,0;0,3595505617977528;0,3595505617977528;0,0;0;57;89
EXPLOSAO_250;2026-07-13;2026-07-14;6;0;0;54;35;0,0;0,0;0,39325842696629215;0,39325842696629215;0,0;0;54;89
EXPLOSAO_250;2026-07-13;2026-07-14;7;0;0;53;36;0,0;0,0;0,4044943820224719;0,4044943820224719;0,0;0;53;89
EXPLOSAO_250;2026-07-13;2026-07-14;8;0;0;51;38;0,0;0,0;0,42696629213483145;0,42696629213483145;0,0;0;51;89
EXPLOSAO_250;2026-07-13;2026-07-14;9;0;0;50;39;0,0;0,0;0,43820224719101125;0,43820224719101125;0,0;0;50;89
EXPLOSAO_250;2026-07-13;2026-07-14;10;0;0;44;45;0,0;0,0;0,5056179775280899;0,5056179775280899;0,0;0;44;89
EXPLOSAO_250;2026-07-14;2026-07-13;1;0;0;128;429;0,0;0,0;0,770197486535009;0,770197486535009;0,0;0;128;557
EXPLOSAO_250;2026-07-14;2026-07-13;2;0;0;123;434;0,0;0,0;0,7791741472172352;0,7791741472172352;0,0;0;123;557
EXPLOSAO_250;2026-07-14;2026-07-13;3;0;0;100;457;0,0;0,0;0,8204667863554758;0,8204667863554758;0,0;0;100;557
EXPLOSAO_250;2026-07-14;2026-07-13;4;0;0;69;488;0,0;0,0;0,8761220825852782;0,8761220825852782;0,0;0;69;557
EXPLOSAO_250;2026-07-14;2026-07-13;5;0;0;52;505;0,0;0,0;0,9066427289048474;0,9066427289048474;0,0;0;52;557
EXPLOSAO_250;2026-07-14;2026-07-13;6;0;0;44;513;0,0;0,0;0,9210053859964094;0,9210053859964094;0,0;0;44;557
EXPLOSAO_250;2026-07-14;2026-07-13;7;0;0;41;516;0,0;0,0;0,926391382405745;0,926391382405745;0,0;0;41;557
EXPLOSAO_250;2026-07-14;2026-07-13;8;0;0;31;526;0,0;0,0;0,9443447037701975;0,9443447037701975;0,0;0;31;557
EXPLOSAO_250;2026-07-14;2026-07-13;9;0;0;30;527;0,0;0,0;0,9461400359066428;0,9461400359066428;0,0;0;30;557
EXPLOSAO_250;2026-07-14;2026-07-13;10;0;0;25;532;0,0;0,0;0,9551166965888689;0,9551166965888689;0,0;0;25;557
