escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna,dna_id
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,612,5,14,19,3.104575,2.04918,3.804348,26.315789,73.684211,0.660052,1.2254,-1.755167,-0.577246,FRACA,45.3771,DNA_DC1EF7E69080
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1123,6,16,22,1.959038,1.276596,2.45023,27.272727,72.727273,0.651644,1.250731,-1.173634,-0.614965,MODERADA,45.2849,DNA_2D385610730A
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,672,5,13,18,2.678571,1.706485,3.430079,27.777778,72.222222,0.637088,1.280563,-1.723595,-0.658638,FRACA,45.1793,DNA_5E844DE1A903
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,5,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,672,5,13,18,2.678571,1.706485,3.430079,27.777778,72.222222,0.637088,1.280563,-1.723595,-0.658638,FRACA,45.1793,DNA_13989E9F24E9
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,672,5,13,18,2.678571,1.706485,3.430079,27.777778,72.222222,0.637088,1.280563,-1.723595,-0.658638,FRACA,45.1793,DNA_2AA78FEE2F3D
LADO,,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1031,11,28,39,3.782735,2.722772,4.46571,28.205128,71.794872,0.719789,1.18055,-1.742937,-0.486542,MODERADA,45.1319,DNA_CEA0D4DD30CF
LADO,,COMPRA,DNA_STOP,6,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,1031,7,19,26,2.521823,1.732673,3.030303,26.923077,73.076923,0.687072,1.201632,-1.29763,-0.529709,MODERADA,45.0141,DNA_5C67446DBC61
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,612,3,9,12,1.960784,1.229508,2.445652,25.0,75.0,0.627049,1.247283,-1.216144,-0.600684,FRACA,44.9766,DNA_AA02437A95B4
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,2,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,612,3,9,12,1.960784,1.229508,2.445652,25.0,75.0,0.627049,1.247283,-1.216144,-0.600684,FRACA,44.9766,DNA_D57518E95A6C
GLOBAL,,,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,2154,13,32,45,2.089136,1.487414,2.5,28.888889,71.111111,0.711976,1.196667,-1.012586,-0.507527,MODERADA,44.9332,DNA_AFF3F0195078
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,2,AJUSTE_ESTRUTURA_VENDA_SUBIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,870,7,19,26,2.988506,2.077151,3.564728,26.923077,73.076923,0.695047,1.192813,-1.487577,-0.512923,MODERADA,44.8963,DNA_BAA5BFFDC026
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,451,3,9,12,2.660754,1.694915,3.284672,25.0,75.0,0.637006,1.234489,-1.589756,-0.578839,FRACA,44.8917,DNA_CF7C4A6B5337
