escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna,dna_id
LADO,,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1031,7,4,11,1.066925,1.732673,0.637959,63.636364,36.363636,1.623987,0.597941,1.094715,0.960979,FRACA,42.5106,DNA_279BD6642AFF
LADO,,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,1031,7,4,11,1.066925,1.732673,0.637959,63.636364,36.363636,1.623987,0.597941,1.094715,0.960979,FRACA,42.5106,DNA_8CDBB36CBCBF
LADO,,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_CAIU,1031,7,4,11,1.066925,1.732673,0.637959,63.636364,36.363636,1.623987,0.597941,1.094715,0.960979,FRACA,42.5106,DNA_1016F676957E
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,1123,8,19,27,2.404274,1.702128,2.909648,29.62963,70.37037,0.707959,1.210198,-1.20752,-0.514158,MODERADA,42.4911,DNA_87D404EEDC1A
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,612,7,4,11,1.797386,2.868852,1.086957,63.636364,36.363636,1.596125,0.604743,1.781896,0.939185,FRACA,42.3598,DNA_25755CE31F05
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1284,8,19,27,2.102804,1.489758,2.543507,29.62963,70.37037,0.708463,1.209579,-1.053749,-0.511294,MODERADA,42.3491,DNA_8074D439BE99
LADO,,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,1031,10,24,34,3.297769,2.475248,3.827751,29.411765,70.588235,0.750582,1.160709,-1.352504,-0.422171,MODERADA,42.335,DNA_CD8E60489F87
LADO,,COMPRA,DNA_STOP,2,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,1031,10,24,34,3.297769,2.475248,3.827751,29.411765,70.588235,0.750582,1.160709,-1.352504,-0.422171,MODERADA,42.335,DNA_37FF78005FE9
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1284,19,40,59,4.595016,3.538175,5.354752,32.20339,67.79661,0.770003,1.165339,-1.816577,-0.42009,MODERADA,42.3095,DNA_383D9DF34358
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1284,9,5,14,1.090343,1.675978,0.669344,64.285714,35.714286,1.537111,0.613884,1.006634,0.886524,FRACA,41.9511,DNA_053519090D31
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1284,9,5,14,1.090343,1.675978,0.669344,64.285714,35.714286,1.537111,0.613884,1.006634,0.886524,FRACA,41.9511,DNA_EBA78324FDA9
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,419,6,15,21,5.011933,3.75,5.791506,28.571429,71.428571,0.748214,1.155543,-2.041506,-0.410017,MODERADA,41.5159,DNA_39E0EA4335D7
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,870,6,15,21,2.413793,1.780415,2.814259,28.571429,71.428571,0.737601,1.165907,-1.033843,-0.421726,MODERADA,41.026,DNA_6CBBC9B7979D
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,672,9,5,14,2.083333,3.071672,1.319261,64.285714,35.714286,1.474403,0.633245,1.752411,0.821402,FRACA,40.9306,DNA_DFE2AD29CDBA
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,612,11,7,18,2.941176,4.508197,1.902174,61.111111,38.888889,1.532787,0.646739,2.606023,0.864524,FRACA,40.804,DNA_76F811B50CCB
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,451,3,8,11,2.439024,1.694915,2.919708,27.272727,72.727273,0.694915,1.19708,-1.224793,-0.463854,FRACA,40.6753,DNA_52D724F93647
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,451,3,8,11,2.439024,1.694915,2.919708,27.272727,72.727273,0.694915,1.19708,-1.224793,-0.463854,FRACA,40.6753,DNA_369172CCFB17
LADO,,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1123,9,20,29,2.582369,1.914894,3.062787,31.034483,68.965517,0.741526,1.186038,-1.147894,-0.452355,MODERADA,40.5483,DNA_34233F371B93
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,1284,9,20,29,2.258567,1.675978,2.677376,31.034483,68.965517,0.742054,1.185431,-1.001399,-0.449562,MODERADA,40.4124,DNA_DDA6363F8912
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,1284,9,20,29,2.258567,1.675978,2.677376,31.034483,68.965517,0.742054,1.185431,-1.001399,-0.449562,MODERADA,40.4124,DNA_06528B31BF49
LADO,,VENDA,DNA_GAIN,3,CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1123,13,8,21,1.869991,2.765957,1.225115,61.904762,38.095238,1.479129,0.655145,1.540843,0.806872,MODERADA,40.0726,DNA_5B6B85395894
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,419,3,8,11,2.625298,1.875,3.088803,27.272727,72.727273,0.714205,1.176553,-1.213803,-0.419286,FRACA,40.0337,DNA_E851B889C196
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,419,3,8,11,2.625298,1.875,3.088803,27.272727,72.727273,0.714205,1.176553,-1.213803,-0.419286,FRACA,40.0337,DNA_6BD1657438B4
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL,419,3,8,11,2.625298,1.875,3.088803,27.272727,72.727273,0.714205,1.176553,-1.213803,-0.419286,FRACA,40.0337,DNA_D383C44C5631
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,419,3,8,11,2.625298,1.875,3.088803,27.272727,72.727273,0.714205,1.176553,-1.213803,-0.419286,FRACA,40.0337,DNA_9C10A16380AC
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,2,AJUSTE_ESTRUTURA_VENDA_SUBIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,419,3,8,11,2.625298,1.875,3.088803,27.272727,72.727273,0.714205,1.176553,-1.213803,-0.419286,FRACA,40.0337,DNA_95D05068BD64
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1284,13,8,21,1.635514,2.420857,1.07095,61.904762,38.095238,1.480181,0.65481,1.349906,0.806152,MODERADA,39.9469,DNA_3CD537351738
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1284,13,8,21,1.635514,2.420857,1.07095,61.904762,38.095238,1.480181,0.65481,1.349906,0.806152,MODERADA,39.9469,DNA_EBF35E328EE8
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,6,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,451,4,10,14,3.104213,2.259887,3.649635,28.571429,71.428571,0.728006,1.175704,-1.389748,-0.425634,FRACA,39.8487,DNA_0E0759144567
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,451,4,10,14,3.104213,2.259887,3.649635,28.571429,71.428571,0.728006,1.175704,-1.389748,-0.425634,FRACA,39.8487,DNA_EF361E9CFF98
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,451,4,10,14,3.104213,2.259887,3.649635,28.571429,71.428571,0.728006,1.175704,-1.389748,-0.425634,FRACA,39.8487,DNA_E07B8E568077
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,612,8,18,26,4.248366,3.278689,4.891304,30.769231,69.230769,0.771753,1.151338,-1.612616,-0.384292,MODERADA,39.6712,DNA_AE4B58C7ADDC
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,612,8,18,26,4.248366,3.278689,4.891304,30.769231,69.230769,0.771753,1.151338,-1.612616,-0.384292,MODERADA,39.6712,DNA_625C2B7C54B9
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,2,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1284,13,27,40,3.115265,2.420857,3.614458,32.5,67.5,0.777095,1.160241,-1.193601,-0.393996,MODERADA,39.6631,DNA_F545FC110364
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,612,8,5,13,2.124183,3.278689,1.358696,61.538462,38.461538,1.543506,0.639632,1.919993,0.865149,FRACA,39.6109,DNA_2C7C4EEB27F8
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,1284,10,6,16,1.246106,1.862197,0.803213,62.5,37.5,1.494413,0.644578,1.058985,0.820099,FRACA,39.561,DNA_184A7F891A9B
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,451,5,12,17,3.769401,2.824859,4.379562,29.411765,70.588235,0.749418,1.161872,-1.554703,-0.401127,FRACA,39.523,DNA_5E0BA78DB821
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,2,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,451,6,14,20,4.43459,3.389831,5.109489,30.0,70.0,0.764407,1.15219,-1.719659,-0.384327,MODERADA,39.4489,DNA_400FB800A654
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,672,11,22,33,4.910714,3.754266,5.804749,33.333333,66.666667,0.764505,1.182058,-2.050483,-0.435711,MODERADA,39.306,DNA_5CCB7B3B1DDB
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,419,4,10,14,3.341289,2.5,3.861004,28.571429,71.428571,0.748214,1.155543,-1.361004,-0.380895,FRACA,39.2002,DNA_973119A96316
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,1123,10,21,31,2.760463,2.12766,3.215926,32.258065,67.741935,0.770762,1.164995,-1.088267,-0.39931,MODERADA,38.8736,DNA_079D3E4481A7
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,672,10,6,16,2.380952,3.412969,1.583113,62.5,37.5,1.433447,0.664908,1.829856,0.755279,FRACA,38.5957,DNA_D98BE00C2AF5
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021,DNA_F086F40D1616
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021,DNA_BF68E3CCCD78
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_CAIU,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021,DNA_97AD30D78ABB
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021,DNA_A50C63B93A95
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,672,4,9,13,1.934524,1.365188,2.37467,30.769231,69.230769,0.705697,1.227522,-1.009482,-0.500516,FRACA,38.4775,DNA_99AF8EE48A0A
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_SUBIU,672,4,9,13,1.934524,1.365188,2.37467,30.769231,69.230769,0.705697,1.227522,-1.009482,-0.500516,FRACA,38.4775,DNA_945CCA561EB6
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,612,13,9,22,3.594771,5.327869,2.445652,59.090909,40.909091,1.482116,0.680336,2.882217,0.791532,MODERADA,38.4405,DNA_358D498AE72E
LADO,,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,1123,11,7,18,1.60285,2.340426,1.071975,61.111111,38.888889,1.460165,0.668794,1.26845,0.768878,FRACA,37.8701,DNA_732510572C91
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,419,6,4,10,2.386635,3.75,1.544402,60.0,40.0,1.57125,0.647104,2.205598,0.870753,FRACA,37.8244,DNA_64024AA702F7
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,2,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_CAIU,419,6,4,10,2.386635,3.75,1.544402,60.0,40.0,1.57125,0.647104,2.205598,0.870753,FRACA,37.8244,DNA_8881446BE926
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,1284,15,10,25,1.94704,2.793296,1.338688,60.0,40.0,1.434637,0.68755,1.454608,0.734106,MODERADA,37.5734,DNA_8676387BEA87
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,672,10,19,29,4.315476,3.412969,5.013193,34.482759,65.517241,0.790867,1.161678,-1.600223,-0.378759,MODERADA,36.5841,DNA_A766C48B4FE5
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,451,6,4,10,2.217295,3.389831,1.459854,60.0,40.0,1.528814,0.658394,1.929976,0.823414,FRACA,36.5323,DNA_EF5299932931
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,451,6,4,10,2.217295,3.389831,1.459854,60.0,40.0,1.528814,0.658394,1.929976,0.823414,FRACA,36.5323,DNA_EDAF64BFBF50
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU,451,6,4,10,2.217295,3.389831,1.459854,60.0,40.0,1.528814,0.658394,1.929976,0.823414,FRACA,36.5323,DNA_50E975B46E3D
LADO,,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,1123,12,8,20,1.780944,2.553191,1.225115,60.0,40.0,1.433617,0.687902,1.328077,0.727727,MODERADA,36.5007,DNA_45BFA82FC82E
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,5,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,870,6,4,10,1.149425,1.780415,0.750469,60.0,40.0,1.548961,0.652908,1.029946,0.83603,FRACA,36.3233,DNA_BDF11E9FD35A
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,870,6,4,10,1.149425,1.780415,0.750469,60.0,40.0,1.548961,0.652908,1.029946,0.83603,FRACA,36.3233,DNA_B4262BCA8356
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,2,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_SUBIU,870,6,4,10,1.149425,1.780415,0.750469,60.0,40.0,1.548961,0.652908,1.029946,0.83603,FRACA,36.3233,DNA_B9FBE776D570
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU,419,7,5,12,2.863962,4.375,1.930502,58.333333,41.666667,1.527604,0.674067,2.444498,0.815755,FRACA,35.913,DNA_C85A73486321
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,419,7,5,12,2.863962,4.375,1.930502,58.333333,41.666667,1.527604,0.674067,2.444498,0.815755,FRACA,35.913,DNA_5F17EEA638BA
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU,419,7,5,12,2.863962,4.375,1.930502,58.333333,41.666667,1.527604,0.674067,2.444498,0.815755,FRACA,35.913,DNA_200784D63B62
