gene_id,gene_key,family,description,value_type,source_plugin,rule_version,signature,status_elegibilidade,motivo_elegibilidade,historias_total,historias_com_gene,historias_sem_gene,gain_com_gene,stop_com_gene,gain_sem_gene,stop_sem_gene,cobertura_pct,taxa_gain_gene_pct,taxa_gain_base_pct,lift_gain,leverage,conviction,entropia_alvo,information_gain,mutual_information,odds_ratio,fisher_p,chi2,chi2_p,phi_mcc,bayes_media_pct,bayes_ic_inferior_pct,bayes_ic_superior_pct,bootstrap_media_pct,bootstrap_ic_inferior_pct,bootstrap_ic_superior_pct,bootstrap_desvio_pp,candidate_id,rank_cientifico,indice_candidato_0_100,faixa_evidencia,status_lab16i4,dna_count,nucleus_count,mean_reconstruction_score,max_reconstruction_score,global_role,status_lab16i5
GENE_0AD4AD4916CC,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_CAIU=>AJUSTE_ESTRUTURA_SUBIU,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,922b9d8c19d4493eac4e4ad9d9cebef48c16147e9e5cb35e3083681585e4bf62,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,29,799,6,23,258,541,3.50241545894,20.6896551724,31.884057971,0.648902821317,-0.00392074494154,0.858853182105,0.903116172157,0.0016292741315,0.0016292741315,0.54701718908,0.226666613819,1.73404777048,0.187894784276,-0.0457630920324,22.5806451613,9.9337864958,38.5666510997,20.7931034483,6.89655172414,34.5689655172,7.40352914986,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_EEC1883E89D5,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_CAIU=>AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,929780d90bc395c6f138057dd14ff9dd7c0644ee110160574ac2777779ddb41f,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,23,805,8,15,256,549,2.77777777778,34.7826086957,31.884057971,1.09090909091,0.000805152979066,1.04444444444,0.903116172157,7.85571714579e-05,7.85571714579e-05,1.14375,0.821242275016,0.0915169936447,0.762257398646,0.0105132188269,36,18.7992928196,55.321961566,34.8130434783,17.3913043478,52.1739130435,9.93568464478,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_807AAFE1EE7B,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_CAIU=>AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,7f7daf3a1f037a0942bc51a720ebde464cb2e41dce592f036fa85ec4b3496cb0,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,6,822,2,4,262,560,0.724637681159,33.3333333333,31.884057971,1.04545454545,0.000105019953791,1.02173913043,0.903116172157,5.05271402518e-06,5.05271402518e-06,1.06870229008,1,0.00584506346271,0.939058693322,0.00265692592854,37.5,9.89882784425,70.9579136263,33.8166666667,0,66.6666666667,18.5846591635,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_A0517BD7A82B,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_CAIU=>AJUSTE_ESTRUTURA_VENDA_ESTAVEL,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,9c6c4d08922773a1d87cd772470344361216f267e30ce52912c3a18de2438653,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,3,825,2,1,262,563,0.36231884058,66.6666666667,31.884057971,2.09090909091,0.00126023944549,2.04347826087,0.903116172157,0.00133045955656,0.00133045955656,4.29770992366,0.239865805684,1.67725690171,0.195289344832,0.045007472564,60,19.4120449683,93.2414013511,67.2333333333,0,100,26.7780249117,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_88406A963ED1,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_ESTAVEL=>AJUSTE_ESTRUTURA_ESTAVEL,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,0e96a31bf243d082fb5f92fd4d0a3b3327ccdfadb70ad8006894b52faeb0e56d,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,150,678,46,104,218,460,18.115942029,30.6666666667,31.884057971,0.961818181818,-0.00220541902962,0.982441471572,0.903116172157,0.000109495007422,0.000109495007422,0.933309809457,0.771884252643,0.125005734239,0.723667531535,-0.0122871114988,30.9210526316,23.8487326628,38.4689259708,30.712,23.3333333333,38.6666666667,3.70958747861,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_04D728AEFC63,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_ESTAVEL=>AJUSTE_ESTRUTURA_SUBIU,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,6ea6728f5d709f0cbd1006c887a10f6233ad831b4fafd895660d49cfb229e6e7,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,61,767,25,36,239,528,7.36714975845,40.9836065574,31.884057971,1.28539493294,0.00670377371701,1.15418679549,0.903116172157,0.00210349903956,0.00210349903956,1.53417015342,0.118058843571,2.5106267223,0.113080952302,0.0550650331624,41.2698412698,29.5146428155,53.5503389858,40.7245901639,29.5081967213,52.4590163934,6.18997231862,CGENE_6C2A48148A70,99,69.758900626,FAIXA_EVIDENCIA_MODERADA,CANDIDATO_CIENTIFICO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_F34F33EA9AD8,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_ESTAVEL=>AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,e95eaa497622d79a737d075e8e4c803022e5859f9568286050bab0c8701e1784,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,20,808,4,16,260,548,2.4154589372,20,31.884057971,0.627272727273,-0.00287054540363,0.851449275362,0.903116172157,0.00126082540394,0.00126082540394,0.526923076923,0.333740755853,1.33277285175,0.24831252306,-0.0401201825521,22.7272727273,8.2175875593,41.9066041184,20.2,5,40,8.93811444824,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_C56309BD7FE5,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_ESTAVEL=>AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,d6fc379e9aad163a5fc6d0861e135c59266b9bd94232414b4e3ec40ef2b38283,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,27,801,7,20,257,544,3.26086956522,25.9259259259,31.884057971,0.813131313131,-0.00194286914514,0.919565217391,0.903116172157,0.000412034738238,0.000412034738238,0.740856031128,0.674946493086,0.456204406001,0.499403212132,-0.0234727822133,27.5862068966,13.2236512571,44.8715451529,25.8259259259,11.1111111111,44.4444444444,8.57119512231,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_E67308E601EF,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_ESTAVEL=>AJUSTE_ESTRUTURA_VENDA_ESTAVEL,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,fe8951c98fd430fc896a5ee08eb8443065a5a6bc9b3cd4f19c3fcbf26f71e1de,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,43,785,14,29,250,535,5.19323671498,32.5581395349,31.884057971,1.02114164905,0.000350066512637,1.0099950025,0.903116172157,8.2381033496e-06,8.2381033496e-06,1.03310344828,1,0.00948924537865,0.922398613669,0.00338532735176,33.3333333333,20.4917346969,47.5781421497,32.2953488372,18.6046511628,46.511627907,7.00200708933,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_88C918C49C5D,TRANSICAO::AJUSTE_ESTRUTURA_COMPRA_SUBIU=>AJUSTE_ESTRUTURA_ESTAVEL,TRANSICAO,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,1f194ea0fd7b6b97013e0e930934946927e8185f30980c194c2e855a7bba88d2,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,48,780,11,37,253,527,5.79710144928,22.9166666667,31.884057971,0.71875,-0.00519848771267,0.883666274971,0.903116172157,0.00173866597866,0.00173866597866,0.619271445358,0.202553471146,1.88663052373,0.169582455177,-0.0477340473862,24,13.3428710842,36.6243018859,23.1666666667,12.5,35.4166666667,6.22932014183,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
