variavel,elegivel_regra,motivo
13a_features_tempo_real__post30__adv_delta_spread_minimo_15s_30s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_delta_spread_minimo_15s_30s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_delta_spread_minimo_15s_30s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_ratio_volatilidade_close_pontos_15s_60s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_ratio_volatilidade_close_pontos_15s_60s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_ratio_volatilidade_close_pontos_15s_60s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_ratio_volatilidade_close_pontos_15s_60s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_z_pre_15s_spread_medio__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_z_pre_15s_spread_medio__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_z_pre_15s_spread_medio__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_z_pre_15s_spread_medio__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_spread_medio__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_spread_medio__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_spread_medio__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_spread_medio__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_spread_minimo__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_spread_minimo__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_spread_minimo__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_spread_minimo__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_30s_spread_minimo__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_30s_spread_minimo__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_30s_spread_minimo__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_30s_spread_minimo__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_15s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_15s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_15s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_15s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_30s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_30s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_30s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_30s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_60s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_60s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_60s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__cobertura_60s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_volatilidade_close_pontos__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_volatilidade_close_pontos__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_volatilidade_close_pontos__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_15s_volatilidade_close_pontos__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_60s_bid_size_medio_soma__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_60s_bid_size_medio_soma__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_60s_bid_size_medio_soma__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_60s_bid_size_medio_soma__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_60s_volatilidade_close_pontos__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_60s_volatilidade_close_pontos__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_60s_volatilidade_close_pontos__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__pre_60s_volatilidade_close_pontos__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__preco__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__preco__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__preco__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__preco__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__n,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_delta_spread_minimo_15s_30s__delta,False,FUTURO_OU_RESULTADO
