variavel,elegivel_regra,motivo
13a_features_tempo_real__pre60__pre_15s_spread_medio__repique_min,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_medio__slope,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__mean,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__min,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__max,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__std,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__first,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__last,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__delta,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__range,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__ret_pct,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__pos_range,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__dist_media,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__recuo_max,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__repique_min,True,OK
13a_features_tempo_real__pre60__pre_15s_spread_minimo__slope,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__mean,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__min,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__max,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__std,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__first,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__last,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__delta,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__range,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__ret_pct,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__pos_range,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__dist_media,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__recuo_max,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__repique_min,True,OK
13a_features_tempo_real__pre60__pre_30s_spread_minimo__slope,True,OK
13a_features_tempo_real__pre60__cobertura_15s__mean,True,OK
13a_features_tempo_real__pre60__cobertura_15s__min,True,OK
13a_features_tempo_real__pre60__cobertura_15s__max,True,OK
13a_features_tempo_real__pre60__cobertura_15s__std,True,OK
13a_features_tempo_real__pre60__cobertura_15s__first,True,OK
13a_features_tempo_real__pre60__cobertura_15s__last,True,OK
13a_features_tempo_real__pre60__cobertura_15s__delta,True,OK
13a_features_tempo_real__pre60__cobertura_15s__range,True,OK
13a_features_tempo_real__pre60__cobertura_15s__ret_pct,True,OK
13a_features_tempo_real__pre60__cobertura_15s__pos_range,True,OK
13a_features_tempo_real__pre60__cobertura_15s__dist_media,True,OK
13a_features_tempo_real__pre60__cobertura_15s__recuo_max,True,OK
13a_features_tempo_real__pre60__cobertura_15s__repique_min,True,OK
13a_features_tempo_real__pre60__cobertura_15s__slope,True,OK
13a_features_tempo_real__pre60__cobertura_30s__mean,True,OK
13a_features_tempo_real__pre60__cobertura_30s__min,True,OK
13a_features_tempo_real__pre60__cobertura_30s__max,True,OK
13a_features_tempo_real__pre60__cobertura_30s__std,True,OK
13a_features_tempo_real__pre60__cobertura_30s__first,True,OK
13a_features_tempo_real__pre60__cobertura_30s__last,True,OK
13a_features_tempo_real__pre60__cobertura_30s__delta,True,OK
13a_features_tempo_real__pre60__cobertura_30s__range,True,OK
13a_features_tempo_real__pre60__cobertura_30s__ret_pct,True,OK
13a_features_tempo_real__pre60__cobertura_30s__pos_range,True,OK
13a_features_tempo_real__pre60__cobertura_30s__dist_media,True,OK
13a_features_tempo_real__pre60__cobertura_30s__recuo_max,True,OK
13a_features_tempo_real__pre60__cobertura_30s__repique_min,True,OK
13a_features_tempo_real__pre60__cobertura_30s__slope,True,OK
13a_features_tempo_real__pre60__cobertura_60s__mean,True,OK
13a_features_tempo_real__pre60__cobertura_60s__min,True,OK
13a_features_tempo_real__pre60__cobertura_60s__max,True,OK
13a_features_tempo_real__pre60__cobertura_60s__std,True,OK
13a_features_tempo_real__pre60__cobertura_60s__first,True,OK
13a_features_tempo_real__pre60__cobertura_60s__last,True,OK
13a_features_tempo_real__pre60__cobertura_60s__delta,True,OK
13a_features_tempo_real__pre60__cobertura_60s__range,True,OK
13a_features_tempo_real__pre60__cobertura_60s__ret_pct,True,OK
13a_features_tempo_real__pre60__cobertura_60s__pos_range,True,OK
13a_features_tempo_real__pre60__cobertura_60s__dist_media,True,OK
13a_features_tempo_real__pre60__cobertura_60s__recuo_max,True,OK
13a_features_tempo_real__pre60__cobertura_60s__repique_min,True,OK
13a_features_tempo_real__pre60__cobertura_60s__slope,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__mean,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__min,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__max,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__std,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__first,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__last,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__delta,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__range,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__ret_pct,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__pos_range,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__dist_media,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__recuo_max,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__repique_min,True,OK
13a_features_tempo_real__pre60__pre_15s_volatilidade_close_pontos__slope,True,OK
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__mean,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__min,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__max,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__pre_60s_bid_size_medio_soma__std,True,OK
