variavel,n_stop,n_nao_stop,media_stop,media_nao_stop,mediana_stop,mediana_nao_stop,diferenca_medias,efeito_padronizado,correlacao_resultado,abs_efeito
estados_c7_dna_fluxo_v5_2__pre60__aprovado__all_true,61,86,0.06557377049180328,0.05813953488372093,0.0,0.0,0.007434235608082353,0.031009363901638762,0.05152913877077673,0.031009363901638762
estados_c7_dna_fluxo_v5_2__pre60__hard_gates_ok__all_true,61,86,0.06557377049180328,0.05813953488372093,0.0,0.0,0.007434235608082353,0.031009363901638762,0.05152913877077673,0.031009363901638762
07_bloqueios_auditoria_completa__pre60__qtd_hard_gates_compra_ok__min,43,54,2.395348837209302,2.4444444444444446,2.0,2.0,-0.0490956072351425,-0.030976145782544318,0.05489733796005616,0.030976145782544318
estados_c7_dna_fluxo_v5_2__pre60__gate_continuidade__true_count,61,86,3.7540983606557377,3.686046511627907,4.0,4.0,0.06805184902783079,0.030964881537940785,-0.034823299423271815,0.030964881537940785
bloqueios_c7_dna_fluxo_v5_2__pre60__ajuste_estrutura__mean,53,73,7.145193171608266,7.280262507659768,8.0,8.666666666666666,-0.13506933605150184,-0.030841976582332307,-0.01459570826205487,0.030841976582332307
06_evolucao_score_eventos__pre60__score_variacao_15__min,51,65,-22.80392156862745,-21.907692307692308,-25.0,-24.0,-0.8962292609351437,-0.03043081899774136,0.06059661232923426,0.03043081899774136
estados_c7_dna_fluxo_v5_2__pre60__rompimento_venda__mean,61,86,-7.823600466018499,-8.042569905869325,-6.9,-6.833333333333334,0.2189694398508255,0.030397741372000842,-0.04918241006560086,0.030397741372000842
estados_c7_dna_fluxo_v5_2__pre60__continuidade_2s__range,61,86,6.336065573770492,6.4854651162790695,5.75,5.75,-0.14939954250857745,-0.030215471786176624,0.06671612482446736,0.030215471786176624
estados_c7_dna_fluxo_v5_2__pre60__campanha_entradas__ret_pct,17,15,-14.705882352941176,-13.333333333333334,0.0,0.0,-1.3725490196078418,-0.030183259163660183,0.008360219897856814,0.030183259163660183
estados_c7_dna_fluxo_v5_2__pre60__qtd_hard_gates_compra_ok__mean,61,86,3.321457549736238,3.283697858988557,3.2222222222222223,3.0555555555555554,0.03775969074768115,0.030165944140659214,0.03346935554378337,0.030165944140659214
05_estrutura_eventos_enriquecidos__pre60__continuidade_2s__last,51,65,0.0784313725490196,0.17692307692307693,0.25,0.75,-0.09849170437405733,-0.03015868483675178,0.0737286708101008,0.03015868483675178
06_evolucao_score_eventos__pre60__continuidade_2s__last,51,65,0.0784313725490196,0.17692307692307693,0.25,0.75,-0.09849170437405733,-0.03015868483675178,0.0737286708101008,0.03015868483675178
05_estrutura_eventos_enriquecidos__pre60__score_venda_base__ret_pct,51,65,67.87196250639353,60.68132737434832,0.0,0.0,7.190635132045209,0.03013788467921534,-0.03169058583553113,0.03013788467921534
06_evolucao_score_eventos__pre60__score_venda_base__ret_pct,51,65,67.87196250639353,60.68132737434832,0.0,0.0,7.190635132045209,0.03013788467921534,-0.03169058583553113,0.03013788467921534
estados_c7_dna_fluxo_v5_2__pre60__venda10__max,61,86,151.55737704918033,157.6046511627907,82.0,79.0,-6.047274113610371,-0.030114239012756793,0.05111400156026516,0.030114239012756793
07_bloqueios_auditoria_completa__pre60__max_alta_120s__pos_range,43,54,0.4088769740391527,0.42091771574530196,0.5,0.5,-0.012040741706149272,-0.029951187845357705,0.0052599037400180544,0.029951187845357705
05_estrutura_eventos_enriquecidos__pre60__spread_pct_15__min,51,65,0.38639190544110524,0.3781870293445276,0.4057971014492754,0.3788819875776397,0.008204876096577662,0.029859559527326246,0.06480546533000464,0.029859559527326246
06_evolucao_score_eventos__pre60__spread_pct_15__min,51,65,0.38639190544110524,0.3781870293445276,0.4057971014492754,0.3788819875776397,0.008204876096577662,0.029859559527326246,0.06480546533000464,0.029859559527326246
estados_c7_dna_fluxo_v5_2__pre60__score_venda_base__first,61,86,41.721311475409834,40.94186046511628,38.0,37.0,0.7794510102935561,0.02984751771246012,-0.011504358331743429,0.02984751771246012
estados_c7_dna_fluxo_v5_2__pre60__amplitude_swings__ret_pct,61,86,0.5554225393987189,-0.8104166770665399,-5.084745762711865,0.0,1.3658392164652589,0.029798791310025795,-0.045801031546993165,0.029798791310025795
05_estrutura_eventos_enriquecidos__pre60__qtd_hard_gates_compra_ok__slope,39,53,0.020873570873570866,0.005758392550845274,0.050000000000000155,3.3830101353039947e-16,0.015115178322725593,0.029713318606503444,0.04717377910761354,0.029713318606503444
06_evolucao_score_eventos__pre60__qtd_hard_gates_compra_ok__slope,39,53,0.020873570873570866,0.005758392550845274,0.050000000000000155,3.3830101353039947e-16,0.015115178322725593,0.029713318606503444,0.04717377910761354,0.029713318606503444
05_estrutura_eventos_enriquecidos__pre60__topo_30s__ret_pct,51,65,-0.003662694812230581,-0.004681751765261148,0.0,0.0,0.0010190569530305672,0.029656114062890104,-0.02954007357378874,0.029656114062890104
06_evolucao_score_eventos__pre60__topo_30s__ret_pct,51,65,-0.003662694812230581,-0.004681751765261148,0.0,0.0,0.0010190569530305672,0.029656114062890104,-0.02954007357378874,0.029656114062890104
estados_c7_dna_fluxo_v5_2__pre60__compra30__std,61,86,47.92667368253238,45.8701851912231,29.94810326028827,28.70665984818953,2.056488491309281,0.029553950077412742,-0.007412342625442926,0.029553950077412742
05_estrutura_eventos_enriquecidos__pre60__topo_30s__delta,51,65,-1.0245098039215685,-1.3076923076923077,0.0,0.0,0.28318250377073917,0.029470300481591417,-0.029519536602358763,0.029470300481591417
06_evolucao_score_eventos__pre60__topo_30s__delta,51,65,-1.0245098039215685,-1.3076923076923077,0.0,0.0,0.28318250377073917,0.029470300481591417,-0.029519536602358763,0.029470300481591417
estados_c7_dna_fluxo_v5_2__pre60__venda30__first,61,86,303.88524590163934,316.1162790697674,159.0,152.5,-12.231033168128079,-0.029470062769320775,0.034084703257808616,0.029470062769320775
05_estrutura_eventos_enriquecidos__pre60__gate_continuidade__last,51,65,0.803921568627451,0.8153846153846154,1.0,1.0,-0.011463046757164363,-0.029240364756631186,-0.013888715471665604,0.029240364756631186
06_evolucao_score_eventos__pre60__gate_continuidade__last,51,65,0.803921568627451,0.8153846153846154,1.0,1.0,-0.011463046757164363,-0.029240364756631186,-0.013888715471665604,0.029240364756631186
bloqueios_c7_dna_fluxo_v5_2__window__n,86,121,2.244186046511628,2.1735537190082646,2.0,1.0,0.07063232750336335,0.029220635499129323,0.012641615793025343,0.029220635499129323
estados_c7_dna_fluxo_v5_2__pre60__hard_gates_venda_ok__true_pct,61,86,7.462919594067135,6.8996862310815805,0.0,0.0,0.5632333629855548,0.029216482289548158,0.027474722745182277,0.029216482289548158
estados_c7_dna_fluxo_v5_2__pre60__ajuste_estrutura_venda__last,61,86,2.5901639344262297,2.813953488372093,4.0,8.0,-0.22378955394586342,-0.029191240381428972,0.009285807368003917,0.029191240381428972
05_estrutura_eventos_enriquecidos__pre60__max_alta_120s__delta,51,65,-259.3137254901961,-232.69230769230768,0.0,-50.0,-26.621417797888398,-0.029080860687805677,-0.007112494485578438,0.029080860687805677
06_evolucao_score_eventos__pre60__max_alta_120s__delta,51,65,-259.3137254901961,-232.69230769230768,0.0,-50.0,-26.621417797888398,-0.029080860687805677,-0.007112494485578438,0.029080860687805677
07_bloqueios_auditoria_completa__pre60__campanha_pullback__last,43,54,0.13953488372093023,0.12962962962962962,0.0,0.0,0.009905254091300608,0.029075422596556825,-0.04414033053953965,0.029075422596556825
06_evolucao_score_eventos__pre60__score_velocidade_5__dist_media,51,65,0.15306535865131926,0.17122230560574583,0.0,0.03864734299516906,-0.018156946954426573,-0.02904036697560112,0.038077316800146116,0.02904036697560112
estados_c7_dna_fluxo_v5_2__pre60__compra10__std,61,86,30.427733828744227,31.557610605647962,22.733235581412515,19.343447273182946,-1.1298767769037354,-0.029039659970740497,0.06867938580575052,0.029039659970740497
bloqueios_c7_dna_fluxo_v5_2__pre60__qtd_hard_gates_ok__first,53,73,4.981132075471698,4.958904109589041,5.0,5.0,0.02222796588265652,0.029029668689437533,-0.009385627157536599,0.029029668689437533
estados_c7_dna_fluxo_v5_2__pre60__continuidade_2s__ret_pct,54,79,-16.251420753054738,-5.706812283135158,0.0,0.0,-10.54460846991958,-0.02900969057297792,0.02495940360665143,0.02900969057297792
estados_c7_dna_fluxo_v5_2__pre60__score_compra_base__last,61,86,43.0655737704918,42.174418604651166,41.0,32.0,0.8911551658406367,0.02899768678558399,0.030632945526832298,0.02899768678558399
estados_c7_dna_fluxo_v5_2__pre60__score_compra__range,61,86,44.63934426229508,43.91860465116279,49.0,45.5,0.720739611132295,0.02887234970638364,0.004362793988641323,0.02887234970638364
estado_mercado_tempo_real__pre60__delta_acumulado__repique_min,86,121,41.43023255813954,39.768595041322314,25.0,20.0,1.6616375168172226,0.02880652323804068,0.022568988897402286,0.02880652323804068
estados_c7_dna_fluxo_v5_2__pre60__saldo10__pos_range,61,86,0.474405717638364,0.4848533963554269,0.5,0.5,-0.010447678717062925,-0.028779150719239463,0.04208006855164713,0.028779150719239463
bloqueios_c7_dna_fluxo_v5_2__pre60__diferenca_score__mean,53,73,60.35723270440253,59.95090335843759,61.0,62.0,0.4063293459649344,0.028657598844525154,-0.03999327076391987,0.028657598844525154
estados_c7_dna_fluxo_v5_2__pre60__score_venda__repique_min,61,86,22.78688524590164,23.546511627906977,14.0,15.0,-0.7596263820053366,-0.02863971901599607,0.016685730439436837,0.02863971901599607
estados_c7_dna_fluxo_v5_2__pre60__continuidade_2s__recuo_max,61,86,-3.25,-3.145348837209302,-2.0,-2.0,-0.10465116279069786,-0.028569315583809825,-0.03165284475330881,0.028569315583809825
