regra_bloqueio,componentes,variaveis,validacao_temporal,score_rank,treino_trades_base,treino_trades_bloqueados,treino_losses_evitados,treino_gains_perdidos,treino_resultado_base,treino_resultado_novo,treino_melhoria_resultado,treino_pf_base,treino_pf_novo,treino_melhoria_pf,treino_dd_base,treino_dd_novo,treino_reducao_dd,treino_expectancia_nova,treino_winrate_novo,teste_trades_base,teste_trades_bloqueados,teste_losses_evitados,teste_gains_perdidos,teste_resultado_base,teste_resultado_novo,teste_melhoria_resultado,teste_pf_base,teste_pf_novo,teste_melhoria_pf,teste_dd_base,teste_dd_novo,teste_reducao_dd,teste_expectancia_nova,teste_winrate_novo,estabilidade_resultado,saldo_eventos_teste,tipo_regra,candidata_conservadora
13a_features_tempo_real__last__pre_15s_spread_medio >= 1.6953489,1,13a_features_tempo_real__last__pre_15s_spread_medio,False,-1552.727272728764,144,72,28,44,-2239.9999999928696,-8639.999999996508,-6400.000000003638,0.9562500000001393,0.7000000000001213,-0.25625000000001796,18159.999999996944,15439.999999997963,2719.9999999989814,-119.9999999999515,50.0,63,2,1,1,9520.000000003347,10080.000000003201,559.9999999998545,1.540909090909281,1.6000000000001906,0.05909090909090953,5439.999999999418,4879.999999999563,559.9999999998545,165.24590163939675,65.57377049180327,-6400.000000003638,0,SIMPLES,False
13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__last >= 1.1716619,1,13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__last,False,-1552.727272728764,144,72,28,44,-2239.9999999928696,-8639.999999996508,-6400.000000003638,0.9562500000001393,0.7000000000001213,-0.25625000000001796,18159.999999996944,15439.999999997963,2719.9999999989814,-119.9999999999515,50.0,63,2,1,1,9520.000000003347,10080.000000003201,559.9999999998545,1.540909090909281,1.6000000000001906,0.05909090909090953,5439.999999999418,4879.999999999563,559.9999999998545,165.24590163939675,65.57377049180327,-6400.000000003638,0,SIMPLES,False
13a_features_tempo_real__pre60__pre_15s_spread_medio__last >= 1.6953489,1,13a_features_tempo_real__pre60__pre_15s_spread_medio__last,False,-1552.727272728764,144,72,28,44,-2239.9999999928696,-8639.999999996508,-6400.000000003638,0.9562500000001393,0.7000000000001213,-0.25625000000001796,18159.999999996944,15439.999999997963,2719.9999999989814,-119.9999999999515,50.0,63,2,1,1,9520.000000003347,10080.000000003201,559.9999999998545,1.540909090909281,1.6000000000001906,0.05909090909090953,5439.999999999418,4879.999999999563,559.9999999998545,165.24590163939675,65.57377049180327,-6400.000000003638,0,SIMPLES,False
13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__first >= 0.69955719,1,13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__first,False,-1556.2566844944054,144,108,49,59,-2239.9999999928696,-239.99999999796273,1999.9999999949068,0.9562500000001393,0.9800000000001697,0.02375000000003047,18159.999999996944,8319.999999999709,9839.999999997235,-6.666666666610076,58.333333333333336,63,13,5,8,9520.000000003347,7760.000000002765,-1760.000000000582,1.540909090909281,1.570588235294321,0.029679144385039935,5439.999999999418,3279.9999999995634,2159.9999999998545,155.2000000000553,66.0,-1760.000000000582,-3,SIMPLES,False
13a_features_tempo_real__pre60__pre_15s_spread_medio__first >= 1.4809286,1,13a_features_tempo_real__pre60__pre_15s_spread_medio__first,False,-1556.2566844944054,144,108,49,59,-2239.9999999928696,-239.99999999796273,1999.9999999949068,0.9562500000001393,0.9800000000001697,0.02375000000003047,18159.999999996944,8319.999999999709,9839.999999997235,-6.666666666610076,58.333333333333336,63,13,5,8,9520.000000003347,7760.000000002765,-1760.000000000582,1.540909090909281,1.570588235294321,0.029679144385039935,5439.999999999418,3279.9999999995634,2159.9999999998545,155.2000000000553,66.0,-1760.000000000582,-3,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__slope >= 0.014793131,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__slope,False,-1583.3939393948983,144,27,14,13,-2239.9999999928696,-879.9999999937427,1359.9999999991269,0.9562500000001393,0.9780000000001564,0.021750000000017145,18159.999999996944,14319.999999997526,3839.999999999418,-7.52136752131404,57.26495726495726,63,11,4,7,9520.000000003347,8160.000000002765,-1360.000000000582,1.540909090909281,1.5666666666668587,0.025757575757577644,5439.999999999418,4079.9999999995634,1359.9999999998545,156.92307692313008,65.38461538461539,-1360.000000000582,-3,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__recuo_max <= -0.5,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__recuo_max,False,-1628.7272727287564,144,53,20,33,-2239.9999999928696,-4719.999999996071,-2480.0000000032014,0.9562500000001393,0.8659090909092025,-0.09034090909093673,18159.999999996944,13279.999999998108,4879.999999998836,-51.86813186808869,51.64835164835166,63,5,2,3,9520.000000003347,9440.000000003056,-80.00000000029104,1.540909090909281,1.590000000000191,0.04909090909090996,5439.999999999418,5679.999999999563,-240.00000000014552,162.75862068970787,65.51724137931035,-2480.0000000032014,-1,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__recuo_max <= -0.59709821,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__recuo_max,False,-1637.818181819272,144,36,14,22,-2239.9999999928696,-3999.999999994907,-1760.0000000020373,0.9562500000001393,0.9000000000001274,-0.0562500000000119,18159.999999996944,13999.999999997817,4159.999999999127,-37.03703703698988,53.70370370370371,63,2,0,2,9520.000000003347,9040.000000003056,-480.00000000029104,1.540909090909281,1.5136363636365373,-0.02727272727274377,5439.999999999418,5679.999999999563,-240.00000000014552,148.1967213115255,63.934426229508205,-1760.0000000020373,-2,SIMPLES,False
13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__dist_media >= 0.22513908,1,13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__dist_media,False,-1644.727272728196,144,36,15,21,-2239.9999999928696,-3919.999999994616,-1680.0000000017462,0.9562500000001393,0.9000000000001374,-0.05625000000000191,18159.999999996944,14319.999999997526,3839.999999999418,-36.296296296246446,54.629629629629626,63,14,7,7,9520.000000003347,8640.000000003056,-880.000000000291,1.540909090909281,1.7200000000002547,0.17909090909097358,5439.999999999418,3279.9999999995634,2159.9999999998545,176.32653061230727,69.38775510204081,-1680.0000000017462,0,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std >= 0.094831223,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std,False,-1670.0606060640548,144,96,38,58,-2239.9999999928696,-6879.999999998108,-4640.000000005239,0.9562500000001393,0.6692307692308602,-0.28701923076927904,18159.999999996944,9919.999999998254,8239.99999999869,-143.33333333329392,45.83333333333333,63,29,13,16,9520.000000003347,10320.000000001892,799.9999999985448,1.540909090909281,2.433333333333596,0.892424242424315,5439.999999999418,2159.9999999998545,3279.9999999995634,303.5294117647615,73.52941176470588,-4640.000000005239,-3,SIMPLES,False
13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__first >= 0.81758242,1,13a_features_tempo_real__pre60__adv_z_pre_15s_spread_medio__first,False,-1696.2566844941507,144,96,44,52,-2239.9999999928696,-639.9999999972351,1599.9999999956344,0.9562500000001393,0.9600000000001728,0.00375000000003356,18159.999999996944,11359.999999999127,6799.999999997817,-13.333333333275732,58.333333333333336,63,13,5,8,9520.000000003347,7760.000000002765,-1760.000000000582,1.540909090909281,1.570588235294321,0.029679144385039935,5439.999999999418,3279.9999999995634,2159.9999999998545,155.2000000000553,66.0,-1760.000000000582,-3,SIMPLES,False
