motor_id,linhas_16a,historias,features_selecionadas,historias_com_vetor,historias_com_eventos
motor_operacional_c7_v3_1,57096,936,6,936,870
motor_c7_dna_fluxo_v5_2,86620,1420,5,1420,1284
