trade_uid,motor_id,lado_norm,rotulo,ajuste_estrutura__mudanca_total_z,ajuste_estrutura__inicio_meio_z,ajuste_estrutura__meio_fim_z,ajuste_estrutura__volatilidade_z,ajuste_estrutura__nivel_final_z,ajuste_estrutura_compra__mudanca_total_z,ajuste_estrutura_compra__inicio_meio_z,ajuste_estrutura_compra__meio_fim_z,ajuste_estrutura_compra__volatilidade_z,ajuste_estrutura_compra__nivel_final_z,ajuste_estrutura_venda__mudanca_total_z,ajuste_estrutura_venda__inicio_meio_z,ajuste_estrutura_venda__meio_fim_z,ajuste_estrutura_venda__volatilidade_z,ajuste_estrutura_venda__nivel_final_z,confirmacoes_candidata__mudanca_total_z,confirmacoes_candidata__inicio_meio_z,confirmacoes_candidata__meio_fim_z,confirmacoes_candidata__volatilidade_z,confirmacoes_candidata__nivel_final_z,campanha_entradas__mudanca_total_z,campanha_entradas__inicio_meio_z,campanha_entradas__meio_fim_z,campanha_entradas__volatilidade_z,campanha_entradas__nivel_final_z,qtd_swings_confirmados__mudanca_total_z,qtd_swings_confirmados__inicio_meio_z,qtd_swings_confirmados__meio_fim_z,qtd_swings_confirmados__volatilidade_z,qtd_swings_confirmados__nivel_final_z
motor_c7_dna_fluxo_v5_2::20260723113948.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,-0.5058680696074465,0.5058680696074465,0.0,0.0,0.0,1.0645812948447542,-1.0645812948447542,0.0,0.0,1.9436506316150999,0.9718253158075499,0.9718253158075499,0.0,1.9436506316150999,1.9436506316150999,0.9718253158075499,0.9718253158075499,0.0,1.9436506316150999,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723114104.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723114336.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,0.6744907594765952,-1.5176042088223392,2.1920949682989344,0.0,0.6744907594765952,0.0,-0.9459053029269172,0.9459053029269172,0.0,0.0,1.414213562373095,-0.7071067811865475,2.1213203435596424,0.0,1.414213562373095,-2.287087499587462,0.0,-2.287087499587462,0.0,-2.287087499587462,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723114427.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.6744907594765952,-1.6862268986914881,2.3607176581680833,0.0,0.6744907594765952,2.0699645801869893,0.0,2.0699645801869893,0.0,2.0699645801869893,-2.0699645801869893,0.0,-2.0699645801869893,0.0,-2.0699645801869893,-2.081665999466133,0.0,-2.081665999466133,0.0,-2.081665999466133,-0.6744907594765952,0.6744907594765952,-1.3489815189531904,0.0,-0.6744907594765952,,,,,
motor_c7_dna_fluxo_v5_2::20260723114840.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,-2.3607176581680833,-1.1803588290840417,-1.1803588290840417,0.0,-0.6744907594765952,0.0,1.143543749793731,-1.143543749793731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3489815189531904,-0.6744907594765952,-0.6744907594765952,0.0,-0.6744907594765952,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723115059.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-3.0352084176446783,-0.3372453797382976,-2.697963037906381,0.0,-2.3607176581680833,0.0,-1.0645812948447542,1.0645812948447542,0.0,0.0,0.0,1.0645812948447542,-1.0645812948447542,0.0,0.0,0.0,1.0645812948447542,-1.0645812948447542,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723115743.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,,,,,,,,,,,1.9436506316150999,0.9718253158075499,0.9718253158075499,0.0,1.9436506316150999,1.3489815189531904,0.3372453797382976,1.011736139214893,0.0,0.6744907594765952,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723115912.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723120015.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,-1.9477613609131248,0.0,-1.9477613609131248,0.0,-1.9477613609131248,0.0,0.0,0.0,0.0,0.0,0.0,-0.42992339227209864,0.42992339227209864,0.0,0.0,1.2489995996796797,0.0,1.2489995996796797,0.0,1.2489995996796797,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723120208.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
motor_c7_dna_fluxo_v5_2::20260723120757.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,0.6744907594765952,-1.1803588290840417,1.8548495885606369,0.0,0.6744907594765952,0.0,0.0,0.0,0.0,0.0,2.287087499587462,0.0,2.287087499587462,0.0,2.287087499587462,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
