setup_id;cluster;lado;cenarios;cenarios_positivos;pct_cenarios_positivos;pior_resultado_pontos;pior_expectancia_pontos;pior_profit_factor;maior_drawdown_pontos;retencao_expectancia_mediana;retencao_pf_mediana;robustez_expanding;robustez_rolling;robustez_stress;sobrevive_choque_extremo
a072c06788b3ae69;0;COMPRA;9;9;1,0;51470,0;269,4764397905759;13,402409638554216;1300,0;0,8512461059190031;1,0;97,75000000000001;99,4;95,50115264797509;True
8b17187e5be4ee61;0;COMPRA;9;9;1,0;50330,0;266,2962962962963;13,127710843373494;1300,0;0,8511342155009451;1,0;97,60000000000001;99,13823977647955;95,49835538752363;True
13a7e5ca445122bc;0;COMPRA;9;9;1,0;50330,0;266,2962962962963;13,127710843373494;1300,0;0,8511342155009451;1,0;97,60000000000001;99,13823977647955;95,49835538752363;True
017c165f3bceb208;3;COMPRA;9;9;1,0;123840,0;311,15577889447235;14,534426229508197;1650,0;0,8495160314579552;1,0;98,60627177700349;98,60627177700349;95,24790078644888;True
69fbab8f6b39551e;3;COMPRA;9;9;1,0;123840,0;311,15577889447235;14,534426229508197;1650,0;0,8495160314579552;1,0;98,60627177700349;98,60627177700349;95,24790078644888;True
81796e577ca1b78e;3;COMPRA;9;9;1,0;127440,0;301,9905213270142;13,680597014925374;1650,0;0,8481577432354634;1,0;98,9854539960619;98,19711735845755;95,21394358088658;True
a61778273782bd3a;3;COMPRA;9;9;1,0;127440,0;301,9905213270142;13,680597014925374;1650,0;0,8481577432354634;1,0;98,9854539960619;98,19711735845755;95,21394358088658;True
0bdd2b38a7042f53;3;COMPRA;9;9;1,0;114180,0;303,67021276595744;15,362264150943396;1650,0;0,8464052287581699;1,0;97,68817635270541;97,16363636363637;95,17013071895425;True
5e29102f0d1c9d18;3;COMPRA;9;9;1,0;114180,0;303,67021276595744;15,362264150943396;1650,0;0,8464052287581699;1,0;97,68817635270541;97,16363636363637;95,17013071895425;True
554c6eb14743a614;3;COMPRA;9;9;1,0;114180,0;303,67021276595744;15,362264150943396;1650,0;0,8464052287581699;1,0;97,68817635270541;97,16363636363637;95,17013071895425;True
d4cbe92a5894e821;3;COMPRA;9;9;1,0;114180,0;303,67021276595744;15,362264150943396;1650,0;0,8464052287581699;1,0;97,68817635270541;97,16363636363637;95,17013071895425;True
dc5d98f8dcac9858;3;COMPRA;9;9;1,0;114120,0;301,9047619047619;15,088888888888889;1650,0;0,8458904109589042;1,0;97,7472;97,23174603174604;95,15726027397261;True
a9acad8f0f0cb20e;3;COMPRA;9;9;1,0;114120,0;301,9047619047619;15,088888888888889;1650,0;0,8458904109589042;1,0;97,7472;97,23174603174604;95,15726027397261;True
6b665397ef4b6488;3;COMPRA;9;9;1,0;114120,0;301,9047619047619;15,088888888888889;1650,0;0,8458904109589042;1,0;97,7472;97,23174603174604;95,15726027397261;True
08bfd12a23cbd642;3;COMPRA;9;9;1,0;114120,0;301,9047619047619;15,088888888888889;1650,0;0,8458904109589042;1,0;97,7472;97,23174603174604;95,15726027397261;True
ea2dbebe3ab5a420;3;COMPRA;9;9;1,0;114120,0;301,9047619047619;15,088888888888889;1650,0;0,8458904109589042;1,0;97,7472;97,23174603174604;95,15726027397261;True
dced763a63e15ab5;3;COMPRA;9;9;1,0;114120,0;301,9047619047619;15,088888888888889;1650,0;0,8458904109589042;1,0;97,7472;97,23174603174604;95,15726027397261;True
8df4f5700869b7eb;3;COMPRA;9;9;1,0;114120,0;301,9047619047619;15,088888888888889;1650,0;0,8458904109589042;1,0;97,7472;97,23174603174604;95,15726027397261;True
a437c8c0c286f20e;3;COMPRA;9;9;1,0;114120,0;301,9047619047619;15,088888888888889;1650,0;0,8458904109589042;1,0;97,7472;97,23174603174604;95,15726027397261;True
6f4abfe44474efe3;3;COMPRA;9;9;1,0;114300,0;300,7894736842105;15,11111111111111;1650,0;0,8453776041666666;1,0;97,60479041916167;97,10407239819006;95,14444010416666;True
11f593798e0bf052;3;COMPRA;9;9;1,0;114300,0;300,7894736842105;15,11111111111111;1650,0;0,8453776041666666;1,0;97,60479041916167;97,10407239819006;95,14444010416666;True
7c4595ad113bba8e;3;COMPRA;9;9;1,0;114300,0;300,7894736842105;15,11111111111111;1650,0;0,8453776041666666;1,0;97,60479041916167;97,10407239819006;95,14444010416666;True
dabab9cb69f76444;3;COMPRA;9;9;1,0;114300,0;300,7894736842105;15,11111111111111;1650,0;0,8453776041666666;1,0;97,60479041916167;97,10407239819006;95,14444010416666;True
