setup_id;data_operacao;trades;resultado_pontos;gains;losses
d16956b471e56f2c;2026-07-27;3;3600,0;3;0
d16956b471e56f2c;2026-07-28;87;7680,000000004657;54;33
d16956b471e56f2c;2026-07-29;401;-1599,9999999810825;222;179
d16956b471e56f2c;2026-07-30;344;14800,00000001819;205;139
