setup_id;cluster;lado;folds;folds_positivos;pct_folds_positivos;trades_validacao;resultado_validacao_pontos;expectancia_media;expectancia_mediana;pf_medio;pf_mediano;drawdown_medio;drawdown_maximo;pior_fold_pontos;melhor_fold_pontos;degradacao_expectancia_mediana;degradacao_pf_mediana;robustez_expanding
0bdd2b38a7042f53;3;COMPRA;3;3;1,0;189;125040,0;668,3989974937343;566,4;999,0;999,0;0,0;0,0;28320,0;61200,0;0,8844088176352706;1,0;97,68817635270541
d4cbe92a5894e821;3;COMPRA;3;3;1,0;189;125040,0;668,3989974937343;566,4;999,0;999,0;0,0;0,0;28320,0;61200,0;0,8844088176352706;1,0;97,68817635270541
554c6eb14743a614;3;COMPRA;3;3;1,0;189;125040,0;668,3989974937343;566,4;999,0;999,0;0,0;0,0;28320,0;61200,0;0,8844088176352706;1,0;97,68817635270541
5e29102f0d1c9d18;3;COMPRA;3;3;1,0;189;125040,0;668,3989974937343;566,4;999,0;999,0;0,0;0,0;28320,0;61200,0;0,8844088176352706;1,0;97,68817635270541
dabab9cb69f76444;3;COMPRA;3;3;1,0;191;125520,0;665,2813852813853;560,0;999,0;999,0;0,0;0,0;28560,0;61200,0;0,8802395209580839;1,0;97,60479041916167
7c4595ad113bba8e;3;COMPRA;3;3;1,0;191;125520,0;665,2813852813853;560,0;999,0;999,0;0,0;0,0;28560,0;61200,0;0,8802395209580839;1,0;97,60479041916167
6f4abfe44474efe3;3;COMPRA;3;3;1,0;191;125520,0;665,2813852813853;560,0;999,0;999,0;0,0;0,0;28560,0;61200,0;0,8802395209580839;1,0;97,60479041916167
11f593798e0bf052;3;COMPRA;3;3;1,0;191;125520,0;665,2813852813853;560,0;999,0;999,0;0,0;0,0;28560,0;61200,0;0,8802395209580839;1,0;97,60479041916167
7614470bfb48438d;0;COMPRA;4;4;1,0;84;57600,0;679,2156862745098;691,7647058823529;999,0;999,0;0,0;0,0;11040,0;23040,0;1,0196545419553502;1,0;97,60000000000001
13a7e5ca445122bc;0;COMPRA;4;4;1,0;84;56640,0;674,6616065781151;682,6565464895635;999,0;999,0;0,0;0,0;11040,0;20880,0;1,0142476896076058;1,0;97,60000000000001
8b17187e5be4ee61;0;COMPRA;4;4;1,0;84;56640,0;674,6616065781151;682,6565464895635;999,0;999,0;0,0;0,0;11040,0;20880,0;1,0142476896076058;1,0;97,60000000000001
f4174e9499c0f75b;0;COMPRA;4;4;1,0;84;57600,0;679,2156862745098;691,7647058823529;999,0;999,0;0,0;0,0;11040,0;23040,0;1,0196545419553502;1,0;97,60000000000001
89eabba05f453587;0;COMPRA;4;4;1,0;100;64320,0;615,2;630,4;999,0;999,0;0,0;0,0;7680,0;27360,0;0,8677872994946165;1,0;97,35574598989234
9e0c01f69cddaca8;0;COMPRA;4;4;1,0;100;64320,0;615,2;630,4;999,0;999,0;0,0;0,0;7680,0;27360,0;0,8677872994946165;1,0;97,35574598989234
86f06eba5873524f;4;VENDA;4;4;1,0;88;55200,0;634,5238095238095;633,3333333333333;999,0;999,0;0,0;0,0;8000,0;16800,0;0,9484110248331639;1,0;97,16822049666328
7bbca84cb5a7efbd;4;VENDA;4;4;1,0;88;55200,0;634,5238095238095;633,3333333333333;999,0;999,0;0,0;0,0;8000,0;16800,0;0,9484110248331639;1,0;97,16822049666328
1ab7a9a20710fcad;0;COMPRA;4;4;1,0;81;57800,0;701,421568627451;733,8235294117646;999,0;999,0;0,0;0,0;8600,0;24000,0;1,0808228786413436;1,0;97,15000000000002
5dc4ed274e9e9879;4;COMPRA;4;4;1,0;81;57840,0;675,0526315789474;642,1052631578948;999,0;999,0;0,0;0,0;6240,0;31680,0;1,01464807436919;1,0;97,15000000000002
d50673563299affd;0;COMPRA;4;4;1,0;81;57800,0;701,421568627451;733,8235294117646;999,0;999,0;0,0;0,0;8600,0;24000,0;1,0808228786413436;1,0;97,15000000000002
665b3e5a69f7fee6;4;COMPRA;4;4;1,0;81;57840,0;675,0526315789474;642,1052631578948;999,0;999,0;0,0;0,0;6240,0;31680,0;1,01464807436919;1,0;97,15000000000002
6531110b1bb288c2;4;COMPRA;4;4;1,0;81;58800,0;695,2380952380952;720,0;999,0;999,0;0,0;0,0;7200,0;27600,0;1,1620712678355054;1,0;97,15000000000002
7c58c3dcb1735536;4;COMPRA;4;4;1,0;79;57360,0;692,3809523809524;714,2857142857142;999,0;999,0;0,0;0,0;7200,0;27600,0;1,1305741360089185;1,0;96,85000000000001
7501b0daa1e5d99e;4;COMPRA;4;4;1,0;79;50640,0;653,6538461538462;700,7142857142858;999,0;999,0;0,0;0,0;4560,0;24000,0;1,046153910372003;1,0;96,85000000000001
43309bf3e18b5816;4;COMPRA;4;4;1,0;79;57360,0;692,3809523809524;714,2857142857142;999,0;999,0;0,0;0,0;7200,0;27600,0;1,1305741360089185;1,0;96,85000000000001
f808842b4ffb5b90;4;COMPRA;4;4;1,0;79;57360,0;700,1249730661496;729,7737556561086;999,0;999,0;0,0;0,0;7200,0;26400,0;1,1889467855535467;1,0;96,85000000000001
1d65214d2b00e1a4;4;COMPRA;4;4;1,0;79;57360,0;700,1249730661496;729,7737556561086;999,0;999,0;0,0;0,0;7200,0;26400,0;1,1889467855535467;1,0;96,85000000000001
