cluster;ordem;feature;z_diferenca_cluster;direcao;media_cluster;media_geral
3;14;adv_z_pre_120s_imbalance_minimo;0,1769396883081093;ACIMA_DA_MEDIA;0,17691123602181183;1,2092120180998617e-05
3;15;pre_120s_imbalance_minimo;0,17693968830810902;ACIMA_DA_MEDIA;0,524517495780792;0,4957072383540182
4;1;adv_delta_spread_minimo_60s_120s;2,325020759237719;ACIMA_DA_MEDIA;0,3906411291013171;0,06861680389804638
4;2;adv_delta_spread_minimo_30s_120s;1,6394167414992515;ACIMA_DA_MEDIA;0,45972656585041655;0,1373197098979173
4;3;pre_60s_spread_minimo;0,694055484614334;ACIMA_DA_MEDIA;0,9574254611250522;0,7643047854117321
4;4;adv_z_pre_60s_spread_minimo;0,6940554846143339;ACIMA_DA_MEDIA;0,6938294669686593;-5,396164480372339e-05
4;5;pre_30s_spread_minimo;0,6206293338330876;ACIMA_DA_MEDIA;1,026514450342918;0,8329630163552224
4;6;adv_z_pre_30s_spread_minimo;0,6206293338330872;ACIMA_DA_MEDIA;0,620332249079892;-0,00012269052596091537
4;7;pre_120s_compressao_spread;-0,5668371048896528;ABAIXO_DA_MEDIA;-0,11065388784491324;-0,006367640268609789
4;8;adv_z_pre_120s_compressao_spread;-0,5668371048896528;ABAIXO_DA_MEDIA;-0,5663862532261768;4,9120929071749456e-05
4;9;pre_15s_spread_minimo;0,5378319644156396;ACIMA_DA_MEDIA;1,090397166991207;0,9026299739089271
4;10;adv_z_pre_15s_spread_minimo;0,5378319644156395;ACIMA_DA_MEDIA;0,5372425517606482;-0,00025615968550632786
4;11;pre_120s_spread_minimo;-0,5185546866819045;ABAIXO_DA_MEDIA;0,566784332023735;0,6956902056067333
4;12;adv_z_pre_120s_spread_minimo;-0,5185546866819045;ABAIXO_DA_MEDIA;-0,5184909523505936;-5,355019703632406e-05
4;13;adv_delta_compressao_spread_60s_120s;0,5127797964101223;ACIMA_DA_MEDIA;0,11168868345908262;0,0028706466408792604
4;14;adv_z_pre_15s_spread_medio;0,4852538629086594;ACIMA_DA_MEDIA;0,4847140160847534;-0,00023743481762510392
4;15;pre_15s_spread_medio;0,4852538629086589;ACIMA_DA_MEDIA;1,3833512343635077;1,1630962371963403
5;1;adv_delta_spread_minimo_30s_60s;3,0368894575217547;ACIMA_DA_MEDIA;0,49029793631777796;0,0686702342222683
5;2;adv_delta_spread_minimo_15s_60s;2,2312299240203286;ACIMA_DA_MEDIA;0,5863203362383673;0,13845407585069064
5;3;adv_delta_spread_minimo_30s_120s;1,9186320507797596;ACIMA_DA_MEDIA;0,5146369054365604;0,1373197098979173
5;4;adv_z_pre_60s_compressao_spread;-0,8618853556804233;ABAIXO_DA_MEDIA;-0,8611701728360354;3,598672558066975e-05
5;5;pre_60s_compressao_spread;-0,8618853556804231;ABAIXO_DA_MEDIA;-0,16073313625166502;-0,0034808746494622016
5;6;pre_30s_spread_minimo;0,7992833016461719;ACIMA_DA_MEDIA;1,0822300438103607;0,8329630163552224
5;7;adv_z_pre_30s_spread_minimo;0,7992833016461717;ACIMA_DA_MEDIA;0,7989360158809383;-0,00012269052596091537
5;8;pre_15s_spread_minimo;0,7895857899812148;ACIMA_DA_MEDIA;1,1782891338168204;0,9026299739089271
