data_operacao;trades;gains;losses;zeros;resultado_pontos;media_trade_pontos;mediana_trade_pontos;winrate_pct;profit_factor;max_drawdown_pontos;maior_gain_pontos;maior_loss_pontos;mfe_medio_pontos;mae_medio_pontos;duracao_media_segundos;payoff_medio;periodo_inicio;periodo_fim;dias_operados
2026-07-27;3;3;0;0;3600,0;1200,0;1200,0;100,0;999,0;0,0;1200,0;1200,0;1283,3333333333333;250,0;17,333333333333332;999,0;2026-07-27T22:00:49;2026-07-27T22:04:59;1
2026-07-28;87;54;33;0;7680,000000004657;88,27586206901904;240,00000000014552;62,06896551724138;1,2909090909092673;6719,999999998981;1200,0;-800,0;689,3678160919541;516,6666666666666;32,85057471264368;0,7888888888889967;2026-07-28T09:54:20;2026-07-28T23:52:12;1
2026-07-29;219;120;99;0;-11999,999999988358;-54,79452054789205;240,00000000014552;54,794520547945204;0,8484848484849955;18159,999999996944;1200,0;-800,0;588,013698630137;571,5753424657535;52,054794520547944;0,7000000000001212;2026-07-29T00:04:04;2026-07-29T14:41:14;1
