feature;missing_rate;eta_quadrado;mutual_information;kruskal_h;spearman_abs;score_multiclasse
pre_120s_inclinacao_close_pontos_s;0,0014186429748513291;9,88818685741375e-05;0,005693800438824725;0,4356576993612257;0,0008779811538661414;0,33623859166078124
pre_120s_spread_maximo;0,0004585512645984094;0,001013820013033353;0,0014098381624312317;0,5596977629721749;0,0028009312769564634;0,33479850100819863
pre_30s_retorno_preco;0,000587518807766712;5,932037479665152e-05;0,005364670525684012;3,3884028990755857;0,006431675009261064;0,33300633834532595
pre_120s_delta_total;0,0004585512645984094;4,624500066257294e-05;0,005481848777016962;3,9784914066202095;0,007502153029635729;0,3325663581510558
pre_60s_inclinacao_imbalance;0,0015762699720570322;4,819592509265687e-05;0,004633839193220135;6,491138532814209;0,008812556708025452;0,3287902341204448
pre_15s_bid_size_medio_media;0,0012896754316830265;0,00022196123776580784;0,0013855382134273508;17,38639425145333;0,01573515737324507;0,32791170670460634
pre_30s_range_pontos;0,000587518807766712;3,58991415660524e-05;0,0023936903461896364;59,67905599190107;0,02171321919718464;0,32437538596437354
pre_15s_retorno_pontos;0,0012896754316830265;9,645235168979174e-05;0,0033662119928465906;5,816458841723147;0,008574345381841753;0,32419146860936826
pre_30s_imbalance_livro_calculado;0,000587518807766712;0,00018121564332876182;0,0020582664608541634;8,336070198614856;0,010848803634758814;0,3213991954881831
pre_30s_imbalance_medio;0,000587518807766712;0,00021969877869176867;0,0003805919196759877;18,292721697666238;0,016146981336614;0,31217300501199263
pre_15s_ask_size_medio_media;0,0012896754316830265;0,00023933284717318586;0,0010135018677976948;7,33816822592487;0,009898961787463124;0,307078373371273
pre_15s_inclinacao_delta;0,005316328723937809;5,085022885466883e-05;0,002743959437732535;9,602655372515054;0,010390457624425468;0,2919960883257079
pre_60s_ask_size_medio_media;0,0005015404456545102;0,00018933702848455665;0,0;19,370110657997;0,016408565239578315;0,2907487325015268
pre_120s_ask_size_medio_media;0,0004585512645984094;0,0001679361431216017;0,0;23,602707282368847;0,018374306301124178;0,2904532629129606
pre_30s_retorno_pontos;0,000587518807766712;5,9320374796651534e-05;0,0031185847307642067;3,3884028990755857;0,006431675009261064;0,2725896716786593
pre_30s_delta_total;0,000587518807766712;4,0600311961825266e-05;0,00325306570382744;4,5622324242036845;0,007947794874795982;0,2721432431072307
pre_15s_ratio_agressor_compra;0,0013469943397578276;0,000160389554930502;9,281132220095856e-05;9,666839508565852;0,008827490271787457;0,26451598361634543
pre_15s_retorno_preco;0,0012896754316830265;9,645235168979174e-05;0,001850508535860662;5,816458841723147;0,008574345381841753;0,2616914686093682
pre_60s_imbalance_livro_calculado;0,0005015404456545102;7,72572754023915e-05;0,002633794545632284;2,660804848046875;0,006085692287007203;0,2594987325015268
pre_15s_saldo_agressor;0,0012896754316830265;8,092103031297265e-05;5,926501825781472e-05;9,991553440727191;0,011491149993602573;0,24562004003793966
pre_30s_inclinacao_imbalance;0,0018771942394497385;2,5469439768508477e-05;0,0035256883623957513;1,8277558350802514;0,005120744788844586;0,24544185457374182
pre_120s_inclinacao_imbalance;0,0014186429748513291;3,4058007565596947e-06;0,005106402763783047;0,3947324768742099;0,0012896909569399143;0,2392147821369717
pre_15s_delta_total;0,0012896754316830265;8,092103031297265e-05;0,0;9,991553440727191;0,011491149993602573;0,23490575432365396
pre_60s_inclinacao_close_preco_s;0,0015762699720570322;8,68570628471223e-06;0,004777996447839605;0,3731326210487052;0,001738604447105336;0,23355213888234955
pre_120s_saldo_agressor;0,0004585512645984094;4,624500066257294e-05;0,0022102171124238623;3,9784914066202095;0,007502153029635729;0,23078064386534147
pre_60s_inclinacao_delta;0,0015762699720570322;1,2457974454789424e-05;0,0036813389136496344;0,9391977928816759;0,0029061693451620163;0,2216473769775876
pre_60s_inclinacao_close_pontos_s;0,0015762699720570322;8,685706284712214e-06;0,004593832675333642;0,3731326210487052;0,001738604447105336;0,2207545198347305
pre_15s_imbalance_medio;0,0012896754316830265;6,987108707285691e-05;0,0;8,365626558056327;0,010955973435443259;0,2160069447998444
pre_120s_imbalance_livro_calculado;0,0004585512645984094;9,299270882358234e-05;0,000324728739491853;4,105995795267208;0,0074122997502559474;0,21188183434153196
pre_15s_imbalance_livro_calculado;0,0012896754316830265;7,678899633775547e-05;0,0;4,753836935703607;0,008244911323627991;0,19428075432365396
pre_60s_ratio_agressor_compra;0,0005015404456545102;3,152930423697037e-05;0,0022328784553509173;0,8785150085013224;0,00349860660050343;0,18985587535866963
pre_30s_inclinacao_delta;0,0018771942394497385;2,4511773404643364e-05;0,0018620700860640937;3,139589991404182;0,006547501816365093;0,18413233076421798
pre_15s_inclinacao_imbalance;0,005316328723937809;3,466233822466487e-05;0,0020726211023209817;0,7938117859823821;0,0032259846702375247;0,1827698978495174
pre_30s_ratio_agressor_compra;0,0006018485347854123;2,4571555028533627e-05;0,0020958890090359006;1,3648699570773635;0,0042011013161812535;0,18151752662087975
pre_60s_aceleracao_delta;0,0015762699720570322;2,7610857531602574e-06;0,0022960529203195357;1,741726608348794;0,004896160946313818;0,17105213888234955
pre_30s_aceleracao_delta;0,0018771942394497385;4,137082333024396e-05;0,0008502949721622688;1,3956734379002662;0,004442204557569837;0,16835852124040845
pre_60s_delta_total;0,0005015404456545102;3,094744306756074e-05;0,0019533524045070028;0,744378457800765;0,0030015165646695946;0,16798087535866965
pre_30s_saldo_agressor;0,000587518807766712;4,0600311961825266e-05;0,0;4,5622324242036845;0,007947794874795982;0,16500038596437355
pre_60s_retorno_pontos;0,0005015404456545102;6,31585747021638e-06;0,0030183103654926047;0,205684380705865;8,774406125732397e-05;0,16307016107295536
pre_120s_ratio_agressor_compra;0,0004585512645984094;5,5349093504907025e-05;0,0;2,4888468980946987;0,0055843083487848045;0,16217945338915102
pre_120s_retorno_preco;0,0004585512645984094;1,727781408438308e-05;0,001969341278623915;0,38604465975411;0,0023008293795465937;0,1487865962462939
pre_120s_inclinacao_delta;0,0014186429748513291;1,7431742406412957e-05;0,0006902772951558056;1,4510280316128434;0,0037163214384978325;0,13921478213697172
pre_60s_saldo_agressor;0,0005015404456545102;3,094744306756074e-05;0,0004704407600155669;0,744378457800765;0,0030015165646695946;0,1358380182158125
pre_15s_aceleracao_delta;0,005316328723937809;2,0141232474809996e-06;0,001401561946907437;1,1075446314485267;0,003767178762902184;0,1294960883257079
pre_60s_retorno_preco;0,0005015404456545102;6,315857470216381e-06;0,0016542282063094493;0,205684380705865;8,774406125732397e-05;0,11872492297771726
pre_120s_retorno_pontos;0,0004585512645984094;1,7277814084383076e-05;0,0;0,38604465975411;0,0023008293795465937;0,093131834341532
pre_120s_aceleracao_delta;0,0014186429748513291;1,4832431919489496e-06;0,0;0,020583418734267923;6,336259082432093e-05;0,06272668689887649
