cluster;candidatos;score_medio;melhor_score;lift_medio;melhor_lift;taxa_explosao_media;estabilidade_media;ativacoes_totais;explosoes_totais
0;120;55,92109988312533;63,57988250063698;2,7615033358725753;3,302282085281597;0,05209525389578227;0,5923504063025153;93608;4870
3;120;56,05351202659605;59,10967403764311;2,9672582950711246;3,417294358066719;0,05254809631125136;0,48890138351430246;223326;11915
4;120;52,69952766614869;58,95860897635754;1,976725111171759;2,926633165829146;0,05746632443060113;0,5827822222723331;36275;2100
5;60;76,66933968988552;84,52492325501375;5,326442329696771;7,83630221130221;0,23172059517787247;0,5653628464399799;4841;1056
6;82;60,246572981991335;71,90167479664788;7,634462638643922;12,665625;0,2122477560001318;0,25229855249682753;4498;916
