cluster;setups;aprovados;score_medio;melhor_score;robustez_expanding_media;robustez_rolling_media;robustez_stress_media
0;40;40;97,8130440172699;98,5803987564297;96,26213950813897;99,03466011671557;95,75086773494917
3;33;33;98,49541670039947;99,40695454545454;98,73736117071513;98,44035095673323;95,51501700977246
4;27;27;98,32620005963119;99,33489706390328;97,85504283598512;98,69108795433114;96,02775385635748
