lado;setups;clusters;score_medio;melhor_score;profit_factor_medio;expectativa_media_pontos;resultado_total_pontos;drawdown_medio_pontos;pct_meses_positivos_medio
COMPRA;60;3;85,0;85,0;999,0;668,9290347368751;9855040,0;0,0;1,0
VENDA;40;3;85,0;85,0;999,0;657,8194708451957;6087640,0;0,0;1,0
