lado;candidatos;clusters;score_medio;melhor_score;lift_medio;melhor_lift;taxa_explosao_media;ativacoes_totais;explosoes_totais
COMPRA;300;5;60,771994888924276;84,52492325501375;4,371526707576022;12,665625;0,13371089674715356;195789;13577
VENDA;202;4;54,800384397740345;60,699151413612206;2,766400361047803;8,52919254658385;0,05271011700521413;166759;7280
