lado;setups;aprovados;score_medio;melhor_score;robustez_expanding_media;robustez_rolling_media;robustez_stress_media
COMPRA;60;60;98,15357941205443;99,1074412451362;97,8127470499118;98,32406746237083;95,58734052661731
VENDA;40;40;98,21157871726888;99,40695454545454;97,05349581340121;99,37833283163775;95,98847983112678
