setup_id;cluster;lado;folds;folds_positivos;pct_folds_positivos;trades_validacao;resultado_validacao_pontos;expectancia_media;expectancia_mediana;pf_medio;pf_mediano;drawdown_medio;drawdown_maximo;pior_fold_pontos;melhor_fold_pontos;degradacao_expectancia_mediana;degradacao_pf_mediana;robustez_rolling
a45dadc9e1e48346;0;VENDA;4;4;1,0;101;66480,0;632,1853281853282;656,3706563706563;999,0;999,0;0,0;0,0;7200,0;26160,0;0,9585351541071097;1,0;99,1707030821422
943ed761500dcdd8;0;VENDA;4;4;1,0;101;66480,0;632,1853281853282;656,3706563706563;999,0;999,0;0,0;0,0;7200,0;26160,0;0,9585351541071097;1,0;99,1707030821422
13a7e5ca445122bc;0;COMPRA;5;5;1,0;95;61200,0;622,638376171583;673,5483870967741;999,0;999,0;0,0;0,0;4560,0;20880,0;0,9944119888239775;1,0;99,13823977647955
8b17187e5be4ee61;0;COMPRA;5;5;1,0;95;61200,0;622,638376171583;673,5483870967741;999,0;999,0;0,0;0,0;4560,0;20880,0;0,9944119888239775;1,0;99,13823977647955
5dc4ed274e9e9879;4;COMPRA;5;5;1,0;99;68880,0;662,7087719298246;640,0;999,0;999,0;0,0;0,0;6240,0;31680,0;0,9624819624819625;1,0;99,09963924963925
665b3e5a69f7fee6;4;COMPRA;5;5;1,0;99;68880,0;662,7087719298246;640,0;999,0;999,0;0,0;0,0;6240,0;31680,0;0,9624819624819625;1,0;99,09963924963925
86f06eba5873524f;4;VENDA;5;5;1,0;105;66600,0;641,7366946778711;666,6666666666666;999,0;999,0;0,0;0,0;8000,0;16800,0;0,9523809523809523;1,0;99,04761904761905
7bbca84cb5a7efbd;4;VENDA;5;5;1,0;105;66600,0;641,7366946778711;666,6666666666666;999,0;999,0;0,0;0,0;8000,0;16800,0;0,9523809523809523;1,0;99,04761904761905
289e148ca842543b;0;VENDA;4;4;1,0;109;69360,0;612,9537779293877;636,9844789356985;999,0;999,0;0,0;0,0;7680,0;28080,0;0,9485387733724764;1,0;98,97077546744953
69eef64f340bf6a5;0;VENDA;4;4;1,0;109;69360,0;612,9537779293877;636,9844789356985;999,0;999,0;0,0;0,0;7680,0;28080,0;0,9485387733724764;1,0;98,97077546744953
