scenario_id;tp_mt5;sl_mt5;risk_reward;protecao_ativa;protecao_gatilho_pct_tp;protecao_trava_mt5;timeout_minutos;atraso_barras;entrada_preco;mesma_barra_tp_sl;all_trades;all_wins;all_losses;all_zeros;all_win_rate_pct;all_net_mt5_points;all_average_mt5_points;all_median_mt5_points;all_gross_profit;all_gross_loss;all_profit_factor;all_max_drawdown;all_mfe_average;all_mae_average;all_duration_average_seconds;all_tp_count;all_sl_count;all_protected_count;all_timeout_count;train_trades;train_wins;train_losses;train_zeros;train_win_rate_pct;train_net_mt5_points;train_average_mt5_points;train_median_mt5_points;train_gross_profit;train_gross_loss;train_profit_factor;train_max_drawdown;train_mfe_average;train_mae_average;train_duration_average_seconds;train_tp_count;train_sl_count;train_protected_count;train_timeout_count;val_trades;val_wins;val_losses;val_zeros;val_win_rate_pct;val_net_mt5_points;val_average_mt5_points;val_median_mt5_points;val_gross_profit;val_gross_loss;val_profit_factor;val_max_drawdown;val_mfe_average;val_mae_average;val_duration_average_seconds;val_tp_count;val_sl_count;val_protected_count;val_timeout_count;score_triagem;rank_triagem
226;2500,0;2000,0;1,25;False;0,0;0,0;60;1;close;pior_caso;307;133;174;0;43,32247557003257;-16350,0;-53,25732899022801;-2000,0;324950,0;341300,0;0,9520949311456197;-66900,0;1797,0684039087948;-1957,6547231270358;698,5016286644951;128;169;0;10;214;89;125;0;41,58878504672897;-31550,0;-147,42990654205607;-2000,0;215275,0;246825,0;0,8721766433708092;-66900,0;1804,088785046729;-2028,271028037383;624,1121495327103;85;122;0;7;93;44;49;0;47,31182795698925;15200,0;163,44086021505376;-2000,0;109675,0;94475,0;1,1608891241069066;-19300,0;1780,9139784946237;-1795,1612903225807;869,6774193548387;43;47;0;3;63,42431275546164;57
238;2500,0;2500,0;1,0;False;0,0;0,0;60;1;close;pior_caso;307;149;158;0;48,534201954397396;-16550,0;-53,90879478827362;-750,0;364950,0;381500,0;0,9566186107470511;-66900,0;1983,469055374593;-2142,42671009772;798,7622149837133;144;149;0;14;214;101;113;0;47,19626168224299;-30725,0;-143,57476635514018;-2500,0;245275,0;276000,0;0,8886775362318841;-66900,0;2005,1401869158879;-2232,126168224299;722,5233644859813;97;109;0;8;93;48;45;0;51,61290322580645;14175,0;152,41935483870967;2500,0;119675,0;105500,0;1,1343601895734596;-20450,0;1933,6021505376343;-1936,021505376344;974,1935483870968;47;40;0;6;63,33967790828075;58
203;2500,0;1200,0;2,0833333333333335;False;0,0;0,0;120;1;close;pior_caso;307;97;210;0;31,596091205211724;-9500,0;-30,944625407166125;-1200,0;242500,0;252000,0;0,9623015873015873;-38300,0;1509,5276872964168;-1521,742671009772;557,3941368078176;97;210;0;0;214;64;150;0;29,906542056074763;-20000,0;-93,45794392523365;-1200,0;160000,0;180000,0;0,8888888888888888;-38300,0;1522,7803738317757;-1571,96261682243;473,8317757009346;64;150;0;0;93;33;60;0;35,483870967741936;10500,0;112,90322580645162;-1200,0;82500,0;72000,0;1,1458333333333333;-14900,0;1479,032258064516;-1406,1827956989248;749,6774193548387;33;60;0;0;63,309529041940095;59
204;2500,0;1200,0;2,0833333333333335;False;0,0;0,0;180;1;close;pior_caso;307;97;210;0;31,596091205211724;-9500,0;-30,944625407166125;-1200,0;242500,0;252000,0;0,9623015873015873;-38300,0;1509,5276872964168;-1521,742671009772;557,3941368078176;97;210;0;0;214;64;150;0;29,906542056074763;-20000,0;-93,45794392523365;-1200,0;160000,0;180000,0;0,8888888888888888;-38300,0;1522,7803738317757;-1571,96261682243;473,8317757009346;64;150;0;0;93;33;60;0;35,483870967741936;10500,0;112,90322580645162;-1200,0;82500,0;72000,0;1,1458333333333333;-14900,0;1479,032258064516;-1406,1827956989248;749,6774193548387;33;60;0;0;63,309529041940095;60
286;3000,0;2000,0;1,5;False;0,0;0,0;60;1;close;pior_caso;307;118;189;0;38,43648208469055;-27850,0;-90,71661237785017;-2000,0;343450,0;371300,0;0,9249932669000808;-73400,0;1934,8534201954396;-2106,840390879479;777,4592833876221;112;184;0;11;214;78;136;0;36,44859813084112;-44550,0;-208,17757009345794;-2000,0;224275,0;268825,0;0,8342788059146284;-73400,0;1945,443925233645;-2199,299065420561;708,5046728971963;73;133;0;8;93;40;53;0;43,01075268817204;16700,0;179,56989247311827;-2000,0;119175,0;102475,0;1,1629665772139546;-18300,0;1910,483870967742;-1894,0860215053763;936,1290322580645;39;51;0;3;63,30245903832863;61
250;3000,0;800,0;3,75;False;0,0;0,0;60;1;close;pior_caso;307;61;246;0;19,86970684039088;-17450,0;-56,840390879478825;-800,0;178225,0;195675,0;0,9108215152676632;-46575,0;1318,9739413680782;-1369,8697068403908;415,8957654723127;58;244;0;5;214;38;176;0;17,75700934579439;-31575,0;-147,5467289719626;-800,0;109225,0;140800,0;0,7757457386363636;-46575,0;1311,0981308411215;-1424,6495327102805;361,9626168224299;35;176;0;3;93;23;70;0;24,731182795698924;14125,0;151,88172043010752;-800,0;69000,0;54875,0;1,2574031890660593;-9475,0;1337,0967741935483;-1243,8172043010752;540,0;23;68;0;2;63,24161059757096;62
279;3000,0;2000,0;1,5;True;0,7;0,0;60;1;close;pior_caso;307;104;167;36;33,876221498371336;-23825,0;-77,60586319218241;-2000,0;303475,0;327300,0;0,927207454934311;-59400,0;1894,8697068403908;-1952,9315960912052;721,5635179153095;99;162;36;10;214;67;118;29;31,308411214953267;-39525,0;-184,69626168224298;-2000,0;193300,0;232825,0;0,8302373026951573;-59400,0;1901,6355140186915;-2007,8271028037384;643,4579439252336;63;115;29;7;93;37;49;7;39,784946236559136;15700,0;168,81720430107526;-2000,0;110175,0;94475,0;1,16618152950516;-18300,0;1879,3010752688172;-1826,6129032258063;901,2903225806451;36;47;7;3;63,14562714264048;63
260;3000,0;1200,0;2,5;True;0,6;0,0;180;1;close;pior_caso;307;74;194;39;24,104234527687296;-10800,0;-35,17915309446254;-1200,0;222000,0;232800,0;0,9536082474226805;-33000,0;1578,501628664495;-1529,3973941368079;612,1172638436482;74;194;39;0;214;47;135;32;21,962616822429908;-21000,0;-98,13084112149532;-1200,0;141000,0;162000,0;0,8703703703703703;-33000,0;1588,0841121495328;-1575,233644859813;528,7850467289719;47;135;32;0;93;27;59;7;29,03225806451613;10200,0;109,6774193548387;-1200,0;81000,0;70800,0;1,1440677966101696;-14400,0;1556,4516129032259;-1423,9247311827958;803,8709677419355;27;59;7;0;63,12233873016074;64
257;3000,0;1200,0;2,5;True;0,6;0,0;120;1;close;pior_caso;307;74;194;39;24,104234527687296;-11525,0;-37,54071661237785;-1200,0;221275,0;232800,0;0,9504939862542955;-33000,0;1573,2899022801303;-1529,3973941368079;605,472312703583;72;194;39;2;214;47;135;32;21,962616822429908;-21000,0;-98,13084112149532;-1200,0;141000,0;162000,0;0,8703703703703703;-33000,0;1588,0841121495328;-1575,233644859813;528,7850467289719;47;135;32;0;93;27;59;7;29,03225806451613;9475,0;101,88172043010752;-1200,0;80275,0;70800,0;1,1338276836158192;-14400,0;1539,247311827957;-1423,9247311827958;781,9354838709677;25;59;7;2;63,01551866559632;65
291;3000,0;2500,0;1,2;True;0,7;0,0;60;1;close;pior_caso;307;118;151;38;38,43648208469055;-18525,0;-60,34201954397394;0,0;345475,0;364000,0;0,9491071428571428;-53900,0;2097,0684039087946;-2128,501628664495;819,0879478827361;113;142;38;14;214;79;106;29;36,915887850467286;-29200,0;-136,44859813084113;0,0;229300,0;258500,0;0,8870406189555126;-53900,0;2120,4439252336447;-2193,457943925234;732,6168224299065;75;102;29;8;93;39;45;9;41,935483870967744;10675,0;114,78494623655914;0,0;116175,0;105500,0;1,1011848341232227;-18950,0;2043,279569892473;-1979,032258064516;1018,0645161290323;38;40;9;6;62,9419372459609;66
