k;silhouette;calinski_harabasz;davies_bouldin;estabilidade_ari;balanceamento_entropia;menor_cluster;maior_cluster;inercia_media;inercia_desvio;valido_minimo_cluster;n_silhouette;n_calinski;n_davies;n_estabilidade;n_balanceamento;score_clusterizacao;rank_clusterizacao
3;0,5788682705389273;486,06833977381206;0,8275947273043193;1,0;0,28411825828162524;15;1410;76551,03982685598;0,0;True;0,9208684474028589;0,6912878052401051;0,7061501408763979;1,0;0,10194408231467376;78,81574791100863;1
2;0,6118380455430125;497,89166593390934;1,1349667272661013;1,0;0,4072092228267661;125;1410;94450,82507917265;6,507814330688531e-12;True;1,0;0,809361943779975;0,16169679326602182;1,0;0,39135921542151675;78,47947320990511;2
4;0,5897383702383194;516,9811629659391;0,6617013237946664;0,9901724617773711;0,24076048604948022;5;1405;62172,399754020225;27,69857993808837;False;0,9469580360030855;1,0;1,0;0,8405427610905908;0,0;42,34458833096762;3
5;0,2664663177526346;479,97354127781983;1,1411460727042297;0,9957712493562717;0,4969434540295351;5;1115;55506,824558584325;28,20787543611368;False;0,17106498179549431;0,630421846520545;0,15075121165726024;0,9313861837613978;0,6023450060013407;21,60568443986411;4
7;0,20254257952615365;428,3812236683888;1,203160811665138;0,988512155746386;0,6382194157901897;5;840;46647,315406093665;3,0340057730842824;False;0,01764007510298915;0,11519302050981102;0,04090343036082367;0,8136033781598875;0,9345172448723958;14,332144889550397;5
8;0,2062897368137727;416,84639758626264;1,093201776117624;0,9556695152987418;0,6075912027626726;5;825;42983,98945618461;1,8606677028336975;False;0,026633717733496827;0,0;0,23567577465794953;0,28071338621693176;0,8625032803792277;9,419892928670015;6
6;0,1951929283678908;444,6462589456716;1,2262529080779625;0,9383688173089956;0,6660698443534896;5;840;50961,84730949091;17,875383658591662;False;0,0;0,27762447192043127;0,0;0,0;1,0;7,082183539403235;7
