candidate_a;candidate_b;scenario_a;cluster_a;scenario_b;cluster_b;trades_a;trades_b;mean_a;mean_b;mean_difference;ci_low;ci_high;prob_a_greater_b;winner_95pct
S184_C2;S185_C2;184;2;185;2;3;3;300,0;300,0;0,0;-2200,0;2200,0;0,31966666666666665;EMPATE_ESTATISTICO
S184_C2;S185_C0;184;2;185;0;3;282;300,0;33,687943262411345;266,31205673758865;-944,6808510638298;2440,4343971631206;0,7013333333333334;EMPATE_ESTATISTICO
S187_C2;S184_C0;187;2;184;0;3;282;300,0;38,297872340425535;261,70212765957444;-944,3351063829787;2436,578014184397;0,695;EMPATE_ESTATISTICO
S187_C2;S187_C0;187;2;187;0;3;282;300,0;38,297872340425535;261,70212765957444;-941,1347517730496;2388,377659574468;0,7136666666666667;EMPATE_ESTATISTICO
S187_C2;S185_C2;187;2;185;2;3;3;300,0;300,0;0,0;-2200,0;2200,0;0,3423333333333333;EMPATE_ESTATISTICO
S187_C2;S185_C0;187;2;185;0;3;282;300,0;33,687943262411345;266,31205673758865;-933,741134751773;2413,191489361702;0,7086666666666667;EMPATE_ESTATISTICO
S184_C0;S187_C0;184;0;187;0;282;282;38,297872340425535;38,297872340425535;0,0;-219,16666666666663;214,92021276595756;0,501;EMPATE_ESTATISTICO
S184_C0;S185_C2;184;0;185;2;282;3;38,297872340425535;300,0;-261,70212765957444;-2425,1950354609926;947,1719858156029;0,297;EMPATE_ESTATISTICO
S184_C0;S185_C0;184;0;185;0;282;282;38,297872340425535;33,687943262411345;4,60992907801419;-216,3297872340425;218,8209219858157;0,5133333333333333;EMPATE_ESTATISTICO
S187_C0;S185_C2;187;0;185;2;282;3;38,297872340425535;300,0;-261,70212765957444;-2379,432624113475;946,1081560283689;0,2826666666666667;EMPATE_ESTATISTICO
S187_C0;S185_C0;187;0;185;0;282;282;38,297872340425535;33,687943262411345;4,60992907801419;-209,95567375886517;229,45035460992915;0,5086666666666667;EMPATE_ESTATISTICO
S185_C2;S185_C0;185;2;185;0;3;282;300,0;33,687943262411345;266,31205673758865;-945,0443262411347;2460,7003546099295;0,7146666666666667;EMPATE_ESTATISTICO
