_source_category;_source_file;_source_sheet;_source_row;id;data_hora;data_qt;lado;preco_entrada;gain;stop;stop_protegido;protecionado;tp_mt5;sl_mt5;protecao_pontos;regra;status;mfe_mt5;mae_mt5;tempo_mfe_s;tempo_mae_s;tempo_resultado_s;preco_resultado;resultado_mt5;score_entrada;score_base_dna;ajuste_estrutura;score_oposto;score_compra_base;score_venda_base;ajuste_estrutura_compra;ajuste_estrutura_venda;diferenca_score;hard_gates_ok;qtd_hard_gates_ok;hard_gates_faltantes;gate_delta30;gate_saldo30;gate_vel15;gate_aceleracao;gate_rompimento;gate_continuidade;gate_atividade;hard_gates_compra_ok;qtd_hard_gates_compra_ok;hard_gates_compra_faltantes;hard_gates_venda_ok;qtd_hard_gates_venda_ok;hard_gates_venda_faltantes;score_spread;dna_spread;estrutura;estrutura_bruta;estrutura_candidata;confirmacoes_candidata;nivel_invalidation;ultima_mudanca_confirmada;motivo_estrutura;motivo_estrutura_bruta;qtd_swings_confirmados;ultimo_topo;topo_anterior;ultimo_fundo;fundo_anterior;eficiencia_swings;amplitude_swings;ultima_mudanca_estrutura;swing_mais_recente_tipo;swing_mais_recente_preco;swing_mais_recente_hora;tipo_entrada_campanha;campanha_entradas_antes;delta30;delta10;saldo30;saldo10;vel15;vel5;aceleracao;rompimento_compra;rompimento_venda;continuidade_2s;ticks_s;motivos;bloqueios_no_momento;score_minimo_config;diferenca_minima_config;modo_sombra;datetime
trades;trades_c7_dna_fluxo_v5_2.csv;;34;20260719230058443642;2026-07-19 23:00:58;2026-07-19 23:00:46.300;COMPRA;28830.75;28846.75;28801.75;28830.75;True;1600;2900;1120;C7_DNA_FLUXO_V5_1;GAIN;2825;-175;37.21;12.6;37.21;28859.0;1600;100;99;12.0;0;99;4;12.0;-6.0;100;True;7;;True;True;True;True;True;True;True;True;7;;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;0;FRACO;ALTA;ALTA;;0.0;28829.0;2026-07-19 22:59:29.982000;"ALTA mantida; estrutura bruta alinhada";topo 28832.50>28823.00 e fundo 28829.00>28819.00;12;28832.5;28823.0;28829.0;28819.0;0.170984;13.75;ALTA confirmada em 2026-07-19 23:00:46.085000;FUNDO;28829.0;2026-07-19 23:00:46.085;NOVA_CAMPANHA;False;65;35;65;35;0.55195;2.351518;2.602901;5.75;-30.5;5.5;73.861;spread sem bônus | delta30 favorável 65.0 | delta10 crescente 35.0 | saldo agressor30 65.0 | saldo10 favorável 35.0 | razão fluxo 1.86 | vel15 0.5520 | vel5 acelerando 2.3515 | aceleração 2.6029 | desloc15 8.25 | ticks/s 73.86 | rompimento 5.75 | continuidade 5.50 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;;72;12;True;2026-07-19 23:00:46.300
trades;trades_c7_dna_fluxo_v5_2.csv;;35;20260719230337416752;2026-07-19 23:03:37;2026-07-19 23:03:25.610;VENDA;28859.75;28843.75;28888.75;28859.75;True;1600;2900;1120;C7_DNA_FLUXO_V5_1;GAIN;1675;-2350;612.05;171.4;612.05;28843.0;1600;93;99;-6.0;12;4;99;8.0;-6.0;81;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;0;FRACO;ALTA;TRANSICAO;;0.0;28859.5;2026-07-19 22:59:29.982000;ALTA mantida durante TRANSICAO;"topos/fundos divergentes: 28872.50->28873.00; 28870.50->28867.75";12;28873.0;28872.5;28867.75;28870.5;0.013889;10.0;TRANSICAO confirmada em 2026-07-19 23:03:11.810000;TOPO;28873.0;2026-07-19 23:03:11.810;MUDANCA_ESTRUTURAL_DE_CAMPANHA;True;-75;-19;-61;-16;-0.850057;-1.186791;-0.548425;-18.0;1.75;-1.75;78.6052;spread sem bônus | delta30 favorável 75.0 | delta10 crescente 19.0 | saldo agressor30 61.0 | saldo10 favorável 16.0 | razão fluxo 2.30 | vel15 0.8501 | vel5 acelerando 1.1868 | aceleração 0.5484 | desloc15 12.75 | ticks/s 78.61 | rompimento 1.75 | continuidade 1.75 | estrutura confirmada contrária -6;;72;12;True;2026-07-19 23:03:25.610
trades;trades_c7_dna_fluxo_v5_2.csv;;36;20260719231552667252;2026-07-19 23:15:52;2026-07-19 23:15:40.397;VENDA;28824.75;28808.75;28853.75;28824.75;True;1600;2900;1120;C7_DNA_FLUXO_V5_1;GAIN;2025;-1675;293.52;110.46;293.52;28804.5;1600;100;100;12.0;1;7;100;-6.0;12.0;99;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;3;FRACO;BAIXA;BAIXA;;0.0;28832.5;2026-07-19 23:10:10.412000;"BAIXA mantida; estrutura bruta alinhada";topo 28832.50<28835.25 e fundo 28821.50<28830.00;12;28832.5;28835.25;28821.5;28830.0;0.28;20.0;BAIXA confirmada em 2026-07-19 23:15:38.802000;FUNDO;28821.5;2026-07-19 23:15:38.802;NOVA_CAMPANHA;False;-34;-25;-30;-18;-0.451324;-1.142264;-0.976151;-10.5;1.5;-1.0;65.7261;spread FRACO +3 | delta30 favorável 34.0 | delta10 crescente 25.0 | saldo agressor30 30.0 | saldo10 favorável 18.0 | razão fluxo 2.20 | vel15 0.4513 | vel5 acelerando 1.1423 | aceleração 0.9762 | desloc15 6.75 | ticks/s 65.73 | rompimento 1.50 | continuidade 1.00 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;;72;12;True;2026-07-19 23:15:40.397
trades;trades_c7_dna_fluxo_v5_2.csv;;37;20260719233118035500;2026-07-19 23:31:18;2026-07-19 23:31:06.083;COMPRA;28851.75;28867.75;28822.75;28851.75;True;1600;2900;1120;C7_DNA_FLUXO_V5_1;GAIN;2150;-275;123.58;12.45;123.58;28873.25;1600;98;86;12.0;3;86;9;12.0;-6.0;95;True;7;;True;True;True;True;True;True;True;True;7;;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;0;FRACO;ALTA;ALTA;;0.0;28840.25;2026-07-19 23:30:40.457000;"ALTA mantida; estrutura bruta alinhada";topo 28854.00>28852.50 e fundo 28840.25>28839.00;12;28854.0;28852.5;28840.25;28839.0;0.313725;21.0;ALTA confirmada em 2026-07-19 23:31:05.186000;TOPO;28854.0;2026-07-19 23:31:05.186;NOVA_CAMPANHA;False;29;1;16;-10;0.56731;2.149471;2.227939;1.75;-19.25;3.5;68.9448;spread sem bônus | delta30 favorável 29.0 | saldo agressor30 16.0 | razão fluxo 1.16 | vel15 0.5673 | vel5 acelerando 2.1495 | aceleração 2.2279 | desloc15 8.50 | ticks/s 68.94 | rompimento 1.75 | continuidade 3.50 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;;72;12;True;2026-07-19 23:31:06.083
trades;trades_c7_dna_fluxo_v5_2.csv;;38;20260719233628135186;2026-07-19 23:36:28;2026-07-19 23:36:16.200;COMPRA;28880.75;28896.75;28851.75;28880.75;True;1600;2900;1120;C7_DNA_FLUXO_V5_1;GAIN;2400;-2000;388.11;237.01;388.11;28904.75;1600;97;99;-2.0;12;99;4;-2.0;8.0;85;True;7;;True;True;True;True;True;True;True;True;7;;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;0;FRACO;BAIXA;ALTA;ALTA;1.0;28863.5;2026-07-19 23:35:01.558000;"BAIXA mantida; candidata ALTA 1/2; rompeu_invalidação=True";topo 28885.25>28884.50 e fundo 28872.50>28871.75;12;28885.25;28884.5;28872.5;28871.75;0.457143;30.0;ALTA confirmada em 2026-07-19 23:36:15.025000;TOPO;28885.25;2026-07-19 23:36:15.025;NOVA_CAMPANHA;False;58;31;53;26;1.051642;1.077313;0.048506;2.5;-23.25;2.5;119.395;spread sem bônus | delta30 favorável 58.0 | delta10 crescente 31.0 | saldo agressor30 53.0 | saldo10 favorável 26.0 | razão fluxo 2.56 | vel15 1.0516 | vel5 acelerando 1.0773 | aceleração 0.0485 | desloc15 11.75 | ticks/s 119.39 | rompimento 2.50 | continuidade 2.50 | estrutura confirmada contrária -6 | estrutura local alinhada +4;;72;12;True;2026-07-19 23:36:16.200
trades;trades_c7_dna_fluxo_v5_2.csv;;39;20260719234655782257;2026-07-19 23:46:55;2026-07-19 23:46:43.604;COMPRA;28916.25;28932.25;28887.25;28916.25;True;1600;2900;1120;C7_DNA_FLUXO_V5_1;GAIN;2175;-2050;202.21;62.46;202.21;28938.0;1600;100;99;8.0;0;99;4;8.0;-6.0;100;True;7;;True;True;True;True;True;True;True;True;7;;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;0;FRACO;ALTA;TRANSICAO;;0.0;28911.0;2026-07-19 23:45:52.684000;ALTA mantida durante TRANSICAO;"topos/fundos divergentes: 28915.00->28913.75; 28911.00->28911.50";12;28913.75;28915.0;28911.5;28911.0;0.266055;15.75;TRANSICAO confirmada em 2026-07-19 23:46:41.236000;TOPO;28913.75;2026-07-19 23:46:41.236;NOVA_CAMPANHA;False;41;30;35;26;0.219239;0.734214;0.612634;1.25;-7.25;4.0;70.8311;spread sem bônus | delta30 favorável 41.0 | delta10 crescente 30.0 | saldo agressor30 35.0 | saldo10 favorável 26.0 | razão fluxo 2.17 | vel15 0.2192 | vel5 acelerando 0.7342 | aceleração 0.6126 | desloc15 3.25 | ticks/s 70.83 | rompimento 1.25 | continuidade 4.00 | estrutura confirmada alinhada +8;;72;12;True;2026-07-19 23:46:43.604
trades;trades_c7_dna_fluxo_v5_2.csv;;40;20260719235755504546;2026-07-19 23:57:55;2026-07-19 23:57:43.417;VENDA;28884.0;28868.0;28913.0;28884.0;True;1600;2900;1120;C7_DNA_FLUXO_V5_1;GAIN;2075;-2525;532.24;215.0;532.24;28863.25;1600;97;99;-2.0;12;4;99;8.0;-2.0;85;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;0;FRACO;ALTA;BAIXA;BAIXA;1.0;28899.75;2026-07-19 23:56:27.076000;"ALTA mantida; candidata BAIXA 1/2; rompeu_invalidação=True";topo 28887.50<28889.50 e fundo 28885.00<28886.50;12;28887.5;28889.5;28885.0;28886.5;0.516854;25.5;BAIXA confirmada em 2026-07-19 23:57:36.754000;TOPO;28887.5;2026-07-19 23:57:36.754;NOVA_CAMPANHA;False;-39;-21;-29;-18;-0.341437;-0.453629;-0.167826;-14.75;1.0;-0.75;48.962;spread sem bônus | delta30 favorável 39.0 | delta10 crescente 21.0 | saldo agressor30 29.0 | saldo10 favorável 18.0 | razão fluxo 1.94 | vel15 0.3414 | vel5 acelerando 0.4536 | aceleração 0.1678 | desloc15 5.00 | ticks/s 48.96 | rompimento 1.00 | continuidade 0.75 | estrutura confirmada contrária -6 | estrutura local alinhada +4;;72;12;True;2026-07-19 23:57:43.417
