motor_id,arquivo_trades,linhas_brutas,trades_gain_stop,gains,stops,winrate_pct,data_min,data_max
motor_operacional_c7_v3_1,C:\Nas100_dashboard\trades_quantower_operacional_v3_1_v5_2.csv,1086,929,365,564,39.28955866523143,2026-07-20T15:09:44,2026-07-29T15:14:44
motor_c7_dna_fluxo_v5_2,C:\Nas100_dashboard\trades_c7_dna_fluxo_v5_2.csv,307,259,160,99,61.77606177606177,2026-07-17T17:45:02,2026-07-22T09:56:21
