escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
GLOBAL,,,NEUTRO,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,2154,63,128,191,8.867224,7.208238,10.0,32.984293,67.015707,0.812908,1.127749,-2.791762,-0.354085,FRACA,43.4349
LADO,,VENDA,NEUTRO,5,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,1123,5,13,18,1.60285,1.06383,1.990812,27.777778,72.222222,0.663712,1.242045,-0.926982,-0.578805,FRACA,43.4124
LADO,,VENDA,NEUTRO,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,5,13,18,1.60285,1.06383,1.990812,27.777778,72.222222,0.663712,1.242045,-0.926982,-0.578805,FRACA,43.4124
GLOBAL,,,NEUTRO,4,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,2154,4,11,15,0.696379,0.457666,0.859375,26.666667,73.333333,0.657208,1.234063,-0.401709,-0.560959,FRACA,43.1359
GLOBAL,,,NEUTRO,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,2154,4,11,15,0.696379,0.457666,0.859375,26.666667,73.333333,0.657208,1.234063,-0.401709,-0.560959,FRACA,43.1359
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,NEUTRO,2,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG,612,38,29,67,10.947712,15.57377,7.880435,56.716418,43.283582,1.422559,0.719825,7.693336,0.763442,FRACA,43.0404
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,NEUTRO,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,612,17,37,54,8.823529,6.967213,10.054348,31.481481,68.518519,0.789617,1.139493,-3.087135,-0.385662,FRACA,42.9181
LADO,,COMPRA,NEUTRO,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,1031,4,11,15,1.454898,0.990099,1.754386,26.666667,73.333333,0.680528,1.205848,-0.764287,-0.506925,FRACA,42.5734
LADO,,COMPRA,NEUTRO,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1031,4,11,15,1.454898,0.990099,1.754386,26.666667,73.333333,0.680528,1.205848,-0.764287,-0.506925,FRACA,42.5734
LADO,,COMPRA,NEUTRO,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1031,4,11,15,1.454898,0.990099,1.754386,26.666667,73.333333,0.680528,1.205848,-0.764287,-0.506925,FRACA,42.5734
LADO,,COMPRA,NEUTRO,3,AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,1031,4,11,15,1.454898,0.990099,1.754386,26.666667,73.333333,0.680528,1.205848,-0.764287,-0.506925,FRACA,42.5734
MOTOR,motor_c7_dna_fluxo_v5_2,,NEUTRO,2,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1284,35,68,103,8.021807,6.517691,9.103079,33.980583,66.019417,0.812497,1.134792,-2.585388,-0.355539,FRACA,42.432
MOTOR,motor_c7_dna_fluxo_v5_2,,NEUTRO,2,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,1284,51,97,148,11.52648,9.497207,12.985274,34.459459,65.540541,0.823947,1.12656,-3.488068,-0.347766,FRACA,42.4266
MOTOR,motor_operacional_c7_v3_1,,NEUTRO,5,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,870,4,11,15,1.724138,1.186944,2.06379,26.666667,73.333333,0.688427,1.196998,-0.876846,-0.489288,FRACA,42.3926
