escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_CAIU,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS,672,7,4,11,1.636905,2.389078,1.055409,63.636364,36.363636,1.45951,0.644759,1.33367,0.781346,FRACA,38.5021
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,672,4,9,13,1.934524,1.365188,2.37467,30.769231,69.230769,0.705697,1.227522,-1.009482,-0.500516,FRACA,38.4775
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_SUBIU,672,4,9,13,1.934524,1.365188,2.37467,30.769231,69.230769,0.705697,1.227522,-1.009482,-0.500516,FRACA,38.4775
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,612,13,9,22,3.594771,5.327869,2.445652,59.090909,40.909091,1.482116,0.680336,2.882217,0.791532,MODERADA,38.4405
LADO,,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,1123,11,7,18,1.60285,2.340426,1.071975,61.111111,38.888889,1.460165,0.668794,1.26845,0.768878,FRACA,37.8701
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,419,6,4,10,2.386635,3.75,1.544402,60.0,40.0,1.57125,0.647104,2.205598,0.870753,FRACA,37.8244
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_GAIN,2,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_CAIU,419,6,4,10,2.386635,3.75,1.544402,60.0,40.0,1.57125,0.647104,2.205598,0.870753,FRACA,37.8244
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,1284,15,10,25,1.94704,2.793296,1.338688,60.0,40.0,1.434637,0.68755,1.454608,0.734106,MODERADA,37.5734
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,672,10,19,29,4.315476,3.412969,5.013193,34.482759,65.517241,0.790867,1.161678,-1.600223,-0.378759,MODERADA,36.5841
