escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1284,1,9,10,0.778816,0.18622,1.204819,10.0,90.0,0.239106,1.546988,-1.0186,-1.526272,FRACA,59.7265
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,672,3,14,17,2.529762,1.023891,3.693931,17.647059,82.352941,0.404738,1.460189,-2.670041,-1.191723,FRACA,59.6906
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,672,2,11,13,1.934524,0.682594,2.902375,15.384615,84.615385,0.352849,1.500304,-2.219781,-1.291656,FRACA,59.5658
LADO,,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,1031,1,10,11,1.066925,0.247525,1.594896,9.090909,90.909091,0.231998,1.494853,-1.347372,-1.520408,FRACA,59.2782
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,2,CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,870,1,10,11,1.264368,0.296736,1.876173,9.090909,90.909091,0.234691,1.483882,-1.579437,-1.503971,FRACA,59.1506
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,612,1,9,10,1.633987,0.409836,2.445652,10.0,90.0,0.25082,1.496739,-2.035816,-1.456229,FRACA,59.1343
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,612,1,9,10,1.633987,0.409836,2.445652,10.0,90.0,0.25082,1.496739,-2.035816,-1.456229,FRACA,59.1343
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,612,1,9,10,1.633987,0.409836,2.445652,10.0,90.0,0.25082,1.496739,-2.035816,-1.456229,FRACA,59.1343
LADO,,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,2,12,14,1.246661,0.425532,1.837672,14.285714,85.714286,0.341337,1.474076,-1.41214,-1.295165,FRACA,58.752
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,451,2,12,14,3.104213,1.129944,4.379562,14.285714,85.714286,0.364003,1.410845,-3.249619,-1.206826,FRACA,58.4238
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,672,2,10,12,1.785714,0.682594,2.638522,16.666667,83.333333,0.382253,1.477573,-1.955929,-1.197974,FRACA,58.1237
LADO,,COMPRA,DNA_STOP,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,1031,1,9,10,0.969932,0.247525,1.435407,10.0,90.0,0.255198,1.479904,-1.187882,-1.418706,FRACA,57.974
LADO,,COMPRA,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,1031,1,9,10,0.969932,0.247525,1.435407,10.0,90.0,0.255198,1.479904,-1.187882,-1.418706,FRACA,57.974
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,419,3,15,18,4.295943,1.875,5.791506,16.666667,83.333333,0.436458,1.348134,-3.916506,-1.048287,FRACA,57.9015
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,870,1,9,10,1.149425,0.296736,1.688555,10.0,90.0,0.25816,1.469043,-1.391819,-1.401979,FRACA,57.8261
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,870,1,9,10,1.149425,0.296736,1.688555,10.0,90.0,0.25816,1.469043,-1.391819,-1.401979,FRACA,57.8261
LADO,,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,1031,3,16,19,1.842871,0.742574,2.551834,15.789474,84.210526,0.402944,1.384706,-1.80926,-1.12989,FRACA,57.6828
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,2,11,13,1.157614,0.425532,1.684533,15.384615,84.615385,0.367594,1.455177,-1.259001,-1.210226,FRACA,57.5355
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,1123,2,11,13,1.157614,0.425532,1.684533,15.384615,84.615385,0.367594,1.455177,-1.259001,-1.210226,FRACA,57.5355
LADO,,VENDA,DNA_STOP,2,CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,3,14,17,1.513802,0.638298,2.143951,17.647059,82.352941,0.421652,1.416269,-1.505653,-1.108098,FRACA,57.5208
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,1284,2,11,13,1.012461,0.372439,1.472557,15.384615,84.615385,0.367856,1.454433,-1.100117,-1.207348,FRACA,57.3871
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1284,2,11,13,1.012461,0.372439,1.472557,15.384615,84.615385,0.367856,1.454433,-1.100117,-1.207348,FRACA,57.3871
LADO,,COMPRA,DNA_STOP,5,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,1031,2,12,14,1.357905,0.49505,1.913876,14.285714,85.714286,0.364569,1.409433,-1.418826,-1.184698,FRACA,56.9118
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,419,3,14,17,4.057279,1.875,5.405405,17.647059,82.352941,0.462132,1.332273,-3.530405,-0.977514,FRACA,56.7065
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,419,2,11,13,3.102625,1.25,4.247104,15.384615,84.615385,0.402885,1.368874,-2.997104,-1.076368,FRACA,56.4437
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,419,2,11,13,3.102625,1.25,4.247104,15.384615,84.615385,0.402885,1.368874,-2.997104,-1.076368,FRACA,56.4437
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,419,2,11,13,3.102625,1.25,4.247104,15.384615,84.615385,0.402885,1.368874,-2.997104,-1.076368,FRACA,56.4437
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,419,2,11,13,3.102625,1.25,4.247104,15.384615,84.615385,0.402885,1.368874,-2.997104,-1.076368,FRACA,56.4437
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,419,2,11,13,3.102625,1.25,4.247104,15.384615,84.615385,0.402885,1.368874,-2.997104,-1.076368,FRACA,56.4437
LADO,,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,3,13,16,1.424755,0.638298,1.990812,18.75,81.25,0.448005,1.397301,-1.352514,-1.035077,FRACA,56.4137
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,1284,3,13,16,1.246106,0.558659,1.740295,18.75,81.25,0.448324,1.396586,-1.181635,-1.032068,FRACA,56.2563
LADO,,VENDA,DNA_STOP,5,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,1123,2,10,12,1.068566,0.425532,1.531394,16.666667,83.333333,0.398227,1.433129,-1.105862,-1.117699,FRACA,56.1959
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,2,10,12,1.068566,0.425532,1.531394,16.666667,83.333333,0.398227,1.433129,-1.105862,-1.117699,FRACA,56.1959
LADO,,VENDA,DNA_STOP,3,CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,2,10,12,1.068566,0.425532,1.531394,16.666667,83.333333,0.398227,1.433129,-1.105862,-1.117699,FRACA,56.1959
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,612,3,13,16,2.614379,1.229508,3.532609,18.75,81.25,0.470287,1.351223,-2.3031,-0.963271,FRACA,55.8461
LADO,,COMPRA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU,1031,3,14,17,1.648885,0.742574,2.232855,17.647059,82.352941,0.450349,1.354161,-1.490281,-0.997413,FRACA,55.7137
LADO,,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1031,3,14,17,1.648885,0.742574,2.232855,17.647059,82.352941,0.450349,1.354161,-1.490281,-0.997413,FRACA,55.7137
LADO,,COMPRA,DNA_STOP,6,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,1031,2,11,13,1.260912,0.49505,1.754386,15.384615,84.615385,0.392612,1.391363,-1.259336,-1.099693,FRACA,55.7068
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_CAIU,870,2,11,13,1.494253,0.593472,2.06379,15.384615,84.615385,0.39717,1.381152,-1.470318,-1.083053,FRACA,55.5776
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,870,2,11,13,1.494253,0.593472,2.06379,15.384615,84.615385,0.39717,1.381152,-1.470318,-1.083053,FRACA,55.5776
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,612,2,10,12,1.960784,0.819672,2.717391,16.666667,83.333333,0.418033,1.38587,-1.897719,-1.044158,FRACA,55.4769
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,419,3,13,16,3.818616,1.875,5.019305,18.75,81.25,0.491016,1.314431,-3.144305,-0.90199,FRACA,55.4348
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,1123,3,12,15,1.335708,0.638298,1.837672,20.0,80.0,0.477872,1.375804,-1.199374,-0.956556,FRACA,55.2136
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1284,3,12,15,1.168224,0.558659,1.606426,20.0,80.0,0.478212,1.3751,-1.047766,-0.953747,FRACA,55.0718
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,419,2,10,12,2.863962,1.25,3.861004,16.666667,83.333333,0.436458,1.348134,-2.611004,-0.98138,FRACA,54.9432
MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,DNA_STOP,2,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CAMPANHA_ENTRADAS_ESTAVEL,419,2,10,12,2.863962,1.25,3.861004,16.666667,83.333333,0.436458,1.348134,-2.611004,-0.98138,FRACA,54.9432
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,672,2,8,10,1.488095,0.682594,2.110818,20.0,80.0,0.458703,1.41847,-1.428224,-0.981267,FRACA,54.7384
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,672,2,8,10,1.488095,0.682594,2.110818,20.0,80.0,0.458703,1.41847,-1.428224,-0.981267,FRACA,54.7384
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,870,3,13,16,1.83908,0.890208,2.439024,18.75,81.25,0.48405,1.32622,-1.548817,-0.907774,FRACA,54.5028
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,5,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,870,3,13,16,1.83908,0.890208,2.439024,18.75,81.25,0.48405,1.32622,-1.548817,-0.907774,FRACA,54.5028
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,870,3,13,16,1.83908,0.890208,2.439024,18.75,81.25,0.48405,1.32622,-1.548817,-0.907774,FRACA,54.5028
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,870,3,13,16,1.83908,0.890208,2.439024,18.75,81.25,0.48405,1.32622,-1.548817,-0.907774,FRACA,54.5028
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,870,3,13,16,1.83908,0.890208,2.439024,18.75,81.25,0.48405,1.32622,-1.548817,-0.907774,FRACA,54.5028
