escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_CAIU,1284,10,4,14,1.090343,1.862197,0.535475,71.428571,28.571429,1.707901,0.491107,1.326722,1.190518,FRACA,54.2698
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,672,8,3,11,1.636905,2.730375,0.791557,72.727273,27.272727,1.668011,0.483569,1.938819,1.163979,FRACA,54.1301
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,5,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,870,7,3,10,1.149425,2.077151,0.562852,70.0,30.0,1.807122,0.489681,1.5143,1.235353,FRACA,53.8464
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,870,7,3,10,1.149425,2.077151,0.562852,70.0,30.0,1.807122,0.489681,1.5143,1.235353,FRACA,53.8464
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS,870,7,3,10,1.149425,2.077151,0.562852,70.0,30.0,1.807122,0.489681,1.5143,1.235353,FRACA,53.8464
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,612,11,5,16,2.614379,4.508197,1.358696,68.75,31.25,1.724385,0.519701,3.149501,1.180196,FRACA,53.7788
LADO,,COMPRA,DNA_GAIN,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_CAIU,1031,11,5,16,1.551891,2.722772,0.797448,68.75,31.25,1.754486,0.513856,1.925324,1.196262,FRACA,53.543
LADO,,COMPRA,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1031,7,3,10,0.969932,1.732673,0.478469,70.0,30.0,1.786386,0.493301,1.254204,1.213896,FRACA,53.1293
LADO,,COMPRA,DNA_GAIN,5,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1031,7,3,10,0.969932,1.732673,0.478469,70.0,30.0,1.786386,0.493301,1.254204,1.213896,FRACA,53.1293
LADO,,VENDA,DNA_GAIN,2,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_SUBIU,1123,9,4,13,1.157614,1.914894,0.612557,69.230769,30.769231,1.654173,0.529155,1.302336,1.088935,FRACA,50.1722
