"Arquivo","Tamanho_MB","LastWriteTime","FullName"
"14_sequencia_por_trade.csv","10,06","29/07/2026 13:24:15","C:\Nas100_dashboard\C7_LAB\relatorios_14_event_graph\14_sequencia_por_trade.csv"
"14_linha_tempo_por_trade.csv","54,13","29/07/2026 13:24:15","C:\Nas100_dashboard\C7_LAB\relatorios_14_event_graph\14_linha_tempo_por_trade.csv"
"14_eventos_unificados.csv","695,54","29/07/2026 13:23:29","C:\Nas100_dashboard\C7_LAB\relatorios_14_event_graph\14_eventos_unificados.csv"
"14_manifesto_fontes.csv","0,01","29/07/2026 13:15:12","C:\Nas100_dashboard\C7_LAB\relatorios_14_event_graph\14_manifesto_fontes.csv"
"13g_resultado_por_estagio_movimento_3000.csv","0","29/07/2026 12:03:48","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_resultado_por_estagio_movimento_3000.csv"
"13g_resumo_lado_resultado.csv","0","29/07/2026 12:03:48","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_resumo_lado_resultado.csv"
"13g_desempenho_motor_dia.csv","0,01","29/07/2026 12:03:48","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_desempenho_motor_dia.csv"
"13g_desempenho_por_motor.csv","0","29/07/2026 12:03:48","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_desempenho_por_motor.csv"
"13g_diagnostico_escala_m1_por_dia.csv","0","29/07/2026 12:03:48","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_diagnostico_escala_m1_por_dia.csv"
"13g_atlas_entrada_no_movimento.csv","8,16","29/07/2026 12:03:48","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_atlas_entrada_no_movimento.csv"
"13g_movimentos_detectados_multiescala.csv","94,79","29/07/2026 12:03:47","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_movimentos_detectados_multiescala.csv"
"13g_barras_m1.csv","3,11","29/07/2026 12:03:36","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_barras_m1.csv"
"13g_serie_preco_consolidada.csv","13,02","29/07/2026 12:03:35","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_serie_preco_consolidada.csv"
"13g_trades_unificados.csv","0,72","29/07/2026 12:03:34","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_trades_unificados.csv"
"13g_manifesto_fontes_mercado.csv","0","29/07/2026 12:03:34","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_manifesto_fontes_mercado.csv"
"13g_manifesto_trades.csv","0,01","29/07/2026 12:03:34","C:\Nas100_dashboard\C7_LAB\relatorios_13g_atlas_movimentos\13g_manifesto_trades.csv"
"13f_auditoria_features_elegiveis.csv","0,7","29/07/2026 11:19:13","C:\Nas100_dashboard\C7_LAB\relatorios_13f_v2\13f_auditoria_features_elegiveis.csv"
"13f_manifesto_fontes.csv","0","29/07/2026 11:19:12","C:\Nas100_dashboard\C7_LAB\relatorios_13f_v2\13f_manifesto_fontes.csv"
"13f_cobertura_fontes.csv","0","29/07/2026 11:19:12","C:\Nas100_dashboard\C7_LAB\relatorios_13f_v2\13f_cobertura_fontes.csv"
"13f_ranking_geral.csv","0,34","29/07/2026 11:19:12","C:\Nas100_dashboard\C7_LAB\relatorios_13f_v2\13f_ranking_geral.csv"
"13f_ranking_filtros_combinados.csv","0","29/07/2026 11:19:12","C:\Nas100_dashboard\C7_LAB\relatorios_13f_v2\13f_ranking_filtros_combinados.csv"
"13f_ranking_filtros_simples.csv","0,33","29/07/2026 11:19:12","C:\Nas100_dashboard\C7_LAB\relatorios_13f_v2\13f_ranking_filtros_simples.csv"
"13f_diferencas_stops_vs_nao_stops.csv","0,97","29/07/2026 11:19:12","C:\Nas100_dashboard\C7_LAB\relatorios_13f_v2\13f_diferencas_stops_vs_nao_stops.csv"
"13f_dataset_autopsia_por_trade.csv","10,58","29/07/2026 11:19:12","C:\Nas100_dashboard\C7_LAB\relatorios_13f_v2\13f_dataset_autopsia_por_trade.csv"
"13f_manifesto_fontes.csv","0","29/07/2026 10:58:55","C:\Nas100_dashboard\C7_LAB\relatorios_13f\13f_manifesto_fontes.csv"
"13f_cobertura_fontes.csv","0","29/07/2026 10:58:55","C:\Nas100_dashboard\C7_LAB\relatorios_13f\13f_cobertura_fontes.csv"
