motivo;quantidade;percentual
NOVA_CAMPANHA;273;88,93
MUDANCA_ESTRUTURAL_DE_CAMPANHA;18;5,86
REENTRADA_APOS_PULLBACK_E_ROMPIMENTO;16;5,21
