variaveis,regra,amostra,taxa_alvo_300_120s,taxa_base,lift
4,_f_spread<=1 E _f_saldo>=0 E _f_razao_fluxo>=1 E _f_aceleracao<=-0.552272,21,0.8571428571428571,0.6188781756963575,1.384994480017664
4,_f_spread<=1 E _f_saldo<=0 E _f_razao_fluxo<=1 E _f_aceleracao<=-0.552272,21,0.8571428571428571,0.6188781756963575,1.384994480017664
4,_f_delta>=16 E _f_aceleracao>=-0.000831627 E _f_ticks_s>=153.857 E _f_score<=47,21,0.8571428571428571,0.6188781756963575,1.384994480017664
4,_f_spread>=1.75 E _f_delta<=0 E _f_velocidade>=0.205388 E _f_score>=77,14,0.8571428571428571,0.6188781756963575,1.384994480017664
4,_f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=153.857 E _f_score<=77,61,0.8524590163934426,0.6188781756963575,1.377426204170573
4,_f_delta<=16 E _f_saldo>=19 E _f_aceleracao>=0.543681 E _f_ticks_s>=153.857,20,0.85,0.6188781756963575,1.3734528593508502
4,_f_razao_fluxo>=1.33364 E _f_aceleracao<=-0.552272 E _f_ticks_s>=153.857 E _f_score<=61,20,0.85,0.6188781756963575,1.3734528593508502
4,_f_delta<=16 E _f_saldo>=19 E _f_velocidade>=-0.216667 E _f_ticks_s>=153.857,53,0.8490566037735849,0.6188781756963575,1.37192849435712
4,_f_delta>=16 E _f_aceleracao>=0.543681 E _f_ticks_s>=72.5852 E _f_score<=47,26,0.8461538461538461,0.6188781756963575,1.367238140530258
4,_f_spread>=1.25 E _f_saldo<=-17 E _f_velocidade>=0.205388 E _f_score>=77,13,0.8461538461538461,0.6188781756963575,1.367238140530258
4,_f_saldo>=0 E _f_razao_fluxo>=1 E _f_velocidade>=0.205388 E _f_aceleracao<=-0.552272,13,0.8461538461538461,0.6188781756963575,1.367238140530258
4,_f_saldo<=0 E _f_razao_fluxo<=1 E _f_velocidade>=0.205388 E _f_aceleracao<=-0.552272,13,0.8461538461538461,0.6188781756963575,1.367238140530258
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=0 E _f_ticks_s>=153.857 E _f_score<=47,13,0.8461538461538461,0.6188781756963575,1.367238140530258
4,_f_spread>=1 E _f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=153.857,45,0.8444444444444444,0.6188781756963575,1.3644760432766616
4,_f_spread<=1.75 E _f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=153.857,64,0.84375,0.6188781756963575,1.363353941267388
4,_f_delta>=16 E _f_saldo<=19 E _f_aceleracao>=0.543681 E _f_ticks_s>=153.857,38,0.8421052631578947,0.6188781756963575,1.360696331245424
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_aceleracao>=-0.552272 E _f_ticks_s>=153.857,50,0.84,0.6188781756963575,1.3572945904173106
4,_f_delta<=16 E _f_saldo>=19 E _f_velocidade>=0 E _f_ticks_s>=153.857,43,0.8372093023255814,0.6188781756963575,1.352785306063765
4,_f_saldo>=19 E _f_aceleracao>=0.543681 E _f_ticks_s>=72.5852 E _f_score<=47,36,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_delta>=16 E _f_saldo<=19 E _f_ticks_s>=153.857 E _f_score>=77,24,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_saldo>=0 E _f_razao_fluxo>=1 E _f_velocidade<=-0.216667 E _f_aceleracao<=-0.552272,24,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_saldo<=0 E _f_razao_fluxo<=1 E _f_velocidade<=-0.216667 E _f_aceleracao<=-0.552272,24,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_saldo<=-17 E _f_razao_fluxo<=1.33364 E _f_aceleracao<=-0.552272 E _f_score<=47,18,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_spread<=1 E _f_razao_fluxo<=0.741693 E _f_ticks_s>=72.5852 E _f_score<=47,12,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_spread<=1.25 E _f_saldo<=-17 E _f_aceleracao<=-0.552272 E _f_score<=47,12,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_spread>=1.75 E _f_saldo>=19 E _f_velocidade<=-0.216667 E _f_score>=77,12,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_delta>=-16 E _f_saldo<=-17 E _f_aceleracao>=0.543681 E _f_ticks_s<=42.0552,12,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_saldo>=19 E _f_velocidade>=0.205388 E _f_ticks_s>=153.857 E _f_score<=47,12,0.8333333333333334,0.6188781756963575,1.3465224111282845
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_aceleracao<=0.543681 E _f_ticks_s>=153.857,59,0.8305084745762712,0.6188781756963575,1.341957928378697
