lado;trades;positivos;negativos;zeros;win_rate_pct;resultado_total;expectancia;profit_factor;drawdown_intragrupo
COMPRA;169;169;0;0;100,0;189280,0;1120,0;inf;0,0
VENDA;138;138;0;0;100,0;154560,0;1120,0;inf;0,0
