data_hora,preco_evento,evento_id,spread_media,spread_fim,delta_media,delta_fim,saldo_media,saldo_fim,razao_fluxo_media,razao_fluxo_fim,velocidade_media,velocidade_fim,aceleracao_media,aceleracao_fim,ticks_s_media,ticks_s_fim,estrutura_media,estrutura_fim,score_media,score_fim,spread_inicio,spread_variacao,delta_inicio,delta_variacao,saldo_inicio,saldo_variacao,razao_fluxo_inicio,razao_fluxo_variacao,velocidade_inicio,velocidade_variacao,aceleracao_inicio,aceleracao_variacao,ticks_s_inicio,ticks_s_variacao,estrutura_inicio,estrutura_variacao,score_inicio,score_variacao,linhas_contexto,campanha_fim,campanha_inicio,status,lado
2026-07-19 19:18:47,28761.5,0,2.125,2.25,-23.5,-33.0,-24.5,-34.0,1.6564856711915537,1.871794871794872,-0.10826708102779355,-0.3988975921090804,-1.586334971604967,-1.5120022895671068,38.46660965156882,32.27444154337105,,,72.5,97.0,2.75,-0.5,41.0,-74.0,42.0,-76.0,0.4166666666666667,1.4551282051282053,0.7750472589792061,-1.1739448510882866,1.062602840331071,-2.5746051298981776,40.75614366729679,-8.481702123925743,,,100.0,-3.0,2.0,COMPRA,,LOSS,VENDA
2026-07-19 19:29:08,28765.0,1,2.35,2.0,1.2,-33.0,1.2,-33.0,1.2001460742544126,2.65,-0.11207514212825749,-0.835977021349567,0.31085938295172727,-0.4911722011565849,32.25055430035117,36.26854154162737,,,55.6,100.0,2.0,0.0,53.0,-86.0,54.0,-87.0,0.3493975903614458,2.3006024096385542,0.2873951852853665,-1.1233722066349334,1.3268759967264077,-1.8180481978829925,30.97105761428185,5.297483927345521,,,97.0,3.0,5.0,,VENDA,LOSS,VENDA
2026-07-19 19:36:15,28815.75,2,2.5,0.75,-19.0,-35.0,-13.25,-36.0,1.79375,2.333333333333333,-0.4323287994523424,-0.7674597083653109,-0.8827313385342055,-1.9444636358478944,40.208776714391846,54.7966231772832,,,67.5,100.0,3.0,-2.25,80.0,-115.0,79.0,-115.0,0.5885416666666666,1.7447916666666665,0.790394188080183,-1.557853896445494,-0.4973508615662734,-1.447112774281621,90.20583882685322,-35.40921564957002,,,79.0,21.0,4.0,,,LOSS,VENDA
2026-07-19 19:46:14,28840.75,3,2.125,2.0,-14.333333333333334,31.0,-14.5,30.0,1.8319989899273788,0.5384615384615384,-0.04512057705563244,0.8131734092295182,0.3860447501250102,2.296504210257719,29.91479945911323,31.91705631225859,,,67.0,97.0,2.5,-0.5,-12.0,43.0,-11.0,41.0,1.55,-1.0115384615384615,-0.1014404544532359,0.9146138636827541,-0.1014404544532359,2.3979446647109546,15.418949076891863,16.498107235366728,,,32.0,65.0,6.0,,,LOSS,COMPRA
2026-07-19 20:26:54,28802.0,4,2.4583333333333335,2.75,-9.5,-22.0,-9.833333333333334,-21.0,2.329272254710851,2.1666666666666665,-0.4249166745904809,-0.593663070764638,-0.33218077852713335,-3.2760893414921965,28.99946589594475,31.00617409593595,,,49.333333333333336,85.0,3.0,-0.25,7.0,-29.0,8.0,-29.0,0.7894736842105263,1.3771929824561402,-0.1342371971273239,-0.4594258736373141,-0.7777281051159912,-2.4983612363762053,32.61963890193972,-1.6134648060037726,,,33.0,52.0,6.0,,,LOSS,VENDA
2026-07-19 20:37:44,28812.75,5,2.7083333333333335,2.75,-13.166666666666666,-24.0,-13.833333333333334,-25.0,2.0492424242424243,3.272727272727273,-0.3082470740233964,-0.4534356470177886,0.030691379323984982,-0.2047559847818661,32.84222578727218,23.64841297523544,,,64.5,100.0,2.75,0.0,-3.0,-21.0,-5.0,-20.0,1.2777777777777777,1.9949494949494953,-0.4230118443316413,-0.030423802686147305,-1.56147836232582,1.3567223775439539,19.41401727669428,4.23439569854116,,,77.0,23.0,6.0,,,LOSS,VENDA
2026-07-19 20:43:15,28855.5,6,1.875,2.0,38.5,52.0,37.5,51.0,0.4402872260015117,0.3703703703703703,0.321928028596195,0.4674145299145299,0.08561444340721855,0.290853282151193,38.76403388763118,46.47435897435898,,,95.5,100.0,2.75,-0.75,-24.0,76.0,-25.0,76.0,3.272727272727273,-2.9023569023569027,-0.4534356470177886,0.9208501769323185,-0.2047559847818661,0.49560926693305907,23.64841297523544,22.825945999123537,,,100.0,0.0,2.0,,,LOSS,COMPRA
2026-07-19 21:40:12,28895.75,7,1.65,1.5,-17.2,-23.0,-16.0,-23.0,1.4398828462291413,1.4893617021276595,-0.35875778715950835,-0.3037667071688943,0.324112381380042,-0.9462293933452092,82.83880249446196,79.19376742191409,,,59.0,100.0,1.5,0.0,-7.0,-16.0,-6.0,-17.0,1.25,0.2393617021276595,0.3084515731030228,-0.6122182802719172,9.848671918696672,-10.794901312041882,39.92244646161981,39.271320960294275,,,49.0,51.0,5.0,,,LOSS,VENDA
2026-07-19 22:20:01,28832.0,8,1.5,1.0,-12.6,-114.0,-21.2,-97.0,1.8696698275771222,3.365853658536585,-0.07047820321473905,-0.6200147462966686,-0.9308097772184046,-2.006473203996031,92.44157637081948,99.202359407467,,,72.2,100.0,2.25,-1.25,-55.0,-59.0,-30.0,-67.0,1.4477611940298507,1.918092464506734,0.0510065288356909,-0.6710212751323595,0.5800105744334638,-2.5864837784294945,78.48204570184983,20.720313705617173,,,56.0,44.0,5.0,,,LOSS,VENDA
2026-07-19 22:48:58,28808.5,9,1.85,1.75,9.0,35.0,5.2,28.0,0.9488095238095239,0.3,0.2042268191267568,0.788845301040423,0.08533752401157628,0.1033944722479395,102.86280407642148,77.94644380010234,,,56.4,100.0,2.0,-0.25,1.0,34.0,1.0,27.0,0.9411764705882352,-0.6411764705882352,-0.0180988923477883,0.8069441933882113,-1.711132925635418,1.8145273978833574,109.89647433577063,-31.95003053566829,,,34.0,66.0,5.0,,,LOSS,COMPRA
2026-07-20 00:23:33,28865.0,10,2.15,2.25,-18.6,-38.0,-18.0,-37.0,2.2003968253968256,2.321428571428572,-0.48222610293353163,-2.0683733999375584,-0.32697896983844954,-0.847147492219366,62.2043146055405,88.51077115204497,,,64.4,100.0,1.5,0.75,-4.0,-34.0,-4.0,-33.0,1.4,0.9214285714285722,-0.1017335395133067,-1.9666398604242517,0.2220737904725179,-1.0692212826918839,55.749979653292094,32.76079149875287,,,28.0,72.0,5.0,,,LOSS,VENDA
2026-07-20 01:17:35,28854.75,11,1.8,1.5,-10.0,-26.0,-10.6,-27.0,1.603076923076923,2.9285714285714284,-0.17095871250558858,-0.2362789441706609,-0.30077022614058313,-0.4453606148521403,56.35254455339896,51.57631809896712,,,61.6,100.0,1.5,0.0,-14.0,-12.0,-15.0,-12.0,1.7142857142857142,1.2142857142857142,-0.2044655271121289,-0.031813417058531995,-0.7470743844117377,0.3017137695595974,63.54788582644966,-11.971567727482537,,,79.0,21.0,5.0,,,LOSS,VENDA
2026-07-20 01:34:03,28911.5,12,1.4,1.25,-8.4,-54.0,-7.6,-53.0,1.1370988713787902,1.8833333333333333,-0.06645073102115884,-1.2919896640826871,-0.11996010790404914,-1.518427680299098,74.10399576285087,82.68733850129199,,,69.0,100.0,1.25,0.0,13.0,-67.0,12.0,-65.0,0.6923076923076923,1.191025641025641,0.4911591355599214,-1.7831487996426085,1.3280404813938165,-2.8464681616929144,59.92141453831041,22.76592396298158,,,91.0,9.0,5.0,,,LOSS,VENDA
