estrutura;trades;positivos;negativos;zeros;win_rate_pct;resultado_total;expectancia;profit_factor;drawdown_intragrupo
ALTA;161;161;0;0;100,0;180320,0;1120,0;inf;0,0
BAIXA;146;146;0;0;100,0;163520,0;1120,0;inf;0,0
