motivo_bloqueio,salvou_loss_30s_count,salvou_loss_30s_mean,salvou_loss_30s_median,salvou_loss_30s_std,salvou_loss_30s_min,salvou_loss_30s_max,salvou_loss_60s_count,salvou_loss_60s_mean,salvou_loss_60s_median,salvou_loss_60s_std,salvou_loss_60s_min,salvou_loss_60s_max,salvou_loss_120s_count,salvou_loss_120s_mean,salvou_loss_120s_median,salvou_loss_120s_std,salvou_loss_120s_min,salvou_loss_120s_max,impediu_gain_30s_count,impediu_gain_30s_mean,impediu_gain_30s_median,impediu_gain_30s_std,impediu_gain_30s_min,impediu_gain_30s_max,impediu_gain_60s_count,impediu_gain_60s_mean,impediu_gain_60s_median,impediu_gain_60s_std,impediu_gain_60s_min,impediu_gain_60s_max,impediu_gain_120s_count,impediu_gain_120s_mean,impediu_gain_120s_median,impediu_gain_120s_std,impediu_gain_120s_min,impediu_gain_120s_max,mov_favor_30s_count,mov_favor_30s_mean,mov_favor_30s_median,mov_favor_30s_std,mov_favor_30s_min,mov_favor_30s_max,mov_favor_60s_count,mov_favor_60s_mean,mov_favor_60s_median,mov_favor_60s_std,mov_favor_60s_min,mov_favor_60s_max,mov_favor_120s_count,mov_favor_120s_mean,mov_favor_120s_median,mov_favor_120s_std,mov_favor_120s_min,mov_favor_120s_max
aceleração insuficiente -0.0013 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | score 71 < 72,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0
aceleração insuficiente -0.0014 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,250.0,250.0,,250.0,250.0,1,250.0,250.0,,250.0,250.0,1,3025.0,3025.0,,3025.0,3025.0
aceleração insuficiente -0.0020 | sem rompimento confirmado -5.50 | sem continuidade -3.25 | hard-gate DNA incompleto | score 67 < 72,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,1875.0,1875.0,,1875.0,1875.0
aceleração insuficiente -0.0021 | sem rompimento confirmado -9.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0,0.0
aceleração insuficiente -0.0026 | sem rompimento confirmado -8.75 | sem continuidade -8.50 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1025.0,1025.0,,1025.0,1025.0,1,2150.0,2150.0,,2150.0,2150.0,1,4550.0,4550.0,,4550.0,4550.0
aceleração insuficiente -0.0035 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0
aceleração insuficiente -0.0036 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1950.0,1950.0,,1950.0,1950.0,1,1950.0,1950.0,,1950.0,1950.0,1,1950.0,1950.0,,1950.0,1950.0
aceleração insuficiente -0.0037 | sem rompimento confirmado -20.00 | sem continuidade -6.25 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,300.0,300.0,,300.0,300.0,1,300.0,300.0,,300.0,300.0,1,300.0,300.0,,300.0,300.0
aceleração insuficiente -0.0038 | sem rompimento confirmado -0.25 | sem continuidade -0.00 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,375.0,375.0,,375.0,375.0,1,375.0,375.0,,375.0,375.0,1,375.0,375.0,,375.0,375.0
aceleração insuficiente -0.0042 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,475.0,475.0,,475.0,475.0,1,475.0,475.0,,475.0,475.0,1,475.0,475.0,,475.0,475.0
