motivo;quantidade;percentual
delta30 insuficiente 5.0 | saldo30 insuficiente 6.0 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 63 < 72;1;0,01
delta30 insuficiente -1.0 | saldo30 insuficiente 0.0 | aceleração insuficiente -0.0647 | sem continuidade 0.00 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.4690 | sem rompimento confirmado -2.75 | sem continuidade -0.75 | hard-gate DNA incompleto | score 68 < 72;1;0,01
aceleração insuficiente -0.1669 | sem rompimento confirmado -1.50 | sem continuidade 0.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
vel15 insuficiente 0.0190 | aceleração insuficiente -0.0009 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 69 < 72;1;0,01
delta30 insuficiente 14.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente 4.0 | saldo30 insuficiente 3.0 | aceleração insuficiente -0.1844 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 65 < 72;1;0,01
delta30 insuficiente 18.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 63 < 72;1;0,01
delta30 insuficiente -17.0 | saldo30 insuficiente -16.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -2.0032 | sem rompimento confirmado -3.00 | sem continuidade -2.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3842 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0715 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4488 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 14.0 | sem rompimento confirmado -1.25 | sem continuidade -0.00 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -0.4449 | sem rompimento confirmado -0.75 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.2628 | sem rompimento confirmado -2.75 | sem continuidade -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2850 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -0.50 | sem continuidade -0.50 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.4246 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.8636 | sem rompimento confirmado -1.50 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 0.0 | saldo30 insuficiente -1.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 14.0 | vel15 insuficiente -0.0172 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto | score 67 < 72;1;0,01
delta30 insuficiente 17.0 | vel15 insuficiente -0.0676 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.5085 | sem rompimento confirmado -0.50 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 13.0 | aceleração insuficiente -0.3883 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente 0.0000 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 16.0 | vel15 insuficiente -0.1530 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.6176 | sem rompimento confirmado -11.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2367 | sem rompimento confirmado -4.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.8523 | sem rompimento confirmado -2.50 | sem continuidade -0.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
vel15 insuficiente 0.0236 | sem rompimento confirmado 0.00 | sem continuidade -0.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -0.1770 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -1.0 | saldo30 insuficiente -0.0 | aceleração insuficiente -0.5322 | hard-gate DNA incompleto | score 65 < 72;1;0,01
vel15 insuficiente -0.1201 | aceleração insuficiente -0.8866 | sem rompimento confirmado -3.50 | sem continuidade -2.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente 19.0 | vel15 insuficiente -0.0000 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 67 < 72;1;0,01
delta30 insuficiente 4.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto | score 70 < 72;1;0,01
delta30 insuficiente 2.0 | saldo30 insuficiente 3.0 | sem rompimento confirmado -2.50 | sem continuidade -0.75 | hard-gate DNA incompleto | score 64 < 72;1;0,01
delta30 insuficiente 6.0 | saldo30 insuficiente 7.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto | score 66 < 72;1;0,01
vel15 insuficiente -0.0182 | aceleração insuficiente -1.0066 | sem rompimento confirmado -3.75 | sem continuidade 0.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -0.5955 | sem rompimento confirmado -0.50 | sem continuidade 0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6183 | sem rompimento confirmado -1.75 | sem continuidade -1.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
sem rompimento confirmado -2.00 | sem continuidade -0.50 | hard-gate DNA incompleto | score 69 < 72;1;0,01
aceleração insuficiente -0.0228 | sem rompimento confirmado -1.50 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1460 | sem rompimento confirmado -0.75 | sem continuidade -0.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -4.0 | saldo30 insuficiente -4.0 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -1.0202 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0179 | sem rompimento confirmado -4.50 | sem continuidade -0.75 | hard-gate DNA incompleto | score 65 < 72;1;0,01
delta30 insuficiente 17.0 | aceleração insuficiente -1.1368 | sem rompimento confirmado -3.50 | sem continuidade -0.75 | hard-gate DNA incompleto | score 63 < 72;1;0,01
aceleração insuficiente -0.3123 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -4.4864 | sem rompimento confirmado -14.50 | sem continuidade -0.75 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK;1;0,01
aceleração insuficiente -4.1706 | sem rompimento confirmado -7.25 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK;1;0,01
aceleração insuficiente -0.9187 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto | score 68 < 72;1;0,01
aceleração insuficiente -3.1202 | sem rompimento confirmado -4.00 | sem continuidade -3.50 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -1.9387 | sem rompimento confirmado -6.25 | sem continuidade -0.50 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.9650 | sem rompimento confirmado -7.00 | sem continuidade -2.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 65 < 72;1;0,01
sem rompimento confirmado -6.00 | hard-gate DNA incompleto | score 67 < 72;1;0,01
sem rompimento confirmado -7.25 | sem continuidade -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6717 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1333 | sem rompimento confirmado -6.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -2.1875 | sem rompimento confirmado -7.50 | sem continuidade -3.75 | hard-gate DNA incompleto | score 70 < 72;1;0,01
delta30 insuficiente 5.0 | saldo30 insuficiente 6.0 | aceleração insuficiente -0.8849 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto | score 63 < 72;1;0,01
vel15 insuficiente -0.4012 | sem rompimento confirmado -9.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente 0.0057 | sem rompimento confirmado -7.75 | hard-gate DNA incompleto | score 69 < 72;1;0,01
delta30 insuficiente 19.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0212 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
sem rompimento confirmado -4.75 | sem continuidade -3.75 | hard-gate DNA incompleto | score 68 < 72;1;0,01
vel15 insuficiente -0.2000 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto | score 63 < 72;1;0,01
aceleração insuficiente -0.5187 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3855 | sem rompimento confirmado -1.25 | sem continuidade -1.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
sem rompimento confirmado -4.50 | sem continuidade -0.00 | hard-gate DNA incompleto | score 64 < 72;1;0,01
delta30 insuficiente 3.0 | saldo30 insuficiente 4.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -0.0 | saldo30 insuficiente 1.0 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 16.0 | aceleração insuficiente -0.7743 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0167 | aceleração insuficiente 0.0036 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0167 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente 0.0167 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 5.0 | saldo30 insuficiente 4.0 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente 12.0 | aceleração insuficiente -0.5048 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 69 < 72;1;0,01
delta30 insuficiente -15.0 | saldo30 insuficiente -16.0 | sem continuidade -0.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.3220 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3611 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.3241 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6340 | sem rompimento confirmado -7.50 | sem continuidade -1.75 | hard-gate DNA incompleto | score 67 < 72;1;0,01
vel15 insuficiente -0.4000 | sem rompimento confirmado -7.00 | sem continuidade -2.25 | hard-gate DNA incompleto | score 69 < 72;1;0,01
aceleração insuficiente -0.4588 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -13.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -1.3911 | sem rompimento confirmado -11.00 | sem continuidade -8.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -0.4014 | sem rompimento confirmado -6.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.2789 | sem rompimento confirmado -7.25 | sem continuidade -1.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -2.2208 | sem rompimento confirmado -8.00 | sem continuidade -1.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -1.0250 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.8048 | sem rompimento confirmado -8.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -0.0833 | sem rompimento confirmado -4.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -1.0096 | sem rompimento confirmado -20.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 64 < 72;1;0,01
delta30 insuficiente -3.0 | saldo30 insuficiente -4.0 | sem rompimento confirmado -7.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 70 < 72;1;0,01
vel15 insuficiente -0.0850 | sem rompimento confirmado -9.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
delta30 insuficiente -6.0 | saldo30 insuficiente -5.0 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
sem rompimento confirmado -7.50 | sem continuidade -1.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -1.0639 | sem rompimento confirmado -4.00 | sem continuidade -0.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -0.5842 | sem rompimento confirmado -9.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -1.3859 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.1094 | sem rompimento confirmado -6.50 | sem continuidade -1.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.5777 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.4318 | sem rompimento confirmado -8.00 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.0229 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9739 | sem rompimento confirmado -6.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.5285 | sem rompimento confirmado -6.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -0.6527 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.3565 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto | score 66 < 72;1;0,01
vel15 insuficiente -0.0501 | sem rompimento confirmado -8.25 | sem continuidade -7.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
sem rompimento confirmado -5.00 | sem continuidade -3.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.8002 | sem rompimento confirmado -12.75 | sem continuidade -0.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 68 < 72;1;0,01
aceleração insuficiente -0.5058 | sem rompimento confirmado -9.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.3290 | sem rompimento confirmado -6.25 | sem continuidade -3.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -0.0675 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -112.0 | saldo30 insuficiente -111.0 | sem rompimento confirmado -8.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 66 < 72;1;0,01
aceleração insuficiente -0.9024 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6302 | sem rompimento confirmado -3.25 | sem continuidade -1.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
sem rompimento confirmado -8.00 | sem continuidade -2.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.5501 | sem rompimento confirmado -10.25 | hard-gate DNA incompleto | score 70 < 72;1;0,01
delta30 insuficiente -3.0 | saldo30 insuficiente -4.0 | aceleração insuficiente -0.2751 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 64 < 72;1;0,01
vel15 insuficiente -0.0834 | aceleração insuficiente -2.2099 | sem rompimento confirmado -9.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.4254 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -3.4012 | sem rompimento confirmado -19.00 | sem continuidade -0.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
delta30 insuficiente -95.0 | saldo30 insuficiente -94.0 | sem rompimento confirmado -13.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 70 < 72;1;0,01
aceleração insuficiente -0.6506 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0791 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.7503 | sem rompimento confirmado -12.25 | sem continuidade -5.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 66 < 72;1;0,01
aceleração insuficiente -1.9785 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.1502 | sem rompimento confirmado -6.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.2297 | sem rompimento confirmado -4.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -118.0 | saldo30 insuficiente -119.0 | hard-gate DNA incompleto | lados próximos: diferença 5 | score 67 < 72;1;0,01
aceleração insuficiente -3.2597 | sem rompimento confirmado -8.75 | sem continuidade -3.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -0.3645 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.0949 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -45.0 | saldo30 insuficiente -44.0 | aceleração insuficiente -0.8321 | sem rompimento confirmado -4.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.8179 | sem rompimento confirmado -13.75 | hard-gate DNA incompleto | score 65 < 72;1;0,01
delta30 insuficiente 2.0 | saldo30 insuficiente 1.0 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 62 < 72;1;0,01
vel15 insuficiente -0.5338 | sem rompimento confirmado -16.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.8311 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.1504 | sem rompimento confirmado -1.75 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -1.5010 | sem rompimento confirmado -22.50 | hard-gate DNA incompleto | score 65 < 72;1;0,01
delta30 insuficiente -62.0 | saldo30 insuficiente -62.0 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0167 | sem rompimento confirmado -5.25 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -0.1500 | sem rompimento confirmado -9.25 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4252 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -89.0 | saldo30 insuficiente -88.0 | sem rompimento confirmado -17.75 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -0.75 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -2.3831 | sem rompimento confirmado -7.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -107.0 | saldo30 insuficiente -106.0 | sem rompimento confirmado -11.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -0.1631 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.4563 | sem rompimento confirmado -2.50 | sem continuidade -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.0570 | sem rompimento confirmado -8.75 | sem continuidade -5.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3033 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 13.0 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -1.4804 | sem rompimento confirmado -8.25 | sem continuidade -1.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -0.5179 | sem rompimento confirmado -15.25 | sem continuidade -3.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente 11.0 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
sem rompimento confirmado -7.50 | sem continuidade -2.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2834 | aceleração insuficiente -1.3015 | sem rompimento confirmado -8.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.5980 | sem rompimento confirmado -13.75 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -10.00 | sem continuidade -0.75 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -4.25 | sem continuidade -3.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.5017 | sem rompimento confirmado -11.25 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.4999 | sem rompimento confirmado -6.25 | sem continuidade -2.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.7290 | sem rompimento confirmado -4.25 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2000 | aceleração insuficiente -1.6519 | sem rompimento confirmado -9.00 | sem continuidade -0.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.1171 | sem rompimento confirmado -10.75 | hard-gate DNA incompleto | score 65 < 72;1;0,01
vel15 insuficiente -0.0000 | sem rompimento confirmado -6.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -1.8558 | sem rompimento confirmado -2.75 | sem continuidade -3.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.2283 | sem rompimento confirmado -6.25 | sem continuidade -2.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 62 < 72;1;0,01
sem rompimento confirmado -3.00 | sem continuidade -1.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.8069 | sem rompimento confirmado -6.00 | sem continuidade -0.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
aceleração insuficiente -0.7092 | sem rompimento confirmado -5.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.8024 | sem rompimento confirmado -12.75 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -4.50 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6064 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -118.0 | saldo30 insuficiente -117.0 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1682 | sem rompimento confirmado -7.75 | sem continuidade -1.25 | hard-gate DNA incompleto | score 64 < 72;1;0,01
delta30 insuficiente -34.0 | saldo30 insuficiente -33.0 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3002 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.4088 | sem rompimento confirmado -3.00 | sem continuidade -2.75 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -1.4575 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0167 | aceleração insuficiente -1.6050 | sem rompimento confirmado -9.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1167 | sem rompimento confirmado -11.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.0877 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.7006 | sem rompimento confirmado -3.75 | sem continuidade -1.00 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -2.25 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 18.0 | sem rompimento confirmado -1.75 | sem continuidade -1.50 | hard-gate DNA incompleto | score 70 < 72;1;0,01
vel15 insuficiente -0.0833 | sem rompimento confirmado -3.50 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2057 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -4.25 | sem continuidade -2.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2834 | sem rompimento confirmado -7.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente 5.0 | saldo30 insuficiente 4.0 | sem rompimento confirmado -10.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.6282 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7575 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0668 | sem rompimento confirmado -7.25 | sem continuidade -0.25 | hard-gate DNA incompleto | score 68 < 72;1;0,01
aceleração insuficiente -2.0097 | sem rompimento confirmado -6.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -1.0780 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.1804 | sem rompimento confirmado -4.50 | sem continuidade -1.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2000 | sem rompimento confirmado -4.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7921 | sem rompimento confirmado -5.25 | sem continuidade -2.00 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -11.75 | sem continuidade -9.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0751 | sem rompimento confirmado -11.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.4667 | sem rompimento confirmado -19.50 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -18.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.6012 | sem rompimento confirmado -14.50 | sem continuidade -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.7420 | sem rompimento confirmado -12.75 | sem continuidade -3.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.3004 | sem rompimento confirmado -8.00 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.3549 | sem rompimento confirmado -4.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -1.4199 | sem rompimento confirmado -6.25 | sem continuidade -3.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 67 < 72;1;0,01
aceleração insuficiente -0.7639 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -26.0 | saldo30 insuficiente -26.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 66 < 72;1;0,01
vel15 insuficiente -0.2095 | sem rompimento confirmado -6.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1922 | sem rompimento confirmado -1.50 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4228 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 13.0 | aceleração insuficiente -0.0941 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;1;0,01
