id;data_hora;data_qt;lado;preco_entrada;gain;stop;stop_protegido;protecionado;tp_mt5;sl_mt5;protecao_pontos;regra;status;mfe_mt5;mae_mt5;tempo_mfe_s;tempo_mae_s;tempo_resultado_s;preco_resultado;resultado_mt5;score_entrada;score_base_dna;ajuste_estrutura;score_oposto;score_compra_base;score_venda_base;ajuste_estrutura_compra;ajuste_estrutura_venda;diferenca_score;hard_gates_ok;qtd_hard_gates_ok;hard_gates_faltantes;gate_delta30;gate_saldo30;gate_vel15;gate_aceleracao;gate_rompimento;gate_continuidade;gate_atividade;hard_gates_compra_ok;qtd_hard_gates_compra_ok;hard_gates_compra_faltantes;hard_gates_venda_ok;qtd_hard_gates_venda_ok;hard_gates_venda_faltantes;score_spread;dna_spread;estrutura;estrutura_bruta;estrutura_candidata;confirmacoes_candidata;nivel_invalidation;ultima_mudanca_confirmada;motivo_estrutura;motivo_estrutura_bruta;qtd_swings_confirmados;ultimo_topo;topo_anterior;ultimo_fundo;fundo_anterior;eficiencia_swings;amplitude_swings;ultima_mudanca_estrutura;swing_mais_recente_tipo;swing_mais_recente_preco;swing_mais_recente_hora;tipo_entrada_campanha;campanha_entradas_antes;delta30;delta10;saldo30;saldo10;vel15;vel5;aceleracao;rompimento_compra;rompimento_venda;continuidade_2s;ticks_s;motivos;bloqueios_no_momento;score_minimo_config;diferenca_minima_config;modo_sombra;_data;_fechamento;_lado;_tipo_resultado;_pnl;_score;_estrutura;_campanha;_motivo_entrada;_spread;_mfe;_mae;_dia;_hora;_duracao_s;_equity;_pico;_drawdown
20260717174502717820;2026-07-17 17:45:02;2026-07-17 17:44:51.049;COMPRA;28764,0;28780,0;28735,0;28764,0;True;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;GAIN;1600,0;-875,0;177312,02;349,56;177312,02;28780,0;1600;100;100;8;12;100;14;8;-2;88;True;7;;True;True;True;True;True;True;True;True;7;;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;10;FORTE;ALTA;BAIXA;BAIXA;1;28758,0;2026-07-17 17:41:07.626000;"ALTA mantida; candidata BAIXA 1/2; rompeu_invalidação=False";topo 28759.25<28760.00 e fundo 28756.50<28757.50;12;28759,25;28760,0;28756,5;28757,5;0,0;6,5;BAIXA confirmada em 2026-07-17 17:44:19.201000;TOPO;28759,25;2026-07-17 17:44:19.201000;NOVA_CAMPANHA;0;48,0;29,0;48,0;30,0;0,265018;0,712541;0,684138;3,0;-6,25;2,5;20,2827;spread FORTE +10 | delta30 favorável 48.0 | delta10 crescente 29.0 | saldo agressor30 48.0 | saldo10 favorável 30.0 | razão fluxo 3.29 | vel15 0.2650 | vel5 acelerando 0.7125 | aceleração 0.6841 | desloc15 3.75 | ticks/s 20.28 | rompimento 3.00 | continuidade 2.50 | estrutura confirmada alinhada +8;;72;12;True;2026-07-17 17:45:02;;COMPRA;GAIN;1120,0;12;ALTA;NOVA_CAMPANHA;NOVA_CAMPANHA;FORTE;;;2026-07-17;17:00;;1120,0;1120,0;0,0
20260719190221025397;2026-07-19 19:02:21;2026-07-19 19:02:09.874;VENDA;28803,0;28787,0;28832,0;28803,0;True;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;GAIN;4375,0;0,0;34,5;0,0;34,5;28759,25;1600;100;99;12;0;4;99;-6;12;100;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;0;FRACO;BAIXA;BAIXA;;0;28771,75;2026-07-17 17:59:50.057000;"BAIXA mantida; estrutura bruta alinhada";topo 28804.50<28809.00 e fundo 28802.25<28806.75;12;28804,5;28809,0;28802,25;28806,75;0,057143;7,0;BAIXA confirmada em 2026-07-19 19:02:09.773000;TOPO;28804,5;2026-07-19 19:02:09.773000;NOVA_CAMPANHA;0;-33,0;-13,0;-34,0;-12,0;-0,19702;-1,104837;-1,219031;-10,25;1,75;-4,25;55,5237;spread sem bônus | delta30 favorável 33.0 | delta10 crescente 13.0 | saldo agressor30 34.0 | saldo10 favorável 12.0 | razão fluxo 1.54 | vel15 0.1970 | vel5 acelerando 1.1048 | aceleração 1.2190 | desloc15 2.75 | ticks/s 55.52 | rompimento 1.75 | continuidade 4.25 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;;72;12;True;2026-07-19 19:02:21;;VENDA;GAIN;1120,0;0;BAIXA;NOVA_CAMPANHA;NOVA_CAMPANHA;FRACO;;;2026-07-19;19:00;;2240,0;2240,0;0,0
20260719190721661430;2026-07-19 19:07:21;2026-07-19 19:07:09.862;VENDA;28724,5;28708,5;28753,5;28724,5;True;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;PROTEGIDO;1275,0;-2025,0;430,81;116,7;477,09;28728,5;0;100;91;12;0;4;91;-6;12;100;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;0;FRACO;BAIXA;BAIXA;;0;28731,25;2026-07-17 17:59:50.057000;"BAIXA mantida; estrutura bruta alinhada";topo 28731.25<28734.75 e fundo 28728.00<28728.50;12;28731,25;28734,75;28728,0;28728,5;0,07772;9,75;BAIXA confirmada em 2026-07-19 19:07:06.349000;TOPO;28731,25;2026-07-19 19:07:06.349000;REENTRADA_APOS_PULLBACK_E_ROMPIMENTO;1;-25,0;-5,0;-24,0;-4,0;-0,255763;-1,529676;-1,921198;-10,25;0,5;-1,5;43,582;spread sem bônus | delta30 favorável 25.0 | saldo agressor30 24.0 | saldo10 favorável 4.0 | razão fluxo 1.41 | vel15 0.2558 | vel5 acelerando 1.5297 | aceleração 1.9212 | desloc15 3.75 | ticks/s 43.58 | rompimento 0.50 | continuidade 1.50 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;;72;12;True;2026-07-19 19:07:21;;VENDA;PROTEGIDO;1120,0;0;BAIXA;REENTRADA_APOS_PULLBACK_E_ROMPIMENTO;REENTRADA_APOS_PULLBACK_E_ROMPIMENTO;FRACO;;;2026-07-19;19:00;;3360,0;3360,0;0,0
20260719191628337136;2026-07-19 19:16:28;2026-07-19 19:16:16.536;COMPRA;28753,5;28769,5;28724,5;28753,5;True;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;GAIN;1675,0;-275,0;116,77;11,0;116,77;28770,25;1600;100;99;8;2;99;4;8;-2;98;True;7;;True;True;True;True;True;True;True;True;7;;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;0;FRACO;ALTA;BAIXA;BAIXA;3;28728,75;2026-07-19 19:14:54.564000;"ALTA mantida; candidata BAIXA 3/2; rompeu_invalidação=False";topo 28747.00<28747.75 e fundo 28741.75<28745.00;12;28747,0;28747,75;28741,75;28745,0;0,100775;6,0;BAIXA confirmada em 2026-07-19 19:16:14.737000;FUNDO;28741,75;2026-07-19 19:16:14.737000;NOVA_CAMPANHA;0;41,0;41,0;42,0;42,0;0,775047;1,334976;1,062603;5,5;-11,25;11,75;40,7561;spread sem bônus | delta30 favorável 41.0 | delta10 crescente 41.0 | saldo agressor30 42.0 | saldo10 favorável 42.0 | razão fluxo 2.40 | vel15 0.7750 | vel5 acelerando 1.3350 | aceleração 1.0626 | desloc15 10.25 | ticks/s 40.76 | rompimento 5.50 | continuidade 11.75 | estrutura confirmada alinhada +8;;72;12;True;2026-07-19 19:16:28;;COMPRA;GAIN;1120,0;2;ALTA;NOVA_CAMPANHA;NOVA_CAMPANHA;FRACO;;;2026-07-19;19:00;;4480,0;4480,0;0,0
20260719191847974807;2026-07-19 19:18:47;2026-07-19 19:18:36.304;VENDA;28761,5;28745,5;28790,5;;False;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;LOSS;0,0;-3950,0;0,0;105,28;105,28;28801,0;-2900;97;99;-2;12;4;99;8;-2;85;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;0;FRACO;ALTA;BAIXA;BAIXA;1;28767,5;2026-07-19 19:14:54.564000;"ALTA mantida; candidata BAIXA 1/2; rompeu_invalidação=True";topo 28768.50<28769.50 e fundo 28757.50<28764.50;12;28768,5;28769,5;28757,5;28764,5;0,247423;14,0;BAIXA confirmada em 2026-07-19 19:18:35.942000;FUNDO;28757,5;2026-07-19 19:18:35.942000;MUDANCA_ESTRUTURAL_DE_CAMPANHA;1;-33,0;-33,0;-34,0;-32,0;-0,398898;-1,415688;-1,512002;-10,0;2,5;-5,0;32,2744;spread sem bônus | delta30 favorável 33.0 | delta10 crescente 33.0 | saldo agressor30 34.0 | saldo10 favorável 32.0 | razão fluxo 1.87 | vel15 0.3989 | vel5 acelerando 1.4157 | aceleração 1.5120 | desloc15 5.50 | ticks/s 32.27 | rompimento 2.50 | continuidade 5.00 | estrutura confirmada contrária -6 | estrutura local alinhada +4;;72;12;True;2026-07-19 19:18:47;;VENDA;LOSS;1120,0;12;ALTA;MUDANCA_ESTRUTURAL_DE_CAMPANHA;MUDANCA_ESTRUTURAL_DE_CAMPANHA;FRACO;;;2026-07-19;19:00;;5600,0;5600,0;0,0
20260719192449875126;2026-07-19 19:24:49;2026-07-19 19:24:38.676;VENDA;28786,5;28770,5;28815,5;28786,5;True;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;GAIN;1800,0;0,0;46,47;0,0;46,47;28768,5;1600;100;99;12;0;4;99;-6;12;100;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;0;FRACO;BAIXA;BAIXA;;0;28788,75;2026-07-19 19:22:06.594000;"BAIXA mantida; estrutura bruta alinhada";topo 28788.75<28790.75 e fundo 28784.75<28786.50;12;28788,75;28790,75;28784,75;28786,5;0,265823;15,5;BAIXA confirmada em 2026-07-19 19:24:38.645000;FUNDO;28784,75;2026-07-19 19:24:38.645000;NOVA_CAMPANHA;0;-55,0;-28,0;-56,0;-29,0;-0,744873;-1,738058;-1,448572;-13,75;1,75;-2,75;36,7932;spread sem bônus | delta30 favorável 55.0 | delta10 crescente 28.0 | saldo agressor30 56.0 | saldo10 favorável 29.0 | razão fluxo 3.55 | vel15 0.7449 | vel5 acelerando 1.7381 | aceleração 1.4486 | desloc15 10.75 | ticks/s 36.79 | rompimento 1.75 | continuidade 2.75 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;;72;12;True;2026-07-19 19:24:49;;VENDA;GAIN;1120,0;0;BAIXA;NOVA_CAMPANHA;NOVA_CAMPANHA;FRACO;;;2026-07-19;19:00;;6720,0;6720,0;0,0
20260719192646810779;2026-07-19 19:26:46;2026-07-19 19:26:35.193;COMPRA;28773,75;28789,75;28744,75;28773,75;True;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;PROTEGIDO;1175,0;-1175,0;47,02;22,32;81,48;28765,5;0;97;99;-2;12;99;4;-2;8;85;True;7;;True;True;True;True;True;True;True;True;7;;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;0;FRACO;BAIXA;ALTA;ALTA;1;28767,75;2026-07-19 19:22:06.594000;"BAIXA mantida; candidata ALTA 1/2; rompeu_invalidação=True";topo 28773.50>28767.50 e fundo 28771.25>28765.50;12;28773,5;28767,5;28771,25;28765,5;0,205882;9,25;ALTA confirmada em 2026-07-19 19:26:32.191000;FUNDO;28771,25;2026-07-19 19:26:32.191000;MUDANCA_ESTRUTURAL_DE_CAMPANHA;1;53,0;37,0;54,0;37,0;0,287395;1,275239;1,326876;0,25;-11,5;0,5;30,9711;spread sem bônus | delta30 favorável 53.0 | delta10 crescente 37.0 | saldo agressor30 54.0 | saldo10 favorável 37.0 | razão fluxo 2.86 | vel15 0.2874 | vel5 acelerando 1.2752 | aceleração 1.3269 | desloc15 4.25 | ticks/s 30.97 | rompimento 0.25 | continuidade 0.50 | estrutura confirmada contrária -6 | estrutura local alinhada +4;;72;12;True;2026-07-19 19:26:46;;COMPRA;PROTEGIDO;1120,0;12;BAIXA;MUDANCA_ESTRUTURAL_DE_CAMPANHA;MUDANCA_ESTRUTURAL_DE_CAMPANHA;FRACO;;;2026-07-19;19:00;;7840,0;7840,0;0,0
20260719192908605811;2026-07-19 19:29:08;2026-07-19 19:28:56.975;VENDA;28765,0;28749,0;28794,0;;False;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;LOSS;725,0;-3250,0;213,34;248,57;248,57;28797,5;-2900;100;99;12;0;4;99;-6;12;100;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;0;FRACO;BAIXA;BAIXA;;0;28769,0;2026-07-19 19:27:56.673000;"BAIXA mantida; estrutura bruta alinhada";topo 28771.00<28775.25 e fundo 28769.00<28772.00;12;28771,0;28775,25;28769,0;28772,0;0,085427;12,0;BAIXA confirmada em 2026-07-19 19:28:53.651000;TOPO;28771,0;2026-07-19 19:28:53.651000;NOVA_CAMPANHA;0;-33,0;-11,0;-33,0;-10,0;-0,835977;-1,713796;-0,491172;-11,75;4,0;-4,0;36,2685;spread sem bônus | delta30 favorável 33.0 | delta10 crescente 11.0 | saldo agressor30 33.0 | saldo10 favorável 10.0 | razão fluxo 2.65 | vel15 0.8360 | vel5 acelerando 1.7138 | aceleração 0.4912 | desloc15 9.75 | ticks/s 36.27 | rompimento 4.00 | continuidade 4.00 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;;72;12;True;2026-07-19 19:29:08;;VENDA;LOSS;1120,0;0;BAIXA;NOVA_CAMPANHA;NOVA_CAMPANHA;FRACO;;;2026-07-19;19:00;;8960,0;8960,0;0,0
20260719193615687227;2026-07-19 19:36:15;2026-07-19 19:36:04.494;VENDA;28815,75;28799,75;28844,75;;False;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;LOSS;650,0;-3000,0;92,9;480,02;480,02;28845,75;-2900;100;99;12;0;4;99;-6;12;100;True;7;;True;True;True;True;True;True;True;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;True;7;;0;FRACO;BAIXA;BAIXA;;0;28826,5;2026-07-19 19:36:04.494000;mudança ALTA->BAIXA: 2 swings opostos e rompimento do nível 28829.25;topo 28826.50<28829.25 e fundo 28813.00<28823.50;12;28826,5;28829,25;28813,0;28823,5;0,351955;19,5;BAIXA confirmada em 2026-07-19 19:36:03.613000;FUNDO;28813,0;2026-07-19 19:36:03.613000;NOVA_CAMPANHA;0;-35,0;-27,0;-36,0;-26,0;-0,76746;-2,011587;-1,944464;-14,75;5,75;-4,5;54,7966;spread sem bônus | delta30 favorável 35.0 | delta10 crescente 27.0 | saldo agressor30 36.0 | saldo10 favorável 26.0 | razão fluxo 2.33 | vel15 0.7675 | vel5 acelerando 2.0116 | aceleração 1.9445 | desloc15 10.00 | ticks/s 54.80 | rompimento 5.75 | continuidade 4.50 | estrutura confirmada alinhada +8 | estrutura local alinhada +4;;72;12;True;2026-07-19 19:36:15;;VENDA;LOSS;1120,0;0;BAIXA;NOVA_CAMPANHA;NOVA_CAMPANHA;FRACO;;;2026-07-19;19:00;;10080,0;10080,0;0,0
20260719194614591829;2026-07-19 19:46:14;2026-07-19 19:46:02.824;COMPRA;28840,75;28856,75;28811,75;;False;1600;2900;1120,0;C7_DNA_FLUXO_V5_1;LOSS;250,0;-2950,0;12,13;770,35;770,35;28811,25;-2900;97;99;-2;12;99;4;-2;8;85;True;7;;True;True;True;True;True;True;True;True;7;;False;1;delta30 | saldo30 | vel15 | aceleracao | rompimento | continuidade;0;FRACO;BAIXA;ALTA;ALTA;1;28830,25;2026-07-19 19:45:02.849000;"BAIXA mantida; candidata ALTA 1/2; rompeu_invalidação=True";topo 28828.75>28828.25 e fundo 28826.75>28825.25;12;28828,75;28828,25;28826,75;28825,25;0,358974;17,0;ALTA confirmada em 2026-07-19 19:45:48.818000;FUNDO;28826,75;2026-07-19 19:45:48.818000;NOVA_CAMPANHA;0;31,0;30,0;30,0;31,0;0,813173;2,296504;2,296504;3,75;-15,5;3,75;31,9171;spread sem bônus | delta30 favorável 31.0 | delta10 crescente 30.0 | saldo agressor30 30.0 | saldo10 favorável 31.0 | razão fluxo 1.86 | vel15 0.8132 | vel5 acelerando 2.2965 | aceleração 2.2965 | desloc15 12.00 | ticks/s 31.92 | rompimento 3.75 | continuidade 3.75 | estrutura confirmada contrária -6 | estrutura local alinhada +4;;72;12;True;2026-07-19 19:46:14;;COMPRA;LOSS;1120,0;12;BAIXA;NOVA_CAMPANHA;NOVA_CAMPANHA;FRACO;;;2026-07-19;19:00;;11200,0;11200,0;0,0
